:ID,:LABEL,case_id,linked_claim_id,case_type,status,priority,created_date,assigned_investigator,assigned_unit,linked_entities_count,claim_amount,ring_cluster_id,ring_member,ai_model_used,ai_fraud_score,rag_confidence_score,ai_summary,llm_verdict,rubric_score,manual_override_triggered,override_reasons,human_verdict,human_verdict_date,evidence_collected,days_open,estimated_fraud_loss,recovery_initiated,recovery_amount_usd,closed_loop_detected,explanation_trace_id,rag_evidence_nodes,notes
CASE-842643,InvestigationCase,CASE-842643,CLM-842643,High Value,Escalated to SIU,P2 - High,1/22/2015,Inv. Derek Moss,SIU-Central,3,56520.0,,No,FraudGNN-v2.1,0.794,36.0,"Incident on 1/22/2015 in Northbend, SC.
Type: Single Vehicle Collision | Collision: Rear Collision
Severity: Total Loss | Vehicles: 1
Witnesses: 0 | Police Report: NO
Total Claim: $56520",VIABLE_RECOVERY_CASE,69,Yes,High Value >$50K,Pending,22/3/2015,Bank Records|Police Report|CCTV,319,0.0,Yes,23797.57,No,TRACE-4108CD720082,CLM-842643|ADJ-8166,
CASE-626808,InvestigationCase,CASE-626808,CLM-626808,High Value,Under Review,P3 - Medium,1/8/2015,Inv. Priya Nair,SIU-Northeast,0,7280.0,,No,FraudGNN-v2.1,0.768,36.0,"Incident on 1/8/2015 in Springfield, SC.
Type: Parked Car | Collision: ?
Severity: Minor Damage | Vehicles: 1
Witnesses: 1 | Police Report: NO
Total Claim: $7280",INVESTIGATE_FURTHER,54,Yes,Injury No Police Report,High Value Approved,,Medical Records|Repair Estimate|Witness Statement|Bank Records,88,0.0,Yes,2507.74,No,TRACE-DFDB80A921E6,CLM-626808|ADJ-8433,
CASE-644081,InvestigationCase,CASE-644081,CLM-644081,Fraud - Individual,Open,P2 - High,1/15/2015,Inv. Sarah Chen,SIU-West,3,46200.0,,No,HINormer-Auto,0.821,27.0,"Incident on 1/15/2015 in Springfield, SC.
Type: Single Vehicle Collision | Collision: Rear Collision
Severity: Total Loss | Vehicles: 1
Witnesses: 2 | Police Report: YES
Total Claim: $46200",VIABLE_RECOVERY_CASE,73,No,,Pending,18/11/2015,CCTV|Police Report|Cell Data|Bank Records,147,25264.43,No,0.0,No,TRACE-A5AEFC1B7B03,CLM-644081|ADJ-1933,
CASE-892874,InvestigationCase,CASE-892874,CLM-892874,Fraud - Individual,Open,P1 - Critical,1/29/2015,Inv. Sarah Chen,SIU-West,7,63120.0,,No,RuleBased-v4,0.711,45.0,"Incident on 1/29/2015 in Hillsdale, WV.
Type: Multi-vehicle Collision | Collision: Side Collision
Severity: Major Damage | Vehicles: 4
Witnesses: 0 | Police Report: NO
Total Claim: $63120",VIABLE_RECOVERY_CASE,69,Yes,High Value >$50K,Pending,25/4/2015,Medical Records|CCTV|Cell Data|Dashcam,136,53577.18,No,7457.78,No,TRACE-827D71908D5C,CLM-892874|ADJ-5654,
CASE-558938,InvestigationCase,CASE-558938,CLM-558938,High Value,Closed - Fraud Confirmed,P2 - High,2/22/2015,Inv. Priya Nair,SIU-Midwest,3,52110.0,,No,FraudGNN-v2.1,0.879,72.0,"Incident on 2/22/2015 in Riverwood, NY.
Type: Multi-vehicle Collision | Collision: Rear Collision
Severity: Major Damage | Vehicles: 3
Witnesses: 2 | Police Report: YES
Total Claim: $52110",STRONG_RECOVERY_CASE,85,Yes,High Value >$50K,Cleared,,Bank Records|Repair Estimate|Cell Data|CCTV|Police Report,67,0.0,Yes,0.0,No,TRACE-6FA7C981BEC5,CLM-558938|ADJ-2250,
CASE-275265,InvestigationCase,CASE-275265,CLM-275265,High Value,Under Review,P1 - Critical,1/6/2015,Inv. Sarah Chen,SIU-Midwest,1,77880.0,,No,RuleBased-v4,0.685,27.0,"Incident on 1/6/2015 in Northbend, WV.
Type: Single Vehicle Collision | Collision: Side Collision
Severity: Total Loss | Vehicles: 1
Witnesses: 2 | Police Report: YES
Total Claim: $77880",VIABLE_RECOVERY_CASE,70,Yes,High Value >$50K,Pending,,Cell Data|Bank Records|Repair Estimate,97,0.0,Yes,0.0,No,TRACE-7C6C386C31EA,CLM-275265|ADJ-2614,
CASE-921202,InvestigationCase,CASE-921202,CLM-921202,High Value,Escalated to SIU,P1 - Critical,1/19/2015,Inv. Derek Moss,SIU-Northeast,2,72930.0,,No,GraphSAGE-Fraud,0.689,36.0,"Incident on 1/19/2015 in Northbrook, NY.
Type: Single Vehicle Collision | Collision: Side Collision
Severity: Total Loss | Vehicles: 1
Witnesses: 0 | Police Report: NO
Total Claim: $72930",VIABLE_RECOVERY_CASE,69,Yes,High Value >$50K,Cleared,22/2/2015,Dashcam|Medical Records|Repair Estimate,359,0.0,No,0.0,No,TRACE-37DB95826C90,CLM-921202|ADJ-1349,
CASE-143972,InvestigationCase,CASE-143972,CLM-143972,High Value,Closed - Fraud Confirmed,P1 - Critical,2/22/2015,Inv. Angela Ruiz,SIU-Southeast,0,60400.0,,No,FraudGNN-v2.1,0.787,45.0,"Incident on 2/22/2015 in Columbus, VA.
Type: Multi-vehicle Collision | Collision: Side Collision
Severity: Major Damage | Vehicles: 3
Witnesses: 0 | Police Report: NO
Total Claim: $60400",VIABLE_RECOVERY_CASE,66,Yes,High Value >$50K|Injury No Police Report,Cleared,24/5/2015,CCTV|Repair Estimate|Bank Records|Witness Statement|Dashcam,85,0.0,Yes,0.0,No,TRACE-BE40737C08C4,CLM-143972|ADJ-9648,
CASE-183430,InvestigationCase,CASE-183430,CLM-183430,High Value,Open,P2 - High,1/1/2015,Inv. Marcus Webb,SIU-Southeast,3,47160.0,,No,GraphSAGE-Fraud,0.733,45.0,"Incident on 1/1/2015 in Columbus, NY.
Type: Multi-vehicle Collision | Collision: Rear Collision
Severity: Minor Damage | Vehicles: 3
Witnesses: 0 | Police Report: ?
Total Claim: $47160",INVESTIGATE_FURTHER,53,Yes,Injury No Police Report,Cleared,25/4/2015,Witness Statement|Medical Records|Dashcam|CCTV,81,0.0,No,0.0,No,TRACE-3A67BA2F22FA,CLM-183430|ADJ-1383,
CASE-431876,InvestigationCase,CASE-431876,CLM-431876,High Value,Closed - Fraud Confirmed,P2 - High,2/10/2015,Inv. Sarah Chen,SIU-Central,0,37840.0,,No,FraudGNN-v2.1,0.765,63.0,"Incident on 2/10/2015 in Arlington, SC.
Type: Multi-vehicle Collision | Collision: Side Collision
Severity: Total Loss | Vehicles: 3
Witnesses: 2 | Police Report: ?
Total Claim: $37840",VIABLE_RECOVERY_CASE,66,Yes,Injury No Police Report,Cleared,23/7/2015,Medical Records|CCTV|Cell Data,253,0.0,No,0.0,No,TRACE-8443EED3707C,CLM-431876|ADJ-2108,
CASE-285496,InvestigationCase,CASE-285496,CLM-285496,Fraud Ring,Pending Evidence,P1 - Critical,1/11/2015,Inv. Angela Ruiz,SIU-Northeast,3,71520.0,RING-012,Yes,HINormer-Auto,0.704,36.0,"Incident on 1/11/2015 in Hillsdale, SC.
Type: Multi-vehicle Collision | Collision: Rear Collision
Severity: Major Damage | Vehicles: 3
Witnesses: 0 | Police Report: YES
Total Claim: $71520",VIABLE_RECOVERY_CASE,66,Yes,High Value >$50K|Fraud Ring Cluster,Pending,10/2/2015,CCTV|Police Report|Cell Data|Repair Estimate|Medical Records,114,40730.0,No,23864.17,Yes,TRACE-110CDD15934A,CLM-285496|ADJ-1511,
CASE-115399,InvestigationCase,CASE-115399,CLM-115399,Fraud Ring,Under Review,P1 - Critical,1/19/2015,Inv. Derek Moss,SIU-West,2,98160.0,RING-017,Yes,RuleBased-v4,0.731,36.0,"Incident on 1/19/2015 in Northbend, WV.
Type: Single Vehicle Collision | Collision: Front Collision
Severity: Total Loss | Vehicles: 1
Witnesses: 2 | Police Report: ?
Total Claim: $98160",VIABLE_RECOVERY_CASE,64,Yes,High Value >$50K|Fraud Ring Cluster,Fraud Confirmed,24/6/2015,Bank Records|Police Report|Witness Statement|Cell Data,15,72524.97,No,0.0,Yes,TRACE-434A0F0800F5,CLM-115399|ADJ-2568,
CASE-736882,InvestigationCase,CASE-736882,CLM-736882,High Value,Under Review,P1 - Critical,2/24/2015,Inv. Marcus Webb,SIU-West,3,77880.0,,No,RuleBased-v4,0.775,36.0,"Incident on 2/24/2015 in Riverwood, VA.
Type: Single Vehicle Collision | Collision: Rear Collision
Severity: Minor Damage | Vehicles: 1
Witnesses: 3 | Police Report: NO
Total Claim: $77880",VIABLE_RECOVERY_CASE,72,Yes,High Value >$50K|Injury No Police Report,Pending,22/4/2015,Repair Estimate|Cell Data|Medical Records,245,0.0,No,0.0,No,TRACE-8041DDADA577,CLM-736882|ADJ-8799,
CASE-699044,InvestigationCase,CASE-699044,CLM-699044,Fraud Ring,Closed - Cleared,P1 - Critical,1/9/2015,Inv. Priya Nair,SIU-Southeast,8,71500.0,RING-007,Yes,HINormer-Auto,0.914,72.0,"Incident on 1/9/2015 in Arlington, OH.
Type: Multi-vehicle Collision | Collision: Rear Collision
Severity: Major Damage | Vehicles: 3
Witnesses: 3 | Police Report: YES
Total Claim: $71500",STRONG_RECOVERY_CASE,92,Yes,High Value >$50K|Fraud Ring Cluster,Cleared,,Police Report|Medical Records|Cell Data,107,48204.11,No,9003.2,Yes,TRACE-46F9F9A2289A,CLM-699044|ADJ-3507,
CASE-608513,InvestigationCase,CASE-608513,CLM-608513,Fraud Ring,Open,P1 - Critical,1/7/2015,Inv. Priya Nair,SIU-West,4,5720.0,RING-011,Yes,HINormer-Auto,0.751,54.0,"Incident on 1/7/2015 in Northbrook, VA.
Type: Vehicle Theft | Collision: ?
Severity: Minor Damage | Vehicles: 1
Witnesses: 1 | Police Report: ?
Total Claim: $5720",VIABLE_RECOVERY_CASE,62,Yes,Fraud Ring Cluster,Cleared,,Dashcam|Cell Data|Bank Records,269,4002.78,No,0.0,No,TRACE-D8DA197DD4C6,CLM-608513|ADJ-3702,
CASE-914088,InvestigationCase,CASE-914088,CLM-914088,High Value,Closed - Cleared,P1 - Critical,1/8/2015,Inv. Sarah Chen,SIU-Northeast,1,69840.0,,No,HINormer-Auto,0.608,27.0,"Incident on 1/8/2015 in Northbend, SC.
Type: Single Vehicle Collision | Collision: Side Collision
Severity: Minor Damage | Vehicles: 1
Witnesses: 0 | Police Report: YES
Total Claim: $69840",INVESTIGATE_FURTHER,40,Yes,High Value >$50K,Cleared,13/2/2015,Dashcam|Medical Records,334,0.0,No,0.0,No,TRACE-4BD7756F832E,CLM-914088|ADJ-2682,
CASE-596785,InvestigationCase,CASE-596785,CLM-596785,High Value,Closed - Cleared,P1 - Critical,2/15/2015,Inv. Marcus Webb,SIU-Southeast,3,91650.0,,No,GraphSAGE-Fraud,0.734,36.0,"Incident on 2/15/2015 in Northbrook, SC.
Type: Single Vehicle Collision | Collision: Rear Collision
Severity: Minor Damage | Vehicles: 1
Witnesses: 2 | Police Report: NO
Total Claim: $91650",VIABLE_RECOVERY_CASE,72,Yes,High Value >$50K,Pending,23/4/2015,Police Report|Medical Records|Witness Statement,185,0.0,Yes,33701.94,No,TRACE-A13EEA6408FB,CLM-596785|ADJ-9614,
CASE-908616,InvestigationCase,CASE-908616,CLM-908616,High Value,Escalated to SIU,P1 - Critical,1/18/2015,Inv. Priya Nair,SIU-Central,1,75600.0,,No,HINormer-Auto,0.737,27.0,"Incident on 1/18/2015 in Columbus, SC.
Type: Multi-vehicle Collision | Collision: Side Collision
Severity: Major Damage | Vehicles: 4
Witnesses: 0 | Police Report: ?
Total Claim: $75600",INVESTIGATE_FURTHER,54,Yes,High Value >$50K,Cleared,18/11/2015,Police Report|Cell Data|Medical Records|Dashcam|Repair Estimate,232,0.0,No,25874.33,No,TRACE-36851544C6F0,CLM-908616|ADJ-1021,
CASE-666333,InvestigationCase,CASE-666333,CLM-666333,Fraud - Individual,Under Review,P1 - Critical,2/28/2015,Inv. Priya Nair,SIU-Southeast,2,67140.0,,No,RuleBased-v4,0.703,63.0,"Incident on 2/28/2015 in Riverwood, WV.
Type: Multi-vehicle Collision | Collision: Side Collision
Severity: Major Damage | Vehicles: 3
Witnesses: 2 | Police Report: ?
Total Claim: $67140",VIABLE_RECOVERY_CASE,71,Yes,High Value >$50K,Pending,3/9/2015,CCTV|Dashcam|Witness Statement|Bank Records|Medical Records,261,55996.69,Yes,0.0,No,TRACE-D0500FC1780D,CLM-666333|ADJ-2202,
CASE-336614,InvestigationCase,CASE-336614,CLM-336614,High Value,Open,P3 - Medium,2/24/2015,Inv. Derek Moss,SIU-Southeast,3,29790.0,,No,HINormer-Auto,0.759,81.0,"Incident on 2/24/2015 in Arlington, NY.
Type: Multi-vehicle Collision | Collision: Front Collision
Severity: Total Loss | Vehicles: 3
Witnesses: 3 | Police Report: NO
Total Claim: $29790",STRONG_RECOVERY_CASE,82,Yes,Injury No Police Report,Cleared,23/3/2015,CCTV|Witness Statement|Bank Records,156,0.0,No,5205.15,No,TRACE-CE9C7D4A7888,CLM-336614|ADJ-5157,
CASE-584859,InvestigationCase,CASE-584859,CLM-584859,High Value,Open,P1 - Critical,1/9/2015,Inv. Priya Nair,SIU-West,0,77110.0,,No,GraphSAGE-Fraud,0.705,63.0,"Incident on 1/9/2015 in Hillsdale, NY.
Type: Multi-vehicle Collision | Collision: Front Collision
Severity: Major Damage | Vehicles: 3
Witnesses: 2 | Police Report: ?
Total Claim: $77110",VIABLE_RECOVERY_CASE,72,Yes,High Value >$50K,Cleared,1/3/2015,CCTV|Police Report|Repair Estimate,131,0.0,No,44517.27,No,TRACE-10546419484D,CLM-584859|ADJ-7656,
CASE-990493,InvestigationCase,CASE-990493,CLM-990493,High Value,Under Review,P1 - Critical,2/12/2015,Inv. Angela Ruiz,SIU-Northeast,1,64800.0,,No,HINormer-Auto,0.912,45.0,"Incident on 2/12/2015 in Hillsdale, WV.
Type: Single Vehicle Collision | Collision: Side Collision
Severity: Total Loss | Vehicles: 1
Witnesses: 1 | Police Report: YES
Total Claim: $64800",STRONG_RECOVERY_CASE,84,Yes,High Value >$50K,High Value Approved,16/7/2015,Witness Statement|Police Report,232,0.0,No,0.0,No,TRACE-D8AA3E20F737,CLM-990493|ADJ-9345,
CASE-129872,InvestigationCase,CASE-129872,CLM-129872,Fraud Ring,Under Review,P1 - Critical,1/24/2015,Inv. Priya Nair,SIU-Midwest,2,53100.0,RING-002,Yes,FraudGNN-v2.1,0.732,45.0,"Incident on 1/24/2015 in Springfield, WV.
Type: Single Vehicle Collision | Collision: Front Collision
Severity: Major Damage | Vehicles: 1
Witnesses: 0 | Police Report: YES
Total Claim: $53100",VIABLE_RECOVERY_CASE,79,Yes,High Value >$50K|Fraud Ring Cluster,Fraud Confirmed,3/3/2015,Medical Records|Repair Estimate|Witness Statement,353,28814.12,No,0.0,No,TRACE-832DF7A89D10,CLM-129872|ADJ-3014,
CASE-200152,InvestigationCase,CASE-200152,CLM-200152,Fraud Ring,Under Review,P1 - Critical,1/9/2015,Inv. Derek Moss,SIU-Midwest,2,60200.0,RING-017,Yes,GraphSAGE-Fraud,0.774,45.0,"Incident on 1/9/2015 in Northbrook, NY.
Type: Single Vehicle Collision | Collision: Rear Collision
Severity: Total Loss | Vehicles: 1
Witnesses: 1 | Police Report: YES
Total Claim: $60200",VIABLE_RECOVERY_CASE,77,Yes,High Value >$50K|Fraud Ring Cluster,Inconclusive,21/4/2015,Bank Records|Police Report|CCTV|Witness Statement|Dashcam,123,50102.41,No,0.0,No,TRACE-15DFE9952016,CLM-200152|ADJ-4789,
CASE-485664,InvestigationCase,CASE-485664,CLM-485664,High Value,Open,P1 - Critical,1/21/2015,Inv. Marcus Webb,SIU-Midwest,0,62300.0,,No,FraudGNN-v2.1,0.647,45.0,"Incident on 1/21/2015 in Hillsdale, NY.
Type: Multi-vehicle Collision | Collision: Rear Collision
Severity: Major Damage | Vehicles: 3
Witnesses: 0 | Police Report: ?
Total Claim: $62300",INVESTIGATE_FURTHER,58,Yes,High Value >$50K|Injury No Police Report,Cleared,,Dashcam|CCTV|Bank Records,337,0.0,Yes,0.0,No,TRACE-A109AB590419,CLM-485664|ADJ-8715,
CASE-982871,InvestigationCase,CASE-982871,CLM-982871,Fraud Ring,Closed - Fraud Confirmed,P1 - Critical,1/8/2015,Inv. Priya Nair,SIU-Southeast,3,60170.0,RING-004,Yes,RuleBased-v4,0.678,18.0,"Incident on 1/8/2015 in Columbus, NC.
Type: Single Vehicle Collision | Collision: Front Collision
Severity: Major Damage | Vehicles: 1
Witnesses: 3 | Police Report: NO
Total Claim: $60170",VIABLE_RECOVERY_CASE,60,Yes,High Value >$50K|Fraud Ring Cluster,Cleared,20/3/2015,Repair Estimate|Police Report|Bank Records|CCTV|Witness Statement,320,40817.95,No,0.0,Yes,TRACE-C11F015A1F9E,CLM-982871|ADJ-1464,
CASE-206213,InvestigationCase,CASE-206213,CLM-206213,High Value,Escalated to SIU,P2 - High,1/3/2015,Inv. Angela Ruiz,SIU-Central,3,40000.0,,No,RuleBased-v4,0.76,36.0,"Incident on 1/3/2015 in Columbus, WV.
Type: Single Vehicle Collision | Collision: Rear Collision
Severity: Minor Damage | Vehicles: 1
Witnesses: 2 | Police Report: ?
Total Claim: $40000",VIABLE_RECOVERY_CASE,67,Yes,Injury No Police Report,High Value Approved,,Dashcam|Repair Estimate|Medical Records|Police Report,336,0.0,No,5093.35,No,TRACE-4F9E01640B59,CLM-206213|ADJ-9826,
CASE-616337,InvestigationCase,CASE-616337,CLM-616337,Fraud Ring,Closed - Fraud Confirmed,P1 - Critical,1/1/2015,Inv. Marcus Webb,SIU-West,5,97080.0,RING-015,Yes,FraudGNN-v2.1,0.755,36.0,"Incident on 1/1/2015 in Northbrook, WV.
Type: Single Vehicle Collision | Collision: Side Collision
Severity: Major Damage | Vehicles: 1
Witnesses: 1 | Police Report: ?
Total Claim: $97080",VIABLE_RECOVERY_CASE,61,Yes,High Value >$50K|Fraud Ring Cluster,Fraud Confirmed,,Cell Data|Repair Estimate|Medical Records|Bank Records|Witness Statement,74,73879.96,No,0.0,No,TRACE-8CEB35C83BD0,CLM-616337|ADJ-4147,
CASE-448961,InvestigationCase,CASE-448961,CLM-448961,High Value,Open,P2 - High,1/16/2015,Inv. Angela Ruiz,SIU-Southeast,0,51660.0,,No,FraudGNN-v2.1,0.765,63.0,"Incident on 1/16/2015 in Springfield, SC.
Type: Multi-vehicle Collision | Collision: Side Collision
Severity: Minor Damage | Vehicles: 3
Witnesses: 0 | Police Report: NO
Total Claim: $51660",VIABLE_RECOVERY_CASE,74,Yes,High Value >$50K|Injury No Police Report,High Value Approved,23/12/2015,Bank Records|Witness Statement,360,0.0,No,0.0,No,TRACE-063D3CED4C45,CLM-448961|ADJ-7915,
CASE-790442,InvestigationCase,CASE-790442,CLM-790442,High Value,Open,P2 - High,2/10/2015,Inv. Angela Ruiz,SIU-Midwest,0,51120.0,,No,RuleBased-v4,0.852,36.0,"Incident on 2/10/2015 in Arlington, NC.
Type: Single Vehicle Collision | Collision: Rear Collision
Severity: Total Loss | Vehicles: 1
Witnesses: 2 | Police Report: NO
Total Claim: $51120",VIABLE_RECOVERY_CASE,72,Yes,High Value >$50K,Pending,5/12/2015,Dashcam|Police Report|Witness Statement|CCTV,233,0.0,No,0.0,No,TRACE-A000FD867E5C,CLM-790442|ADJ-1803,
CASE-108844,InvestigationCase,CASE-108844,CLM-108844,High Value,Closed - Fraud Confirmed,P2 - High,2/14/2015,Inv. Sarah Chen,SIU-Southeast,0,56400.0,,No,RuleBased-v4,0.797,36.0,"Incident on 2/14/2015 in Springfield, SC.
Type: Single Vehicle Collision | Collision: Front Collision
Severity: Minor Damage | Vehicles: 1
Witnesses: 2 | Police Report: ?
Total Claim: $56400",VIABLE_RECOVERY_CASE,79,Yes,High Value >$50K,High Value Approved,3/3/2015,Repair Estimate|Cell Data|Witness Statement|Bank Records|Medical Records,154,0.0,Yes,32720.82,No,TRACE-8FC9CC11FAF8,CLM-108844|ADJ-8642,
CASE-430029,InvestigationCase,CASE-430029,CLM-430029,High Value,Under Review,P2 - High,2/21/2015,Inv. Marcus Webb,SIU-West,2,55120.0,,No,RuleBased-v4,0.773,63.0,"Incident on 2/21/2015 in Arlington, NY.
Type: Multi-vehicle Collision | Collision: Rear Collision
Severity: Total Loss | Vehicles: 3
Witnesses: 3 | Police Report: ?
Total Claim: $55120",VIABLE_RECOVERY_CASE,79,Yes,High Value >$50K|Injury No Police Report,Cleared,7/7/2015,Police Report|Bank Records,324,0.0,Yes,11440.15,No,TRACE-66BA69978396,CLM-430029|ADJ-1120,
CASE-529112,InvestigationCase,CASE-529112,CLM-529112,High Value,Closed - Fraud Confirmed,P1 - Critical,2/18/2015,Inv. Marcus Webb,SIU-Southeast,0,77110.0,,No,HINormer-Auto,0.732,81.0,"Incident on 2/18/2015 in Northbend, NC.
Type: Multi-vehicle Collision | Collision: Rear Collision
Severity: Total Loss | Vehicles: 3
Witnesses: 1 | Police Report: ?
Total Claim: $77110",STRONG_RECOVERY_CASE,80,Yes,High Value >$50K|Injury No Police Report,High Value Approved,3/8/2015,Cell Data|Witness Statement,275,0.0,Yes,9011.41,No,TRACE-C98D43B5271B,CLM-529112|ADJ-6440,
