:START_ID,:END_ID,:TYPE,member_role,weight,connection_strength,fraud_signal,first_seen_date,last_seen_date,event_time,interaction_count
RING-002,CUST-IL-8733-7991,RING_INVOLVES_CUSTOMER,Driver,1.0,1.0,HIGH,01/01/2015,01/01/2015,01/01/2015,5
RING-002,CUST-OH-5201-2021,RING_INVOLVES_CUSTOMER,Claimant,1.0,1.0,HIGH,01/01/2015,01/01/2015,01/01/2015,4
RING-002,CUST-IN-3226-2839,RING_INVOLVES_CUSTOMER,Orchestrator,1.0,1.0,HIGH,01/01/2015,01/01/2015,01/01/2015,1
RING-002,CUST-IL-7374-6988,RING_INVOLVES_CUSTOMER,Unknown,1.0,1.0,HIGH,01/01/2015,01/01/2015,01/01/2015,3
RING-003,CUST-OH-8327-5400,RING_INVOLVES_CUSTOMER,Driver,0.767,0.767,HIGH,01/01/2015,01/01/2015,01/01/2015,3
RING-003,CUST-IL-3859-7974,RING_INVOLVES_CUSTOMER,Driver,0.767,0.767,HIGH,01/01/2015,01/01/2015,01/01/2015,2
RING-003,CUST-OH-7834-3212,RING_INVOLVES_CUSTOMER,Orchestrator,0.767,0.767,HIGH,01/01/2015,01/01/2015,01/01/2015,1
RING-003,CUST-OH-1559-1226,RING_INVOLVES_CUSTOMER,Claimant,0.767,0.767,HIGH,01/01/2015,01/01/2015,01/01/2015,3
RING-003,CUST-OH-4440-5780,RING_INVOLVES_CUSTOMER,Orchestrator,0.767,0.767,HIGH,01/01/2015,01/01/2015,01/01/2015,5
RING-003,CUST-OH-5360-4725,RING_INVOLVES_CUSTOMER,Witness,0.767,0.767,HIGH,01/01/2015,01/01/2015,01/01/2015,4
RING-004,CUST-IN-9828-7272,RING_INVOLVES_CUSTOMER,Driver,0.942,0.942,HIGH,01/01/2015,01/01/2015,01/01/2015,1
RING-004,CUST-IN-3328-7266,RING_INVOLVES_CUSTOMER,Claimant,0.942,0.942,HIGH,01/01/2015,01/01/2015,01/01/2015,2
RING-004,CUST-IN-3565-8194,RING_INVOLVES_CUSTOMER,Orchestrator,0.942,0.942,HIGH,01/01/2015,01/01/2015,01/01/2015,4
RING-004,CUST-OH-7519-6878,RING_INVOLVES_CUSTOMER,Claimant,0.942,0.942,HIGH,01/01/2015,01/01/2015,01/01/2015,4
RING-004,CUST-OH-9713-1854,RING_INVOLVES_CUSTOMER,Unknown,0.942,0.942,HIGH,01/01/2015,01/01/2015,01/01/2015,3
RING-004,CUST-IL-6488-6659,RING_INVOLVES_CUSTOMER,Driver,0.942,0.942,HIGH,01/01/2015,01/01/2015,01/01/2015,2
RING-004,CUST-IN-2548-1573,RING_INVOLVES_CUSTOMER,Orchestrator,0.942,0.942,HIGH,01/01/2015,01/01/2015,01/01/2015,5
RING-005,CUST-IN-3428-3984,RING_INVOLVES_CUSTOMER,Unknown,0.854,0.854,HIGH,01/01/2015,01/01/2015,01/01/2015,4
RING-005,CUST-OH-1329-5374,RING_INVOLVES_CUSTOMER,Claimant,0.854,0.854,HIGH,01/01/2015,01/01/2015,01/01/2015,1
RING-005,CUST-IN-8533-8794,RING_INVOLVES_CUSTOMER,Claimant,0.854,0.854,HIGH,01/01/2015,01/01/2015,01/01/2015,2
RING-005,CUST-OH-1204-2516,RING_INVOLVES_CUSTOMER,Witness,0.854,0.854,HIGH,01/01/2015,01/01/2015,01/01/2015,2
RING-005,CUST-OH-5323-3957,RING_INVOLVES_CUSTOMER,Claimant,0.854,0.854,HIGH,01/01/2015,01/01/2015,01/01/2015,3
RING-005,CUST-IL-4755-4089,RING_INVOLVES_CUSTOMER,Unknown,0.854,0.854,HIGH,01/01/2015,01/01/2015,01/01/2015,2
RING-005,CUST-IN-3739-9604,RING_INVOLVES_CUSTOMER,Witness,0.854,0.854,HIGH,01/01/2015,01/01/2015,01/01/2015,2
RING-006,CUST-IL-1747-3224,RING_INVOLVES_CUSTOMER,Claimant,0.731,0.731,HIGH,01/01/2015,01/01/2015,01/01/2015,3
RING-006,CUST-IL-9126-8659,RING_INVOLVES_CUSTOMER,Claimant,0.731,0.731,HIGH,01/01/2015,01/01/2015,01/01/2015,1
RING-006,CUST-IN-8921-3216,RING_INVOLVES_CUSTOMER,Claimant,0.731,0.731,HIGH,01/01/2015,01/01/2015,01/01/2015,2
RING-006,CUST-IL-7769-8874,RING_INVOLVES_CUSTOMER,Unknown,0.731,0.731,HIGH,01/01/2015,01/01/2015,01/01/2015,4
RING-007,CUST-OH-6990-2021,RING_INVOLVES_CUSTOMER,Claimant,0.983,0.983,HIGH,01/01/2015,01/01/2015,01/01/2015,3
RING-007,CUST-OH-5193-9664,RING_INVOLVES_CUSTOMER,Witness,0.983,0.983,HIGH,01/01/2015,01/01/2015,01/01/2015,2
RING-007,CUST-IN-9006-4322,RING_INVOLVES_CUSTOMER,Claimant,0.983,0.983,HIGH,01/01/2015,01/01/2015,01/01/2015,5
RING-007,CUST-OH-2885-7334,RING_INVOLVES_CUSTOMER,Unknown,0.983,0.983,HIGH,01/01/2015,01/01/2015,01/01/2015,4
RING-007,CUST-IL-6296-6796,RING_INVOLVES_CUSTOMER,Orchestrator,0.983,0.983,HIGH,01/01/2015,01/01/2015,01/01/2015,3
RING-007,CUST-IL-2432-4094,RING_INVOLVES_CUSTOMER,Driver,0.983,0.983,HIGH,01/01/2015,01/01/2015,01/01/2015,4
RING-007,CUST-IN-2091-8748,RING_INVOLVES_CUSTOMER,Driver,0.983,0.983,HIGH,01/01/2015,01/01/2015,01/01/2015,3
RING-007,CUST-IN-4905-2706,RING_INVOLVES_CUSTOMER,Claimant,0.983,0.983,HIGH,01/01/2015,01/01/2015,01/01/2015,1
RING-008,CUST-IL-5831-5940,RING_INVOLVES_CUSTOMER,Claimant,0.837,0.837,HIGH,01/01/2015,01/01/2015,01/01/2015,5
RING-008,CUST-IL-6051-9898,RING_INVOLVES_CUSTOMER,Orchestrator,0.837,0.837,HIGH,01/01/2015,01/01/2015,01/01/2015,4
RING-008,CUST-IL-9793-4706,RING_INVOLVES_CUSTOMER,Witness,0.837,0.837,HIGH,01/01/2015,01/01/2015,01/01/2015,5
RING-008,CUST-IN-9533-3622,RING_INVOLVES_CUSTOMER,Unknown,0.837,0.837,HIGH,01/01/2015,01/01/2015,01/01/2015,5
RING-008,CUST-IN-4393-7575,RING_INVOLVES_CUSTOMER,Orchestrator,0.837,0.837,HIGH,01/01/2015,01/01/2015,01/01/2015,4
RING-008,CUST-IN-3902-6158,RING_INVOLVES_CUSTOMER,Claimant,0.837,0.837,HIGH,01/01/2015,01/01/2015,01/01/2015,4
RING-009,CUST-IN-4981-8685,RING_INVOLVES_CUSTOMER,Witness,0.867,0.867,HIGH,01/01/2015,01/01/2015,01/01/2015,3
RING-009,CUST-OH-4427-6544,RING_INVOLVES_CUSTOMER,Driver,0.867,0.867,HIGH,01/01/2015,01/01/2015,01/01/2015,3
RING-009,CUST-OH-5667-3874,RING_INVOLVES_CUSTOMER,Witness,0.867,0.867,HIGH,01/01/2015,01/01/2015,01/01/2015,1
RING-009,CUST-IL-4312-9688,RING_INVOLVES_CUSTOMER,Driver,0.867,0.867,HIGH,01/01/2015,01/01/2015,01/01/2015,3
RING-009,CUST-IL-9981-2292,RING_INVOLVES_CUSTOMER,Witness,0.867,0.867,HIGH,01/01/2015,01/01/2015,01/01/2015,5
RING-009,CUST-IL-3074-3779,RING_INVOLVES_CUSTOMER,Claimant,0.867,0.867,HIGH,01/01/2015,01/01/2015,01/01/2015,2
RING-009,CUST-OH-9319-5231,RING_INVOLVES_CUSTOMER,Claimant,0.867,0.867,HIGH,01/01/2015,01/01/2015,01/01/2015,4
RING-010,CUST-OH-1166-8572,RING_INVOLVES_CUSTOMER,Driver,0.707,0.707,HIGH,01/01/2015,01/01/2015,01/01/2015,5
RING-010,CUST-OH-5934-8010,RING_INVOLVES_CUSTOMER,Witness,0.707,0.707,HIGH,01/01/2015,01/01/2015,01/01/2015,5
RING-010,CUST-IN-3792-5609,RING_INVOLVES_CUSTOMER,Unknown,0.707,0.707,HIGH,01/01/2015,01/01/2015,01/01/2015,5
RING-010,CUST-IL-3261-4858,RING_INVOLVES_CUSTOMER,Witness,0.707,0.707,HIGH,01/01/2015,01/01/2015,01/01/2015,5
RING-011,CUST-IN-6085-4973,RING_INVOLVES_CUSTOMER,Witness,0.856,0.856,HIGH,01/01/2015,01/01/2015,01/01/2015,4
RING-011,CUST-OH-5750-2758,RING_INVOLVES_CUSTOMER,Unknown,0.856,0.856,HIGH,01/01/2015,01/01/2015,01/01/2015,2
RING-011,CUST-IN-3328-1393,RING_INVOLVES_CUSTOMER,Witness,0.856,0.856,HIGH,01/01/2015,01/01/2015,01/01/2015,2
RING-011,CUST-OH-8766-8159,RING_INVOLVES_CUSTOMER,Claimant,0.856,0.856,HIGH,01/01/2015,01/01/2015,01/01/2015,1
RING-011,CUST-IN-5890-8877,RING_INVOLVES_CUSTOMER,Witness,0.856,0.856,HIGH,01/01/2015,01/01/2015,01/01/2015,4
RING-011,CUST-OH-2832-7616,RING_INVOLVES_CUSTOMER,Claimant,0.856,0.856,HIGH,01/01/2015,01/01/2015,01/01/2015,2
RING-011,CUST-OH-9915-3900,RING_INVOLVES_CUSTOMER,Claimant,0.856,0.856,HIGH,01/01/2015,01/01/2015,01/01/2015,3
RING-012,CUST-IL-2278-6896,RING_INVOLVES_CUSTOMER,Unknown,0.915,0.915,HIGH,01/01/2015,01/01/2015,01/01/2015,2
RING-012,CUST-IL-2854-7788,RING_INVOLVES_CUSTOMER,Driver,0.915,0.915,HIGH,01/01/2015,01/01/2015,01/01/2015,2
RING-012,CUST-OH-5172-4318,RING_INVOLVES_CUSTOMER,Claimant,0.915,0.915,HIGH,01/01/2015,01/01/2015,01/01/2015,3
RING-012,CUST-IN-6024-4468,RING_INVOLVES_CUSTOMER,Orchestrator,0.915,0.915,HIGH,01/01/2015,01/01/2015,01/01/2015,1
RING-012,CUST-OH-7661-5916,RING_INVOLVES_CUSTOMER,Orchestrator,0.915,0.915,HIGH,01/01/2015,01/01/2015,01/01/2015,3
RING-012,CUST-IL-6381-6710,RING_INVOLVES_CUSTOMER,Claimant,0.915,0.915,HIGH,01/01/2015,01/01/2015,01/01/2015,3
RING-012,CUST-IN-4314-6257,RING_INVOLVES_CUSTOMER,Claimant,0.915,0.915,HIGH,01/01/2015,01/01/2015,01/01/2015,4
RING-012,CUST-IL-2642-8272,RING_INVOLVES_CUSTOMER,Driver,0.915,0.915,HIGH,01/01/2015,01/01/2015,01/01/2015,3
RING-013,CUST-OH-6326-4983,RING_INVOLVES_CUSTOMER,Witness,0.994,0.994,HIGH,01/01/2015,01/01/2015,01/01/2015,1
RING-013,CUST-IL-1557-9208,RING_INVOLVES_CUSTOMER,Claimant,0.994,0.994,HIGH,01/01/2015,01/01/2015,01/01/2015,3
RING-013,CUST-IL-1195-1770,RING_INVOLVES_CUSTOMER,Orchestrator,0.994,0.994,HIGH,01/01/2015,01/01/2015,01/01/2015,2
RING-013,CUST-IN-3846-2535,RING_INVOLVES_CUSTOMER,Witness,0.994,0.994,HIGH,01/01/2015,01/01/2015,01/01/2015,3
RING-013,CUST-IL-4459-8524,RING_INVOLVES_CUSTOMER,Unknown,0.994,0.994,HIGH,01/01/2015,01/01/2015,01/01/2015,5
RING-013,CUST-IL-6622-2955,RING_INVOLVES_CUSTOMER,Orchestrator,0.994,0.994,HIGH,01/01/2015,01/01/2015,01/01/2015,1
RING-013,CUST-IL-8520-9861,RING_INVOLVES_CUSTOMER,Claimant,0.994,0.994,HIGH,01/01/2015,01/01/2015,01/01/2015,1
RING-013,CUST-IL-5502-6225,RING_INVOLVES_CUSTOMER,Orchestrator,0.994,0.994,HIGH,01/01/2015,01/01/2015,01/01/2015,3
RING-013,CUST-IL-5947-7919,RING_INVOLVES_CUSTOMER,Witness,0.994,0.994,HIGH,01/01/2015,01/01/2015,01/01/2015,1
RING-013,CUST-OH-2190-9253,RING_INVOLVES_CUSTOMER,Unknown,0.994,0.994,HIGH,01/01/2015,01/01/2015,01/01/2015,3
RING-014,CUST-IN-6483-1723,RING_INVOLVES_CUSTOMER,Unknown,0.737,0.737,HIGH,01/01/2015,01/01/2015,01/01/2015,1
RING-014,CUST-IL-3573-2346,RING_INVOLVES_CUSTOMER,Claimant,0.737,0.737,HIGH,01/01/2015,01/01/2015,01/01/2015,1
RING-014,CUST-IL-4571-5592,RING_INVOLVES_CUSTOMER,Witness,0.737,0.737,HIGH,01/01/2015,01/01/2015,01/01/2015,1
RING-014,CUST-IN-7466-2276,RING_INVOLVES_CUSTOMER,Unknown,0.737,0.737,HIGH,01/01/2015,01/01/2015,01/01/2015,1
RING-015,CUST-IN-6163-3369,RING_INVOLVES_CUSTOMER,Witness,0.956,0.956,HIGH,01/01/2015,01/01/2015,01/01/2015,5
RING-015,CUST-OH-1681-4640,RING_INVOLVES_CUSTOMER,Orchestrator,0.956,0.956,HIGH,01/01/2015,01/01/2015,01/01/2015,1
RING-015,CUST-IN-2650-7639,RING_INVOLVES_CUSTOMER,Witness,0.956,0.956,HIGH,01/01/2015,01/01/2015,01/01/2015,3
RING-015,CUST-IL-1376-5222,RING_INVOLVES_CUSTOMER,Witness,0.956,0.956,HIGH,01/01/2015,01/01/2015,01/01/2015,2
RING-015,CUST-IN-7308-3591,RING_INVOLVES_CUSTOMER,Unknown,0.956,0.956,HIGH,01/01/2015,01/01/2015,01/01/2015,3
RING-015,CUST-IN-6911-7725,RING_INVOLVES_CUSTOMER,Driver,0.956,0.956,HIGH,01/01/2015,01/01/2015,01/01/2015,1
RING-015,CUST-IN-9293-7163,RING_INVOLVES_CUSTOMER,Unknown,0.956,0.956,HIGH,01/01/2015,01/01/2015,01/01/2015,3
RING-016,CUST-IL-2358-7873,RING_INVOLVES_CUSTOMER,Driver,1.0,1.0,HIGH,01/01/2015,01/01/2015,01/01/2015,2
RING-016,CUST-OH-3886-5052,RING_INVOLVES_CUSTOMER,Claimant,1.0,1.0,HIGH,01/01/2015,01/01/2015,01/01/2015,4
RING-016,CUST-OH-9994-5024,RING_INVOLVES_CUSTOMER,Witness,1.0,1.0,HIGH,01/01/2015,01/01/2015,01/01/2015,5
RING-016,CUST-OH-3965-5436,RING_INVOLVES_CUSTOMER,Driver,1.0,1.0,HIGH,01/01/2015,01/01/2015,01/01/2015,2
RING-016,CUST-IN-9962-1887,RING_INVOLVES_CUSTOMER,Witness,1.0,1.0,HIGH,01/01/2015,01/01/2015,01/01/2015,3
RING-016,CUST-IL-4452-1959,RING_INVOLVES_CUSTOMER,Claimant,1.0,1.0,HIGH,01/01/2015,01/01/2015,01/01/2015,3
RING-016,CUST-OH-6262-7395,RING_INVOLVES_CUSTOMER,Driver,1.0,1.0,HIGH,01/01/2015,01/01/2015,01/01/2015,2
RING-016,CUST-OH-9854-7878,RING_INVOLVES_CUSTOMER,Driver,1.0,1.0,HIGH,01/01/2015,01/01/2015,01/01/2015,3
RING-016,CUST-OH-8402-3708,RING_INVOLVES_CUSTOMER,Claimant,1.0,1.0,HIGH,01/01/2015,01/01/2015,01/01/2015,5
RING-016,CUST-IL-2315-5319,RING_INVOLVES_CUSTOMER,Orchestrator,1.0,1.0,HIGH,01/01/2015,01/01/2015,01/01/2015,2
RING-016,CUST-IN-1829-5805,RING_INVOLVES_CUSTOMER,Driver,1.0,1.0,HIGH,01/01/2015,01/01/2015,01/01/2015,2
RING-017,CUST-IN-1153-1006,RING_INVOLVES_CUSTOMER,Unknown,0.923,0.923,HIGH,01/01/2015,01/01/2015,01/01/2015,3
RING-017,CUST-IL-2001-8912,RING_INVOLVES_CUSTOMER,Witness,0.923,0.923,HIGH,01/01/2015,01/01/2015,01/01/2015,3
RING-017,CUST-OH-3916-4980,RING_INVOLVES_CUSTOMER,Witness,0.923,0.923,HIGH,01/01/2015,01/01/2015,01/01/2015,4
RING-017,CUST-OH-3360-4974,RING_INVOLVES_CUSTOMER,Orchestrator,0.923,0.923,HIGH,01/01/2015,01/01/2015,01/01/2015,3
RING-017,CUST-IL-5638-3026,RING_INVOLVES_CUSTOMER,Unknown,0.923,0.923,HIGH,01/01/2015,01/01/2015,01/01/2015,2
RING-017,CUST-IN-2167-4459,RING_INVOLVES_CUSTOMER,Orchestrator,0.923,0.923,HIGH,01/01/2015,01/01/2015,01/01/2015,3
RING-017,CUST-IN-9441-9068,RING_INVOLVES_CUSTOMER,Witness,0.923,0.923,HIGH,01/01/2015,01/01/2015,01/01/2015,2
RING-018,CUST-IN-1493-1648,RING_INVOLVES_CUSTOMER,Claimant,1.0,1.0,HIGH,01/01/2015,01/01/2015,01/01/2015,1
RING-018,CUST-OH-7431-8726,RING_INVOLVES_CUSTOMER,Claimant,1.0,1.0,HIGH,01/01/2015,01/01/2015,01/01/2015,5
RING-018,CUST-OH-1877-9846,RING_INVOLVES_CUSTOMER,Driver,1.0,1.0,HIGH,01/01/2015,01/01/2015,01/01/2015,4
RING-018,CUST-OH-2613-6074,RING_INVOLVES_CUSTOMER,Unknown,1.0,1.0,HIGH,01/01/2015,01/01/2015,01/01/2015,1
RING-018,CUST-IN-5829-4510,RING_INVOLVES_CUSTOMER,Claimant,1.0,1.0,HIGH,01/01/2015,01/01/2015,01/01/2015,5
RING-018,CUST-IN-5339-9307,RING_INVOLVES_CUSTOMER,Claimant,1.0,1.0,HIGH,01/01/2015,01/01/2015,01/01/2015,1
RING-018,CUST-IL-2768-4683,RING_INVOLVES_CUSTOMER,Orchestrator,1.0,1.0,HIGH,01/01/2015,01/01/2015,01/01/2015,5
RING-018,CUST-IL-7131-5446,RING_INVOLVES_CUSTOMER,Witness,1.0,1.0,HIGH,01/01/2015,01/01/2015,01/01/2015,5
RING-018,CUST-IL-6647-9269,RING_INVOLVES_CUSTOMER,Orchestrator,1.0,1.0,HIGH,01/01/2015,01/01/2015,01/01/2015,1
RING-018,CUST-IN-5714-7382,RING_INVOLVES_CUSTOMER,Orchestrator,1.0,1.0,HIGH,01/01/2015,01/01/2015,01/01/2015,4
RING-018,CUST-IN-7525-6155,RING_INVOLVES_CUSTOMER,Claimant,1.0,1.0,HIGH,01/01/2015,01/01/2015,01/01/2015,5
RING-018,CUST-IN-6865-7790,RING_INVOLVES_CUSTOMER,Witness,1.0,1.0,HIGH,01/01/2015,01/01/2015,01/01/2015,2
RING-019,CUST-IN-9588-4189,RING_INVOLVES_CUSTOMER,Unknown,0.951,0.951,HIGH,01/01/2015,01/01/2015,01/01/2015,2
RING-019,CUST-OH-4248-3008,RING_INVOLVES_CUSTOMER,Witness,0.951,0.951,HIGH,01/01/2015,01/01/2015,01/01/2015,1
RING-019,CUST-IL-6895-7617,RING_INVOLVES_CUSTOMER,Claimant,0.951,0.951,HIGH,01/01/2015,01/01/2015,01/01/2015,4
RING-019,CUST-IL-3315-3224,RING_INVOLVES_CUSTOMER,Witness,0.951,0.951,HIGH,01/01/2015,01/01/2015,01/01/2015,2
RING-019,CUST-IN-3866-4538,RING_INVOLVES_CUSTOMER,Claimant,0.951,0.951,HIGH,01/01/2015,01/01/2015,01/01/2015,4
RING-019,CUST-OH-3479-3584,RING_INVOLVES_CUSTOMER,Witness,0.951,0.951,HIGH,01/01/2015,01/01/2015,01/01/2015,1
RING-019,CUST-IN-6519-4326,RING_INVOLVES_CUSTOMER,Orchestrator,0.951,0.951,HIGH,01/01/2015,01/01/2015,01/01/2015,1
RING-019,CUST-OH-4396-4188,RING_INVOLVES_CUSTOMER,Witness,0.951,0.951,HIGH,01/01/2015,01/01/2015,01/01/2015,3
RING-019,CUST-IL-2060-3065,RING_INVOLVES_CUSTOMER,Driver,0.951,0.951,HIGH,01/01/2015,01/01/2015,01/01/2015,3
RING-020,CUST-IN-9041-7071,RING_INVOLVES_CUSTOMER,Unknown,0.929,0.929,HIGH,01/01/2015,01/01/2015,01/01/2015,4
RING-020,CUST-IN-5130-4054,RING_INVOLVES_CUSTOMER,Orchestrator,0.929,0.929,HIGH,01/01/2015,01/01/2015,01/01/2015,2
RING-020,CUST-IN-4149-6899,RING_INVOLVES_CUSTOMER,Orchestrator,0.929,0.929,HIGH,01/01/2015,01/01/2015,01/01/2015,5
RING-020,CUST-IN-4219-4495,RING_INVOLVES_CUSTOMER,Unknown,0.929,0.929,HIGH,01/01/2015,01/01/2015,01/01/2015,5
RING-020,CUST-IN-7538-8590,RING_INVOLVES_CUSTOMER,Driver,0.929,0.929,HIGH,01/01/2015,01/01/2015,01/01/2015,2
RING-020,CUST-OH-4307-3612,RING_INVOLVES_CUSTOMER,Witness,0.929,0.929,HIGH,01/01/2015,01/01/2015,01/01/2015,1
RING-020,CUST-IL-2315-7490,RING_INVOLVES_CUSTOMER,Witness,0.929,0.929,HIGH,01/01/2015,01/01/2015,01/01/2015,3
