:ID,:LABEL,event_id,linked_claim_id,event_type,event_subtype,event_date,event_time_hour,event_day_of_week,location_city,location_state,geo_latitude,geo_longitude,severity,weather,road_conditions,vehicles_involved,injuries,fatalities,police_attended,fraud_reported,ring_member,cluster_id
EVT-543610,Event,EVT-543610,CLM-543610,Collision,Single Vehicle Collision,1/6/2015,22,Saturday,Northbend,NY,41.72746,-74.160924,Total Loss,Snow,Under Construction,1,2,0,?,N,No,
EVT-214618,Event,EVT-214618,CLM-214618,Collision,Multi-vehicle Collision,2/15/2015,21,Friday,Springfield,SC,33.088865,-80.540407,Major Damage,Wind,Icy,3,1,0,YES,N,No,
EVT-842643,Event,EVT-842643,CLM-842643,Collision,Single Vehicle Collision,1/22/2015,9,Friday,Northbend,SC,34.956113,-80.657694,Total Loss,Ice,Icy,1,1,0,NO,N,No,
EVT-626808,Event,EVT-626808,CLM-626808,Parked Car Damage,Parked Car,1/8/2015,5,Saturday,Springfield,SC,32.988231,-81.554204,Minor Damage,Fog,Under Construction,1,1,0,NO,N,No,
EVT-644081,Event,EVT-644081,CLM-644081,Collision,Single Vehicle Collision,1/15/2015,12,Sunday,Springfield,SC,33.333885,-79.611064,Total Loss,Rain,Unknown,1,0,0,YES,Y,No,
EVT-892874,Event,EVT-892874,CLM-892874,Collision,Multi-vehicle Collision,1/29/2015,12,Monday,Hillsdale,WV,39.958527,-81.385125,Major Damage,Fog,Unknown,4,0,0,NO,Y,No,
EVT-558938,Event,EVT-558938,CLM-558938,Collision,Multi-vehicle Collision,2/22/2015,0,Sunday,Riverwood,NY,43.740419,-76.533802,Major Damage,Rain,Wet,3,1,0,YES,N,No,
EVT-275265,Event,EVT-275265,CLM-275265,Collision,Single Vehicle Collision,1/6/2015,9,Sunday,Northbend,WV,37.640796,-79.722859,Total Loss,Clear,Wet,1,0,0,YES,N,No,
EVT-921202,Event,EVT-921202,CLM-921202,Collision,Single Vehicle Collision,1/19/2015,19,Thursday,Northbrook,NY,43.477889,-74.677652,Total Loss,Clear,Unknown,1,1,0,NO,N,No,
EVT-143972,Event,EVT-143972,CLM-143972,Collision,Multi-vehicle Collision,2/22/2015,8,Tuesday,Columbus,VA,36.371482,-77.817652,Major Damage,Unknown,Unknown,3,2,0,NO,N,No,
EVT-183430,Event,EVT-183430,CLM-183430,Collision,Multi-vehicle Collision,1/1/2015,20,Wednesday,Columbus,NY,41.848451,-75.273209,Minor Damage,Wind,Under Construction,3,1,0,?,N,No,
EVT-431876,Event,EVT-431876,CLM-431876,Collision,Multi-vehicle Collision,2/10/2015,15,Monday,Arlington,SC,35.103425,-81.498471,Total Loss,Unknown,Wet,3,1,0,?,N,No,
EVT-285496,Event,EVT-285496,CLM-285496,Collision,Multi-vehicle Collision,1/11/2015,20,Friday,Hillsdale,SC,33.139439,-79.846642,Major Damage,Fog,Wet,3,0,0,YES,Y,Yes,RING-012
EVT-115399,Event,EVT-115399,CLM-115399,Collision,Single Vehicle Collision,1/19/2015,15,Wednesday,Northbend,WV,37.159079,-81.096569,Total Loss,Snow,Dry,1,2,0,?,Y,Yes,RING-017
EVT-736882,Event,EVT-736882,CLM-736882,Collision,Single Vehicle Collision,2/24/2015,6,Tuesday,Riverwood,VA,37.311335,-77.553999,Minor Damage,Rain,Gravel,1,1,0,NO,N,No,
EVT-699044,Event,EVT-699044,CLM-699044,Collision,Multi-vehicle Collision,1/9/2015,16,Monday,Arlington,OH,39.498683,-83.437517,Major Damage,Unknown,Gravel,3,1,0,YES,Y,Yes,RING-007
EVT-863236,Event,EVT-863236,CLM-863236,Parked Car Damage,Parked Car,1/28/2015,4,Monday,Arlington,PA,39.910795,-77.541445,Minor Damage,Clear,Unknown,1,1,0,YES,N,No,
EVT-608513,Event,EVT-608513,CLM-608513,Theft,Vehicle Theft,1/7/2015,5,Thursday,Northbrook,VA,37.447117,-80.432396,Minor Damage,Snow,Gravel,1,2,0,?,Y,Yes,RING-011
EVT-914088,Event,EVT-914088,CLM-914088,Collision,Single Vehicle Collision,1/8/2015,21,Thursday,Northbend,SC,34.669394,-81.018238,Minor Damage,Fog,Unknown,1,1,0,YES,N,No,
EVT-596785,Event,EVT-596785,CLM-596785,Collision,Single Vehicle Collision,2/15/2015,5,Tuesday,Northbrook,SC,33.557325,-81.511234,Minor Damage,Rain,Wet,1,2,0,NO,N,No,
EVT-908616,Event,EVT-908616,CLM-908616,Collision,Multi-vehicle Collision,1/18/2015,22,Saturday,Columbus,SC,33.830305,-81.678665,Major Damage,Wind,Gravel,4,0,0,?,N,No,
EVT-666333,Event,EVT-666333,CLM-666333,Collision,Multi-vehicle Collision,2/28/2015,10,Monday,Riverwood,WV,39.921132,-79.561086,Major Damage,Fog,Gravel,3,2,0,?,Y,No,
EVT-336614,Event,EVT-336614,CLM-336614,Collision,Multi-vehicle Collision,2/24/2015,16,Tuesday,Arlington,NY,42.285662,-74.50042,Total Loss,Fog,Gravel,3,2,0,NO,N,No,
EVT-584859,Event,EVT-584859,CLM-584859,Collision,Multi-vehicle Collision,1/9/2015,1,Monday,Hillsdale,NY,42.141083,-75.468617,Major Damage,Snow,Gravel,3,1,0,?,N,No,
EVT-990493,Event,EVT-990493,CLM-990493,Collision,Single Vehicle Collision,2/12/2015,17,Monday,Hillsdale,WV,39.554591,-80.567879,Total Loss,Rain,Under Construction,1,0,0,YES,N,No,
EVT-129872,Event,EVT-129872,CLM-129872,Collision,Single Vehicle Collision,1/24/2015,15,Saturday,Springfield,WV,39.416211,-80.756131,Major Damage,Snow,Gravel,1,2,0,YES,Y,Yes,RING-002
EVT-200152,Event,EVT-200152,CLM-200152,Collision,Single Vehicle Collision,1/9/2015,3,Saturday,Northbrook,NY,42.092563,-74.5318,Total Loss,Fog,Under Construction,1,1,0,YES,Y,Yes,RING-017
EVT-933293,Event,EVT-933293,CLM-933293,Parked Car Damage,Parked Car,1/18/2015,16,Saturday,Arlington,WV,37.448573,-81.350874,Minor Damage,Clear,Under Construction,1,1,0,YES,N,No,
EVT-485664,Event,EVT-485664,CLM-485664,Collision,Multi-vehicle Collision,1/21/2015,4,Monday,Hillsdale,NY,43.604141,-76.764029,Major Damage,Rain,Gravel,3,2,0,?,N,No,
EVT-982871,Event,EVT-982871,CLM-982871,Collision,Single Vehicle Collision,1/8/2015,4,Tuesday,Columbus,NC,36.887666,-78.073547,Major Damage,Unknown,Dry,1,0,0,NO,Y,Yes,RING-004
EVT-206213,Event,EVT-206213,CLM-206213,Collision,Single Vehicle Collision,1/3/2015,19,Thursday,Columbus,WV,39.04363,-81.062774,Minor Damage,Rain,Unknown,1,2,0,?,N,No,
EVT-616337,Event,EVT-616337,CLM-616337,Collision,Single Vehicle Collision,1/1/2015,1,Monday,Northbrook,WV,37.506706,-79.504184,Major Damage,Fog,Gravel,1,1,0,?,Y,Yes,RING-015
EVT-448961,Event,EVT-448961,CLM-448961,Collision,Multi-vehicle Collision,1/16/2015,17,Monday,Springfield,SC,34.582257,-81.934265,Minor Damage,Unknown,Under Construction,3,1,0,NO,N,No,
EVT-790442,Event,EVT-790442,CLM-790442,Collision,Single Vehicle Collision,2/10/2015,23,Monday,Arlington,NC,36.972073,-78.8063,Total Loss,Rain,Unknown,1,2,0,NO,N,No,
EVT-108844,Event,EVT-108844,CLM-108844,Collision,Single Vehicle Collision,2/14/2015,14,Friday,Springfield,SC,33.375159,-81.617098,Minor Damage,Snow,Under Construction,1,0,0,?,N,No,
EVT-430029,Event,EVT-430029,CLM-430029,Collision,Multi-vehicle Collision,2/21/2015,17,Saturday,Arlington,NY,43.961635,-75.129175,Total Loss,Wind,Wet,3,2,0,?,N,No,
EVT-529112,Event,EVT-529112,CLM-529112,Collision,Multi-vehicle Collision,2/18/2015,11,Friday,Northbend,NC,35.585628,-79.585293,Total Loss,Wind,Wet,3,1,0,?,N,No,
EVT-939631,Event,EVT-939631,CLM-939631,Collision,Multi-vehicle Collision,1/10/2015,19,Monday,Arlington,WV,39.842544,-80.121539,Major Damage,Unknown,Icy,3,2,0,NO,Y,Yes,RING-001
EVT-866931,Event,EVT-866931,CLM-866931,Theft,Vehicle Theft,2/26/2015,5,Thursday,Arlington,NY,44.306623,-75.922234,Trivial Damage,Wind,Icy,1,2,0,YES,N,No,
EVT-582011,Event,EVT-582011,CLM-582011,Collision,Single Vehicle Collision,1/1/2015,19,Tuesday,Springfield,WV,37.388661,-78.968213,Total Loss,Clear,Wet,1,0,0,?,N,No,
EVT-691189,Event,EVT-691189,CLM-691189,Collision,Multi-vehicle Collision,1/3/2015,19,Monday,Riverwood,NY,41.607013,-74.966799,Minor Damage,Snow,Gravel,3,0,0,YES,N,No,
EVT-537546,Event,EVT-537546,CLM-537546,Theft,Vehicle Theft,1/17/2015,4,Monday,Arlington,NY,42.526089,-75.721299,Trivial Damage,Unknown,Icy,1,1,0,?,N,No,
EVT-394975,Event,EVT-394975,CLM-394975,Theft,Vehicle Theft,2/22/2015,8,Wednesday,Northbend,WV,39.560375,-81.018189,Minor Damage,Rain,Icy,1,2,0,YES,N,No,
EVT-729634,Event,EVT-729634,CLM-729634,Collision,Multi-vehicle Collision,1/27/2015,7,Thursday,Columbus,NC,35.127477,-79.620507,Major Damage,Fog,Icy,3,1,0,?,N,No,
EVT-282195,Event,EVT-282195,CLM-282195,Parked Car Damage,Parked Car,2/27/2015,5,Thursday,Northbend,VA,36.683211,-77.752258,Minor Damage,Wind,Dry,1,0,0,YES,N,No,
EVT-420810,Event,EVT-420810,CLM-420810,Collision,Single Vehicle Collision,1/6/2015,3,Friday,Arlington,NY,42.529304,-74.478903,Minor Damage,Fog,Dry,1,1,0,NO,N,No,
EVT-524836,Event,EVT-524836,CLM-524836,Collision,Multi-vehicle Collision,2/28/2015,12,Monday,Columbus,SC,34.567905,-80.196501,Major Damage,Snow,Wet,3,2,0,?,N,No,
EVT-307195,Event,EVT-307195,CLM-307195,Parked Car Damage,Parked Car,2/22/2015,19,Saturday,Riverwood,VA,36.225075,-80.165669,Minor Damage,Rain,Under Construction,1,1,0,NO,N,No,
EVT-623648,Event,EVT-623648,CLM-623648,Collision,Single Vehicle Collision,1/7/2015,22,Saturday,Riverwood,WV,38.235319,-79.105677,Total Loss,Wind,Icy,1,0,0,NO,N,No,
EVT-485372,Event,EVT-485372,CLM-485372,Collision,Multi-vehicle Collision,1/6/2015,12,Friday,Hillsdale,VA,38.266944,-79.352127,Minor Damage,Wind,Wet,3,1,0,NO,N,No,
EVT-598554,Event,EVT-598554,CLM-598554,Collision,Multi-vehicle Collision,1/10/2015,15,Friday,Springfield,NY,42.779785,-74.631608,Major Damage,Wind,Dry,3,2,0,?,Y,No,
EVT-303987,Event,EVT-303987,CLM-303987,Collision,Multi-vehicle Collision,2/11/2015,23,Saturday,Springfield,OH,39.902643,-83.769427,Total Loss,Snow,Under Construction,3,0,0,NO,N,No,
EVT-343161,Event,EVT-343161,CLM-343161,Collision,Single Vehicle Collision,1/12/2015,12,Monday,Hillsdale,WV,39.749581,-79.929249,Minor Damage,Fog,Icy,1,0,0,YES,N,No,
EVT-519312,Event,EVT-519312,CLM-519312,Collision,Multi-vehicle Collision,2/6/2015,20,Sunday,Northbend,WV,38.253196,-80.210581,Major Damage,Rain,Under Construction,3,2,0,YES,Y,Yes,RING-007
EVT-132902,Event,EVT-132902,CLM-132902,Collision,Multi-vehicle Collision,1/20/2015,16,Monday,Riverwood,VA,37.301016,-77.679107,Total Loss,Rain,Icy,3,0,0,NO,Y,Yes,RING-005
EVT-332867,Event,EVT-332867,CLM-332867,Collision,Multi-vehicle Collision,2/22/2015,6,Friday,Arlington,NY,43.992019,-75.973191,Minor Damage,Rain,Dry,3,2,0,NO,Y,Yes,RING-004
EVT-356590,Event,EVT-356590,CLM-356590,Collision,Single Vehicle Collision,1/30/2015,12,Friday,Springfield,SC,35.017812,-79.936158,Minor Damage,Ice,Dry,1,0,0,NO,Y,Yes,RING-004
EVT-346002,Event,EVT-346002,CLM-346002,Collision,Multi-vehicle Collision,2/2/2015,17,Monday,Hillsdale,WV,39.615152,-80.110467,Minor Damage,Wind,Icy,3,1,0,NO,N,No,
EVT-500533,Event,EVT-500533,CLM-500533,Collision,Single Vehicle Collision,1/10/2015,8,Wednesday,Northbrook,WV,37.370687,-79.443376,Major Damage,Clear,Gravel,1,0,0,NO,N,No,
EVT-348209,Event,EVT-348209,CLM-348209,Parked Car Damage,Parked Car,2/27/2015,13,Saturday,Riverwood,NC,35.512567,-79.540573,Minor Damage,Snow,Under Construction,1,0,0,?,N,No,
EVT-486676,Event,EVT-486676,CLM-486676,Collision,Multi-vehicle Collision,2/20/2015,12,Wednesday,Hillsdale,SC,35.405084,-80.872362,Major Damage,Ice,Gravel,2,2,0,?,Y,No,
EVT-260845,Event,EVT-260845,CLM-260845,Collision,Single Vehicle Collision,2/8/2015,7,Saturday,Northbrook,WV,39.097468,-78.929518,Total Loss,Snow,Unknown,1,0,0,NO,Y,No,
EVT-657045,Event,EVT-657045,CLM-657045,Collision,Single Vehicle Collision,2/11/2015,10,Saturday,Arlington,NC,34.01663,-79.350024,Minor Damage,Fog,Under Construction,1,1,0,NO,N,No,
EVT-761189,Event,EVT-761189,CLM-761189,Collision,Multi-vehicle Collision,2/23/2015,7,Sunday,Riverwood,SC,35.063746,-80.785003,Minor Damage,Ice,Gravel,3,2,0,YES,N,No,
EVT-175177,Event,EVT-175177,CLM-175177,Collision,Multi-vehicle Collision,3/1/2015,18,Thursday,Springfield,VA,35.912183,-78.635124,Minor Damage,Rain,Under Construction,3,1,0,YES,N,No,
EVT-116700,Event,EVT-116700,CLM-116700,Collision,Multi-vehicle Collision,1/15/2015,22,Sunday,Riverwood,SC,33.88232,-79.931455,Total Loss,Unknown,Gravel,3,2,0,NO,N,No,
EVT-166264,Event,EVT-166264,CLM-166264,Collision,Multi-vehicle Collision,1/14/2015,18,Sunday,Springfield,NY,43.807783,-75.868896,Minor Damage,Wind,Gravel,3,1,0,YES,N,No,
EVT-527945,Event,EVT-527945,CLM-527945,Collision,Multi-vehicle Collision,2/17/2015,22,Wednesday,Northbrook,WV,39.769998,-81.692596,Total Loss,Clear,Unknown,3,0,0,?,N,No,
EVT-627540,Event,EVT-627540,CLM-627540,Theft,Vehicle Theft,1/24/2015,15,Wednesday,Springfield,SC,32.85406,-81.244289,Minor Damage,Unknown,Under Construction,1,2,0,YES,N,No,
EVT-279422,Event,EVT-279422,CLM-279422,Collision,Single Vehicle Collision,1/21/2015,16,Sunday,Northbrook,SC,34.015996,-80.002454,Major Damage,Rain,Dry,1,1,0,?,Y,No,
EVT-484200,Event,EVT-484200,CLM-484200,Collision,Multi-vehicle Collision,2/19/2015,6,Friday,Arlington,NC,36.423781,-78.223569,Minor Damage,Wind,Wet,3,1,0,NO,N,No,
EVT-645258,Event,EVT-645258,CLM-645258,Theft,Vehicle Theft,1/3/2015,10,Sunday,Northbrook,NC,35.36751,-77.864952,Trivial Damage,Rain,Wet,1,2,0,?,N,No,
EVT-694662,Event,EVT-694662,CLM-694662,Theft,Vehicle Theft,1/29/2015,3,Saturday,Northbrook,NY,41.953398,-76.439989,Minor Damage,Snow,Under Construction,1,2,0,NO,N,No,
EVT-960680,Event,EVT-960680,CLM-960680,Theft,Vehicle Theft,1/19/2015,13,Thursday,Hillsdale,VA,36.717497,-80.450072,Trivial Damage,Snow,Under Construction,1,0,0,YES,N,No,
EVT-498140,Event,EVT-498140,CLM-498140,Collision,Multi-vehicle Collision,1/19/2015,16,Saturday,Hillsdale,NY,42.417098,-74.069701,Major Damage,Ice,Unknown,2,2,0,NO,Y,Yes,RING-009
EVT-498875,Event,EVT-498875,CLM-498875,Collision,Multi-vehicle Collision,2/2/2015,13,Saturday,Northbrook,NY,43.683924,-74.132045,Major Damage,Clear,Wet,3,0,0,?,N,No,
EVT-798177,Event,EVT-798177,CLM-798177,Collision,Multi-vehicle Collision,1/30/2015,9,Monday,Columbus,SC,34.700707,-82.446317,Minor Damage,Unknown,Under Construction,3,2,0,?,N,No,
EVT-614763,Event,EVT-614763,CLM-614763,Collision,Single Vehicle Collision,1/8/2015,2,Saturday,Springfield,VA,38.215226,-80.056126,Total Loss,Snow,Gravel,1,2,0,YES,N,No,
EVT-679370,Event,EVT-679370,CLM-679370,Parked Car Damage,Parked Car,1/30/2015,9,Sunday,Arlington,WV,38.878223,-79.713577,Trivial Damage,Unknown,Unknown,1,0,0,YES,N,No,
EVT-958857,Event,EVT-958857,CLM-958857,Collision,Multi-vehicle Collision,1/7/2015,12,Sunday,Columbus,SC,33.451192,-82.195337,Major Damage,Wind,Under Construction,3,2,0,?,Y,Yes,RING-019
EVT-686816,Event,EVT-686816,CLM-686816,Collision,Multi-vehicle Collision,2/24/2015,12,Wednesday,Arlington,SC,33.09459,-82.105762,Total Loss,Wind,Icy,2,1,0,?,N,No,
EVT-127754,Event,EVT-127754,CLM-127754,Collision,Single Vehicle Collision,2/2/2015,14,Saturday,Columbus,NY,44.128281,-75.491523,Major Damage,Ice,Dry,1,0,0,?,Y,No,
EVT-918629,Event,EVT-918629,CLM-918629,Parked Car Damage,Parked Car,2/28/2015,9,Saturday,Springfield,WV,39.012782,-81.346148,Trivial Damage,Unknown,Dry,1,0,0,NO,N,No,
EVT-731450,Event,EVT-731450,CLM-731450,Collision,Multi-vehicle Collision,2/9/2015,3,Wednesday,Riverwood,NC,34.701539,-78.769872,Major Damage,Wind,Under Construction,3,1,0,?,N,No,
EVT-307447,Event,EVT-307447,CLM-307447,Collision,Multi-vehicle Collision,1/19/2015,21,Friday,Northbend,SC,33.222028,-80.145512,Total Loss,Clear,Wet,3,1,0,NO,N,No,
EVT-992145,Event,EVT-992145,CLM-992145,Theft,Vehicle Theft,2/21/2015,5,Tuesday,Northbrook,OH,39.543287,-83.30126,Minor Damage,Fog,Gravel,1,2,0,YES,N,No,
EVT-900628,Event,EVT-900628,CLM-900628,Collision,Single Vehicle Collision,1/14/2015,11,Thursday,Springfield,VA,37.001654,-77.910201,Major Damage,Wind,Dry,1,0,0,NO,Y,Yes,RING-007
EVT-235220,Event,EVT-235220,CLM-235220,Collision,Multi-vehicle Collision,1/22/2015,4,Wednesday,Hillsdale,SC,34.085337,-82.173507,Minor Damage,Rain,Wet,4,1,0,YES,Y,No,
EVT-740019,Event,EVT-740019,CLM-740019,Parked Car Damage,Parked Car,2/22/2015,6,Friday,Columbus,WV,39.072915,-81.753269,Trivial Damage,Clear,Under Construction,1,1,0,YES,N,No,
EVT-246882,Event,EVT-246882,CLM-246882,Theft,Vehicle Theft,1/26/2015,10,Thursday,Northbrook,NC,35.141563,-80.077168,Trivial Damage,Clear,Under Construction,1,0,0,?,N,No,
EVT-797613,Event,EVT-797613,CLM-797613,Collision,Single Vehicle Collision,1/24/2015,23,Friday,Northbend,SC,35.498657,-81.036018,Minor Damage,Rain,Icy,1,0,0,?,N,No,
EVT-193442,Event,EVT-193442,CLM-193442,Collision,Single Vehicle Collision,2/19/2015,13,Sunday,Northbend,WV,37.205313,-81.843411,Major Damage,Ice,Gravel,1,1,0,YES,N,No,
EVT-389238,Event,EVT-389238,CLM-389238,Collision,Multi-vehicle Collision,1/29/2015,16,Monday,Northbrook,NC,35.231738,-79.126585,Minor Damage,Snow,Dry,3,2,0,NO,N,No,
EVT-760179,Event,EVT-760179,CLM-760179,Parked Car Damage,Parked Car,2/15/2015,3,Friday,Northbend,WV,39.801376,-81.049805,Minor Damage,Snow,Unknown,1,1,0,NO,N,No,
EVT-939905,Event,EVT-939905,CLM-939905,Collision,Multi-vehicle Collision,2/12/2015,15,Tuesday,Northbend,SC,33.607447,-80.459943,Total Loss,Wind,Icy,3,0,0,?,N,No,
EVT-872814,Event,EVT-872814,CLM-872814,Theft,Vehicle Theft,1/1/2015,4,Friday,Columbus,WV,38.444886,-79.428482,Minor Damage,Clear,Wet,1,1,0,YES,N,No,
EVT-632627,Event,EVT-632627,CLM-632627,Collision,Multi-vehicle Collision,1/13/2015,6,Sunday,Northbend,VA,36.023879,-77.590353,Major Damage,Clear,Under Construction,3,0,0,YES,Y,Yes,RING-013
EVT-283414,Event,EVT-283414,CLM-283414,Collision,Multi-vehicle Collision,3/1/2015,22,Friday,Columbus,WV,37.267257,-80.091438,Major Damage,Fog,Dry,2,1,0,?,N,No,
EVT-163161,Event,EVT-163161,CLM-163161,Collision,Single Vehicle Collision,2/2/2015,1,Wednesday,Northbrook,NY,42.396338,-74.231617,Major Damage,Rain,Wet,1,0,0,?,Y,Yes,RING-001
EVT-853360,Event,EVT-853360,CLM-853360,Collision,Multi-vehicle Collision,1/27/2015,16,Monday,Springfield,NY,42.740447,-76.459255,Major Damage,Fog,Icy,3,0,0,YES,Y,Yes,RING-005
EVT-776860,Event,EVT-776860,CLM-776860,Collision,Single Vehicle Collision,1/12/2015,18,Wednesday,Riverwood,SC,32.605458,-79.652198,Minor Damage,Snow,Wet,1,1,0,YES,N,No,
EVT-149367,Event,EVT-149367,CLM-149367,Collision,Single Vehicle Collision,1/6/2015,0,Monday,Springfield,NC,36.377359,-78.750487,Major Damage,Ice,Unknown,1,0,0,?,Y,Yes,RING-018
EVT-395269,Event,EVT-395269,CLM-395269,Collision,Multi-vehicle Collision,1/30/2015,12,Saturday,Columbus,WV,37.847213,-79.657214,Total Loss,Ice,Dry,3,2,0,NO,N,No,
EVT-981123,Event,EVT-981123,CLM-981123,Collision,Multi-vehicle Collision,3/1/2015,13,Thursday,Hillsdale,VA,37.527237,-77.729266,Major Damage,Snow,Dry,2,1,0,?,N,No,
EVT-143626,Event,EVT-143626,CLM-143626,Theft,Vehicle Theft,2/24/2015,9,Sunday,Northbrook,VA,37.563762,-77.574971,Minor Damage,Rain,Under Construction,1,1,0,YES,N,No,
EVT-648397,Event,EVT-648397,CLM-648397,Collision,Multi-vehicle Collision,1/24/2015,14,Saturday,Riverwood,NY,43.735889,-75.128422,Total Loss,Rain,Icy,3,0,0,?,Y,Yes,RING-014
EVT-154982,Event,EVT-154982,CLM-154982,Collision,Single Vehicle Collision,2/26/2015,16,Thursday,Hillsdale,SC,33.65921,-81.0869,Minor Damage,Ice,Icy,1,0,0,NO,N,No,
EVT-330591,Event,EVT-330591,CLM-330591,Collision,Multi-vehicle Collision,1/19/2015,20,Sunday,Northbend,NY,42.389578,-75.396546,Major Damage,Snow,Icy,3,2,0,NO,Y,No,
EVT-319232,Event,EVT-319232,CLM-319232,Collision,Single Vehicle Collision,1/17/2015,4,Sunday,Hillsdale,NY,41.856504,-76.307878,Minor Damage,Unknown,Gravel,1,1,0,YES,N,No,
EVT-531640,Event,EVT-531640,CLM-531640,Collision,Multi-vehicle Collision,2/20/2015,7,Friday,Arlington,NY,43.126753,-74.53567,Minor Damage,Unknown,Gravel,3,0,0,?,N,No,
EVT-368050,Event,EVT-368050,CLM-368050,Collision,Single Vehicle Collision,2/22/2015,22,Thursday,Hillsdale,SC,33.642584,-81.607512,Minor Damage,Ice,Gravel,1,2,0,?,N,No,
EVT-253791,Event,EVT-253791,CLM-253791,Collision,Single Vehicle Collision,1/23/2015,11,Sunday,Northbrook,NY,43.287916,-76.34434,Major Damage,Fog,Dry,1,2,0,NO,Y,No,
EVT-155724,Event,EVT-155724,CLM-155724,Collision,Single Vehicle Collision,1/31/2015,7,Thursday,Columbus,VA,38.60551,-78.226131,Major Damage,Snow,Dry,1,0,0,YES,Y,Yes,RING-013
EVT-824540,Event,EVT-824540,CLM-824540,Collision,Multi-vehicle Collision,1/5/2015,0,Tuesday,Arlington,NC,34.877307,-77.9794,Total Loss,Fog,Under Construction,4,1,0,NO,N,No,
EVT-717392,Event,EVT-717392,CLM-717392,Collision,Single Vehicle Collision,2/3/2015,1,Saturday,Northbend,WV,37.671576,-81.189195,Total Loss,Rain,Icy,1,1,0,?,N,No,
EVT-965768,Event,EVT-965768,CLM-965768,Collision,Multi-vehicle Collision,2/17/2015,12,Friday,Hillsdale,NY,42.748939,-76.066287,Total Loss,Unknown,Wet,3,2,0,YES,N,No,
EVT-414779,Event,EVT-414779,CLM-414779,Collision,Single Vehicle Collision,1/9/2015,8,Sunday,Columbus,WV,39.333254,-80.066031,Total Loss,Rain,Under Construction,1,0,0,?,N,No,
EVT-428230,Event,EVT-428230,CLM-428230,Parked Car Damage,Parked Car,2/8/2015,9,Saturday,Northbrook,PA,41.827523,-77.977175,Minor Damage,Fog,Wet,1,2,0,?,N,No,
EVT-517240,Event,EVT-517240,CLM-517240,Collision,Single Vehicle Collision,2/6/2015,22,Sunday,Northbend,NY,42.81508,-75.530597,Major Damage,Wind,Unknown,1,0,0,YES,Y,Yes,RING-012
EVT-469874,Event,EVT-469874,CLM-469874,Collision,Multi-vehicle Collision,1/14/2015,0,Thursday,Northbend,SC,33.263532,-80.298531,Major Damage,Unknown,Gravel,3,1,0,?,Y,Yes,RING-002
EVT-718428,Event,EVT-718428,CLM-718428,Collision,Multi-vehicle Collision,1/22/2015,0,Monday,Arlington,NY,42.979659,-74.283366,Minor Damage,Rain,Icy,3,1,0,NO,N,No,
EVT-620215,Event,EVT-620215,CLM-620215,Collision,Multi-vehicle Collision,2/23/2015,3,Tuesday,Columbus,WV,39.412128,-79.666334,Major Damage,Clear,Dry,3,2,0,NO,N,No,
EVT-618659,Event,EVT-618659,CLM-618659,Collision,Multi-vehicle Collision,2/22/2015,21,Thursday,Arlington,NC,34.445405,-79.889677,Major Damage,Snow,Unknown,3,0,0,?,N,No,
