:START_ID,:END_ID,:TYPE,entity_type,ring_suspicion,pagerank,weight,connection_strength,first_seen_date,last_seen_date,event_time
NF-CLM-430029,CLM-430029,DESCRIBES_ENTITY,Claim,0.089,0.4969,0.4969,0.4184,04/01/2015,07/01/2015,04/01/2015
NF-CLM-529112,CLM-529112,DESCRIBES_ENTITY,Claim,0.189,0.2136,0.2136,0.1843,01/01/2015,02/01/2015,01/01/2015
NF-CLM-939631,CLM-939631,DESCRIBES_ENTITY,Claim,0.531,0.7266,0.7266,0.6616,03/01/2015,01/01/2015,03/01/2015
NF-CLM-866931,CLM-866931,DESCRIBES_ENTITY,Claim,0.246,0.1498,0.1498,0.1277,01/01/2015,02/01/2015,01/01/2015
NF-CLM-582011,CLM-582011,DESCRIBES_ENTITY,Claim,0.163,0.4319,0.4319,0.3503,02/01/2015,01/01/2015,02/01/2015
NF-CLM-691189,CLM-691189,DESCRIBES_ENTITY,Claim,0.093,0.444,0.444,0.4158,03/01/2015,07/01/2015,03/01/2015
NF-CLM-537546,CLM-537546,DESCRIBES_ENTITY,Claim,0.204,0.1012,0.1012,0.099,07/01/2015,02/01/2015,07/01/2015
NF-CLM-394975,CLM-394975,DESCRIBES_ENTITY,Claim,0.136,0.0348,0.0348,0.031,09/01/2015,06/01/2015,09/01/2015
NF-CLM-729634,CLM-729634,DESCRIBES_ENTITY,Claim,0.124,0.1118,0.1118,0.1056,07/01/2015,09/01/2015,07/01/2015
NF-CLM-282195,CLM-282195,DESCRIBES_ENTITY,Claim,0.19,0.4021,0.4021,0.3963,01/01/2015,02/01/2015,01/01/2015
NF-CLM-420810,CLM-420810,DESCRIBES_ENTITY,Claim,0.248,0.011,0.011,0.0095,02/01/2015,07/01/2015,02/01/2015
NF-CLM-524836,CLM-524836,DESCRIBES_ENTITY,Claim,0.202,0.0313,0.0313,0.026,08/01/2015,02/01/2015,08/01/2015
NF-CLM-307195,CLM-307195,DESCRIBES_ENTITY,Claim,0.226,0.4305,0.4305,0.4092,04/01/2015,09/01/2015,04/01/2015
NF-CLM-623648,CLM-623648,DESCRIBES_ENTITY,Claim,0.207,0.432,0.432,0.3571,09/01/2015,04/01/2015,09/01/2015
NF-CLM-485372,CLM-485372,DESCRIBES_ENTITY,Claim,0.33,0.3979,0.3979,0.3396,06/01/2015,03/01/2015,06/01/2015
NF-CLM-598554,CLM-598554,DESCRIBES_ENTITY,Claim,0.045,0.6741,0.6741,0.6572,06/01/2015,09/01/2015,06/01/2015
NF-CLM-303987,CLM-303987,DESCRIBES_ENTITY,Claim,0.186,0.2553,0.2553,0.2394,06/01/2015,07/01/2015,06/01/2015
NF-CLM-343161,CLM-343161,DESCRIBES_ENTITY,Claim,0.087,0.2454,0.2454,0.2359,06/01/2015,06/01/2015,06/01/2015
NF-CLM-519312,CLM-519312,DESCRIBES_ENTITY,Claim,0.935,0.9429,0.9429,0.8651,06/01/2015,04/01/2015,06/01/2015
NF-CLM-132902,CLM-132902,DESCRIBES_ENTITY,Claim,0.601,0.763,0.763,0.6734,01/01/2015,07/01/2015,01/01/2015
NF-CLM-332867,CLM-332867,DESCRIBES_ENTITY,Claim,0.628,0.7395,0.7395,0.6976,06/01/2015,07/01/2015,06/01/2015
NF-CLM-356590,CLM-356590,DESCRIBES_ENTITY,Claim,0.9,0.625,0.625,0.6028,02/01/2015,02/01/2015,02/01/2015
NF-CLM-346002,CLM-346002,DESCRIBES_ENTITY,Claim,0.339,0.4139,0.4139,0.4058,09/01/2015,05/01/2015,09/01/2015
NF-CLM-500533,CLM-500533,DESCRIBES_ENTITY,Claim,0.392,0.2002,0.2002,0.1646,02/01/2015,06/01/2015,02/01/2015
NF-CLM-348209,CLM-348209,DESCRIBES_ENTITY,Claim,0.322,0.1236,0.1236,0.1138,08/01/2015,01/01/2015,08/01/2015
NF-CLM-486676,CLM-486676,DESCRIBES_ENTITY,Claim,0.167,0.8626,0.8626,0.8517,07/01/2015,02/01/2015,07/01/2015
NF-CLM-260845,CLM-260845,DESCRIBES_ENTITY,Claim,0.271,0.6602,0.6602,0.6208,02/01/2015,09/01/2015,02/01/2015
NF-CLM-657045,CLM-657045,DESCRIBES_ENTITY,Claim,0.281,0.203,0.203,0.179,05/01/2015,02/01/2015,05/01/2015
NF-CLM-761189,CLM-761189,DESCRIBES_ENTITY,Claim,0.167,0.4264,0.4264,0.3448,03/01/2015,09/01/2015,03/01/2015
NF-CLM-175177,CLM-175177,DESCRIBES_ENTITY,Claim,0.218,0.0599,0.0599,0.0507,07/01/2015,08/01/2015,07/01/2015
NF-CLM-116700,CLM-116700,DESCRIBES_ENTITY,Claim,0.356,0.1646,0.1646,0.1552,07/01/2015,09/01/2015,07/01/2015
NF-CLM-166264,CLM-166264,DESCRIBES_ENTITY,Claim,0.29,0.0451,0.0451,0.0426,03/01/2015,06/01/2015,03/01/2015
NF-CLM-527945,CLM-527945,DESCRIBES_ENTITY,Claim,0.248,0.0469,0.0469,0.038,05/01/2015,01/01/2015,05/01/2015
NF-CLM-627540,CLM-627540,DESCRIBES_ENTITY,Claim,0.312,0.4112,0.4112,0.405,05/01/2015,04/01/2015,05/01/2015
NF-CLM-279422,CLM-279422,DESCRIBES_ENTITY,Claim,0.154,0.6324,0.6324,0.622,04/01/2015,08/01/2015,04/01/2015
NF-CLM-484200,CLM-484200,DESCRIBES_ENTITY,Claim,0.354,0.2331,0.2331,0.213,07/01/2015,05/01/2015,07/01/2015
NF-CLM-645258,CLM-645258,DESCRIBES_ENTITY,Claim,0.235,0.2705,0.2705,0.2418,08/01/2015,04/01/2015,08/01/2015
NF-CLM-694662,CLM-694662,DESCRIBES_ENTITY,Claim,0.157,0.2852,0.2852,0.25,08/01/2015,07/01/2015,08/01/2015
NF-CLM-960680,CLM-960680,DESCRIBES_ENTITY,Claim,0.249,0.4309,0.4309,0.4023,01/01/2015,02/01/2015,01/01/2015
NF-CLM-498140,CLM-498140,DESCRIBES_ENTITY,Claim,0.725,0.5838,0.5838,0.4732,05/01/2015,03/01/2015,05/01/2015
NF-CLM-498875,CLM-498875,DESCRIBES_ENTITY,Claim,0.216,0.4484,0.4484,0.3731,02/01/2015,06/01/2015,02/01/2015
NF-CLM-798177,CLM-798177,DESCRIBES_ENTITY,Claim,0.08,0.4754,0.4754,0.3827,02/01/2015,02/01/2015,02/01/2015
NF-CLM-614763,CLM-614763,DESCRIBES_ENTITY,Claim,0.135,0.4698,0.4698,0.4622,01/01/2015,05/01/2015,01/01/2015
NF-CLM-679370,CLM-679370,DESCRIBES_ENTITY,Claim,0.091,0.0493,0.0493,0.0462,09/01/2015,03/01/2015,09/01/2015
NF-CLM-958857,CLM-958857,DESCRIBES_ENTITY,Claim,0.829,0.9216,0.9216,0.8166,01/01/2015,07/01/2015,01/01/2015
NF-CLM-686816,CLM-686816,DESCRIBES_ENTITY,Claim,0.071,0.1595,0.1595,0.1523,01/01/2015,02/01/2015,01/01/2015
NF-CLM-127754,CLM-127754,DESCRIBES_ENTITY,Claim,0.189,0.6938,0.6938,0.5852,03/01/2015,09/01/2015,03/01/2015
NF-CLM-918629,CLM-918629,DESCRIBES_ENTITY,Claim,0.09,0.0695,0.0695,0.0579,07/01/2015,02/01/2015,07/01/2015
NF-CLM-731450,CLM-731450,DESCRIBES_ENTITY,Claim,0.333,0.2308,0.2308,0.1961,05/01/2015,03/01/2015,05/01/2015
NF-CLM-307447,CLM-307447,DESCRIBES_ENTITY,Claim,0.282,0.1733,0.1733,0.1497,02/01/2015,05/01/2015,02/01/2015
NF-CLM-992145,CLM-992145,DESCRIBES_ENTITY,Claim,0.369,0.0973,0.0973,0.0806,04/01/2015,02/01/2015,04/01/2015
NF-CLM-900628,CLM-900628,DESCRIBES_ENTITY,Claim,0.64,0.8505,0.8505,0.7829,06/01/2015,06/01/2015,06/01/2015
NF-CLM-235220,CLM-235220,DESCRIBES_ENTITY,Claim,0.084,0.5582,0.5582,0.4579,08/01/2015,03/01/2015,08/01/2015
NF-CLM-740019,CLM-740019,DESCRIBES_ENTITY,Claim,0.203,0.1966,0.1966,0.1963,05/01/2015,02/01/2015,05/01/2015
NF-CLM-246882,CLM-246882,DESCRIBES_ENTITY,Claim,0.306,0.1122,0.1122,0.1116,09/01/2015,03/01/2015,09/01/2015
NF-CLM-797613,CLM-797613,DESCRIBES_ENTITY,Claim,0.387,0.4261,0.4261,0.3967,06/01/2015,02/01/2015,06/01/2015
NF-CLM-193442,CLM-193442,DESCRIBES_ENTITY,Claim,0.311,0.1286,0.1286,0.1132,07/01/2015,04/01/2015,07/01/2015
NF-CLM-389238,CLM-389238,DESCRIBES_ENTITY,Claim,0.205,0.258,0.258,0.2391,05/01/2015,04/01/2015,05/01/2015
NF-CLM-760179,CLM-760179,DESCRIBES_ENTITY,Claim,0.317,0.0192,0.0192,0.0158,03/01/2015,09/01/2015,03/01/2015
NF-CLM-939905,CLM-939905,DESCRIBES_ENTITY,Claim,0.237,0.2433,0.2433,0.2307,06/01/2015,08/01/2015,06/01/2015
NF-CLM-872814,CLM-872814,DESCRIBES_ENTITY,Claim,0.295,0.2306,0.2306,0.2257,03/01/2015,04/01/2015,03/01/2015
NF-CLM-632627,CLM-632627,DESCRIBES_ENTITY,Claim,0.825,0.5467,0.5467,0.4559,08/01/2015,01/01/2015,08/01/2015
NF-CLM-283414,CLM-283414,DESCRIBES_ENTITY,Claim,0.157,0.322,0.322,0.2742,06/01/2015,01/01/2015,06/01/2015
NF-CLM-163161,CLM-163161,DESCRIBES_ENTITY,Claim,0.787,0.5045,0.5045,0.4856,04/01/2015,07/01/2015,04/01/2015
NF-CLM-853360,CLM-853360,DESCRIBES_ENTITY,Claim,0.92,0.6885,0.6885,0.6638,02/01/2015,01/01/2015,02/01/2015
NF-CLM-776860,CLM-776860,DESCRIBES_ENTITY,Claim,0.102,0.1572,0.1572,0.1439,08/01/2015,04/01/2015,08/01/2015
NF-CLM-149367,CLM-149367,DESCRIBES_ENTITY,Claim,0.562,0.6335,0.6335,0.5202,08/01/2015,03/01/2015,08/01/2015
NF-CLM-395269,CLM-395269,DESCRIBES_ENTITY,Claim,0.306,0.4175,0.4175,0.4078,02/01/2015,09/01/2015,02/01/2015
NF-CLM-981123,CLM-981123,DESCRIBES_ENTITY,Claim,0.002,0.2056,0.2056,0.1879,01/01/2015,08/01/2015,01/01/2015
NF-CLM-143626,CLM-143626,DESCRIBES_ENTITY,Claim,0.141,0.2666,0.2666,0.2348,06/01/2015,06/01/2015,06/01/2015
NF-CLM-648397,CLM-648397,DESCRIBES_ENTITY,Claim,0.852,0.7012,0.7012,0.5976,04/01/2015,08/01/2015,04/01/2015
NF-CLM-154982,CLM-154982,DESCRIBES_ENTITY,Claim,0.113,0.475,0.475,0.3951,08/01/2015,04/01/2015,08/01/2015
NF-CLM-330591,CLM-330591,DESCRIBES_ENTITY,Claim,0.311,0.7391,0.7391,0.6939,03/01/2015,08/01/2015,03/01/2015
NF-CLM-319232,CLM-319232,DESCRIBES_ENTITY,Claim,0.192,0.3163,0.3163,0.2592,06/01/2015,08/01/2015,06/01/2015
NF-CLM-531640,CLM-531640,DESCRIBES_ENTITY,Claim,0.053,0.3077,0.3077,0.2939,07/01/2015,06/01/2015,07/01/2015
NF-CLM-368050,CLM-368050,DESCRIBES_ENTITY,Claim,0.323,0.0641,0.0641,0.0554,06/01/2015,07/01/2015,06/01/2015
NF-CLM-253791,CLM-253791,DESCRIBES_ENTITY,Claim,0.279,0.5192,0.5192,0.4898,07/01/2015,05/01/2015,07/01/2015
NF-CLM-155724,CLM-155724,DESCRIBES_ENTITY,Claim,0.665,0.9398,0.9398,0.8572,04/01/2015,02/01/2015,04/01/2015
NF-CLM-824540,CLM-824540,DESCRIBES_ENTITY,Claim,0.059,0.1016,0.1016,0.0899,04/01/2015,01/01/2015,04/01/2015
NF-CLM-717392,CLM-717392,DESCRIBES_ENTITY,Claim,0.276,0.1791,0.1791,0.1737,08/01/2015,09/01/2015,08/01/2015
NF-CLM-965768,CLM-965768,DESCRIBES_ENTITY,Claim,0.12,0.4876,0.4876,0.4817,04/01/2015,05/01/2015,04/01/2015
NF-CLM-414779,CLM-414779,DESCRIBES_ENTITY,Claim,0.031,0.4793,0.4793,0.3859,05/01/2015,06/01/2015,05/01/2015
NF-CLM-428230,CLM-428230,DESCRIBES_ENTITY,Claim,0.293,0.315,0.315,0.2898,04/01/2015,03/01/2015,04/01/2015
NF-CLM-517240,CLM-517240,DESCRIBES_ENTITY,Claim,0.712,0.8701,0.8701,0.8484,05/01/2015,01/01/2015,05/01/2015
NF-CLM-469874,CLM-469874,DESCRIBES_ENTITY,Claim,0.85,0.7979,0.7979,0.7034,09/01/2015,08/01/2015,09/01/2015
NF-CLM-718428,CLM-718428,DESCRIBES_ENTITY,Claim,0.159,0.1611,0.1611,0.1454,09/01/2015,03/01/2015,09/01/2015
NF-CLM-620215,CLM-620215,DESCRIBES_ENTITY,Claim,0.383,0.0303,0.0303,0.028,02/01/2015,06/01/2015,02/01/2015
NF-CLM-618659,CLM-618659,DESCRIBES_ENTITY,Claim,0.153,0.2463,0.2463,0.2208,01/01/2015,05/01/2015,01/01/2015
NF-CLM-649082,CLM-649082,DESCRIBES_ENTITY,Claim,0.217,0.317,0.317,0.2965,01/01/2015,01/01/2015,01/01/2015
NF-CLM-437573,CLM-437573,DESCRIBES_ENTITY,Claim,0.173,0.0244,0.0244,0.0219,01/01/2015,04/01/2015,01/01/2015
NF-CLM-964657,CLM-964657,DESCRIBES_ENTITY,Claim,0.146,0.6587,0.6587,0.5348,01/01/2015,08/01/2015,01/01/2015
NF-CLM-932502,CLM-932502,DESCRIBES_ENTITY,Claim,0.353,0.2634,0.2634,0.2491,03/01/2015,07/01/2015,03/01/2015
NF-CLM-434507,CLM-434507,DESCRIBES_ENTITY,Claim,0.148,0.4616,0.4616,0.4363,05/01/2015,05/01/2015,05/01/2015
NF-CLM-935277,CLM-935277,DESCRIBES_ENTITY,Claim,0.225,0.1261,0.1261,0.1188,03/01/2015,05/01/2015,03/01/2015
NF-CLM-756054,CLM-756054,DESCRIBES_ENTITY,Claim,0.384,0.0813,0.0813,0.0667,01/01/2015,02/01/2015,01/01/2015
NF-CLM-682387,CLM-682387,DESCRIBES_ENTITY,Claim,0.079,0.4198,0.4198,0.394,02/01/2015,04/01/2015,02/01/2015
NF-CLM-456604,CLM-456604,DESCRIBES_ENTITY,Claim,0.271,0.3711,0.3711,0.3604,03/01/2015,04/01/2015,03/01/2015
NF-CLM-139872,CLM-139872,DESCRIBES_ENTITY,Claim,0.358,0.0163,0.0163,0.0144,08/01/2015,01/01/2015,08/01/2015
NF-CLM-354105,CLM-354105,DESCRIBES_ENTITY,Claim,0.06,0.9294,0.9294,0.7992,08/01/2015,09/01/2015,08/01/2015
NF-CLM-165485,CLM-165485,DESCRIBES_ENTITY,Claim,0.305,0.4429,0.4429,0.4262,07/01/2015,05/01/2015,07/01/2015
NF-CLM-515050,CLM-515050,DESCRIBES_ENTITY,Claim,0.162,0.5347,0.5347,0.4823,01/01/2015,06/01/2015,01/01/2015
NF-CLM-795686,CLM-795686,DESCRIBES_ENTITY,Claim,0.312,0.7102,0.7102,0.7027,07/01/2015,06/01/2015,07/01/2015
NF-CLM-395983,CLM-395983,DESCRIBES_ENTITY,Claim,0.077,0.4261,0.4261,0.4211,07/01/2015,03/01/2015,07/01/2015
NF-CLM-119513,CLM-119513,DESCRIBES_ENTITY,Claim,0.636,0.5057,0.5057,0.463,03/01/2015,03/01/2015,03/01/2015
NF-CLM-217938,CLM-217938,DESCRIBES_ENTITY,Claim,0.113,0.8941,0.8941,0.7671,06/01/2015,06/01/2015,06/01/2015
NF-CLM-203914,CLM-203914,DESCRIBES_ENTITY,Claim,0.342,0.1638,0.1638,0.1323,06/01/2015,06/01/2015,06/01/2015
NF-CLM-565157,CLM-565157,DESCRIBES_ENTITY,Claim,0.334,0.2965,0.2965,0.2763,08/01/2015,05/01/2015,08/01/2015
NF-CLM-904191,CLM-904191,DESCRIBES_ENTITY,Claim,0.639,0.946,0.946,0.9107,09/01/2015,05/01/2015,09/01/2015
NF-CLM-419510,CLM-419510,DESCRIBES_ENTITY,Claim,0.044,0.4972,0.4972,0.3999,08/01/2015,03/01/2015,08/01/2015
NF-CLM-575000,CLM-575000,DESCRIBES_ENTITY,Claim,0.786,0.6485,0.6485,0.5963,05/01/2015,03/01/2015,05/01/2015
NF-CLM-120485,CLM-120485,DESCRIBES_ENTITY,Claim,0.703,0.5516,0.5516,0.5217,05/01/2015,09/01/2015,05/01/2015
NF-CLM-781181,CLM-781181,DESCRIBES_ENTITY,Claim,0.145,0.2518,0.2518,0.229,02/01/2015,06/01/2015,02/01/2015
NF-CLM-299796,CLM-299796,DESCRIBES_ENTITY,Claim,0.148,0.31,0.31,0.2822,02/01/2015,02/01/2015,02/01/2015
NF-CLM-589749,CLM-589749,DESCRIBES_ENTITY,Claim,0.169,0.4609,0.4609,0.3806,03/01/2015,05/01/2015,03/01/2015
NF-CLM-854021,CLM-854021,DESCRIBES_ENTITY,Claim,0.032,0.1302,0.1302,0.1247,09/01/2015,02/01/2015,09/01/2015
NF-CLM-454086,CLM-454086,DESCRIBES_ENTITY,Claim,0.016,0.2929,0.2929,0.262,05/01/2015,04/01/2015,05/01/2015
NF-CLM-139484,CLM-139484,DESCRIBES_ENTITY,Claim,0.07,0.4473,0.4473,0.3632,09/01/2015,07/01/2015,09/01/2015
NF-CLM-678849,CLM-678849,DESCRIBES_ENTITY,Claim,0.214,0.3971,0.3971,0.3418,05/01/2015,04/01/2015,05/01/2015
NF-CLM-346940,CLM-346940,DESCRIBES_ENTITY,Claim,0.227,0.85,0.85,0.69,03/01/2015,03/01/2015,03/01/2015
NF-CLM-985436,CLM-985436,DESCRIBES_ENTITY,Claim,0.073,0.2027,0.2027,0.1661,02/01/2015,06/01/2015,02/01/2015
NF-CLM-237418,CLM-237418,DESCRIBES_ENTITY,Claim,0.35,0.1497,0.1497,0.1229,08/01/2015,06/01/2015,08/01/2015
NF-CLM-335780,CLM-335780,DESCRIBES_ENTITY,Claim,0.148,0.6592,0.6592,0.6143,03/01/2015,09/01/2015,03/01/2015
NF-CLM-491392,CLM-491392,DESCRIBES_ENTITY,Claim,0.165,0.028,0.028,0.0238,08/01/2015,07/01/2015,08/01/2015
NF-CLM-140880,CLM-140880,DESCRIBES_ENTITY,Claim,0.336,0.1089,0.1089,0.0989,05/01/2015,02/01/2015,05/01/2015
NF-CLM-962591,CLM-962591,DESCRIBES_ENTITY,Claim,0.022,0.2538,0.2538,0.2342,03/01/2015,04/01/2015,03/01/2015
NF-CLM-922565,CLM-922565,DESCRIBES_ENTITY,Claim,0.024,0.035,0.035,0.0341,02/01/2015,04/01/2015,02/01/2015
NF-CLM-288580,CLM-288580,DESCRIBES_ENTITY,Claim,0.853,0.9273,0.9273,0.8132,05/01/2015,04/01/2015,05/01/2015
NF-CLM-154280,CLM-154280,DESCRIBES_ENTITY,Claim,0.184,0.3766,0.3766,0.3414,01/01/2015,04/01/2015,01/01/2015
NF-CLM-425973,CLM-425973,DESCRIBES_ENTITY,Claim,0.251,0.3552,0.3552,0.3217,05/01/2015,01/01/2015,05/01/2015
NF-CLM-477177,CLM-477177,DESCRIBES_ENTITY,Claim,0.342,0.4782,0.4782,0.4318,08/01/2015,06/01/2015,08/01/2015
NF-CLM-648509,CLM-648509,DESCRIBES_ENTITY,Claim,0.284,0.2553,0.2553,0.2318,09/01/2015,07/01/2015,09/01/2015
NF-CLM-914815,CLM-914815,DESCRIBES_ENTITY,Claim,0.305,0.2633,0.2633,0.212,02/01/2015,02/01/2015,02/01/2015
NF-CLM-249048,CLM-249048,DESCRIBES_ENTITY,Claim,0.118,0.1319,0.1319,0.1213,04/01/2015,04/01/2015,04/01/2015
NF-CLM-144323,CLM-144323,DESCRIBES_ENTITY,Claim,0.242,0.4443,0.4443,0.3681,07/01/2015,02/01/2015,07/01/2015
NF-CLM-651861,CLM-651861,DESCRIBES_ENTITY,Claim,0.349,0.2901,0.2901,0.2786,08/01/2015,02/01/2015,08/01/2015
NF-CLM-125324,CLM-125324,DESCRIBES_ENTITY,Claim,0.089,0.4731,0.4731,0.4538,02/01/2015,02/01/2015,02/01/2015
NF-CLM-398102,CLM-398102,DESCRIBES_ENTITY,Claim,0.358,0.1733,0.1733,0.1554,07/01/2015,04/01/2015,07/01/2015
NF-CLM-514065,CLM-514065,DESCRIBES_ENTITY,Claim,0.379,0.258,0.258,0.247,02/01/2015,08/01/2015,02/01/2015
NF-CLM-391652,CLM-391652,DESCRIBES_ENTITY,Claim,0.766,0.8827,0.8827,0.7655,07/01/2015,03/01/2015,07/01/2015
NF-CLM-922167,CLM-922167,DESCRIBES_ENTITY,Claim,0.251,0.396,0.396,0.393,09/01/2015,04/01/2015,09/01/2015
