:START_ID,:END_ID,:TYPE,vehicle_role,damage_severity,vehicle_claim_amount,total_loss,vehicle_towed,weight,connection_strength,first_seen_date,last_seen_date,event_time
CLM-666333,VEH-KDYKALG3B0MAL3W3X,INVOLVES_VEHICLE,Insured Vehicle,Major Damage,52220.0,No,No,1.0,0.8982,04/01/2015,02/01/2015,04/01/2015
CLM-336614,VEH-MMNHXHW07BHZYP9P3,INVOLVES_VEHICLE,Insured Vehicle,Total Loss,23170.0,Yes,No,0.4634,0.3758,06/01/2015,02/01/2015,06/01/2015
CLM-584859,VEH-MHT8G4F7CTGL8ZDZW,INVOLVES_VEHICLE,Insured Vehicle,Major Damage,49070.0,No,No,0.9814,0.7859,07/01/2015,02/01/2015,07/01/2015
CLM-990493,VEH-8FT4S8LS0SDHXT4KF,INVOLVES_VEHICLE,Insured Vehicle,Total Loss,48600.0,Yes,Yes,0.972,0.7946,06/01/2015,08/01/2015,06/01/2015
CLM-129872,VEH-3FFC0WX6HTVLMKGWB,INVOLVES_VEHICLE,Insured Vehicle,Major Damage,37170.0,No,Yes,0.7434,0.7172,02/01/2015,06/01/2015,02/01/2015
CLM-200152,VEH-ZAA4R8K6293F3V3WJ,INVOLVES_VEHICLE,Insured Vehicle,Total Loss,48160.0,Yes,No,0.9632,0.891,03/01/2015,02/01/2015,03/01/2015
CLM-933293,VEH-V9LATT6EBFERMBJR2,INVOLVES_VEHICLE,Insured Vehicle,Minor Damage,3280.0,No,Yes,0.0656,0.0588,07/01/2015,09/01/2015,07/01/2015
CLM-485664,VEH-E59PKM93VHW2KA45B,INVOLVES_VEHICLE,Insured Vehicle,Major Damage,43610.0,No,No,0.8722,0.7147,05/01/2015,07/01/2015,05/01/2015
CLM-982871,VEH-A580RZUES6L7GGLM7,INVOLVES_VEHICLE,Insured Vehicle,Major Damage,38290.0,No,Yes,0.7658,0.6443,05/01/2015,09/01/2015,05/01/2015
CLM-206213,VEH-PWCUG5JW056KF3YRR,INVOLVES_VEHICLE,Insured Vehicle,Minor Damage,28000.0,No,No,0.56,0.5195,09/01/2015,03/01/2015,09/01/2015
CLM-616337,VEH-077DUB5F3LA5CNDEE,INVOLVES_VEHICLE,Insured Vehicle,Major Damage,64720.0,No,Yes,1.0,0.9954,07/01/2015,07/01/2015,07/01/2015
CLM-448961,VEH-TGD13G19SGACYP941,INVOLVES_VEHICLE,Insured Vehicle,Minor Damage,40180.0,No,Yes,0.8036,0.719,06/01/2015,09/01/2015,06/01/2015
CLM-790442,VEH-DR48915MF4NKL9ME7,INVOLVES_VEHICLE,Insured Vehicle,Total Loss,39760.0,Yes,Yes,0.7952,0.6545,05/01/2015,07/01/2015,05/01/2015
CLM-108844,VEH-ES5TKUUL37Z1T5ZGG,INVOLVES_VEHICLE,Insured Vehicle,Minor Damage,33840.0,No,No,0.6768,0.6477,07/01/2015,01/01/2015,07/01/2015
CLM-430029,VEH-25X7DJAG4PYM68Y1A,INVOLVES_VEHICLE,Insured Vehicle,Total Loss,48230.0,Yes,Yes,0.9646,0.8625,04/01/2015,03/01/2015,04/01/2015
CLM-529112,VEH-TPMD4U0V7ER2TC19G,INVOLVES_VEHICLE,Insured Vehicle,Total Loss,63090.0,Yes,No,1.0,0.979,07/01/2015,06/01/2015,07/01/2015
CLM-939631,VEH-6N3CS2JT7CHGJSUV9,INVOLVES_VEHICLE,Insured Vehicle,Major Damage,50240.0,No,No,1.0,0.853,09/01/2015,03/01/2015,09/01/2015
CLM-866931,VEH-DJEWGXF6G1K5S3V9G,INVOLVES_VEHICLE,Insured Vehicle,Trivial Damage,5670.0,No,Yes,0.1134,0.1053,09/01/2015,03/01/2015,09/01/2015
CLM-582011,VEH-8VLJ7GFZ9YZNG5FNK,INVOLVES_VEHICLE,Insured Vehicle,Total Loss,53620.0,Yes,No,1.0,0.8775,08/01/2015,03/01/2015,08/01/2015
CLM-691189,VEH-5LS2U1FU9873Y2HZ1,INVOLVES_VEHICLE,Insured Vehicle,Minor Damage,57260.0,No,No,1.0,0.8742,03/01/2015,03/01/2015,03/01/2015
CLM-537546,VEH-W9VFPFY08CX55C9WR,INVOLVES_VEHICLE,Insured Vehicle,Trivial Damage,5280.0,No,Yes,0.1056,0.0925,06/01/2015,01/01/2015,06/01/2015
CLM-394975,VEH-HSZS879NG73B60GE9,INVOLVES_VEHICLE,Insured Vehicle,Minor Damage,3440.0,No,No,0.0688,0.0576,09/01/2015,07/01/2015,09/01/2015
CLM-729634,VEH-NF21W6G8D6GE5UZ74,INVOLVES_VEHICLE,Insured Vehicle,Major Damage,44870.0,No,No,0.8974,0.7259,09/01/2015,05/01/2015,09/01/2015
CLM-282195,VEH-FB9449HHX47XK1GCS,INVOLVES_VEHICLE,Insured Vehicle,Minor Damage,1680.0,No,Yes,0.0336,0.0298,08/01/2015,05/01/2015,08/01/2015
CLM-420810,VEH-U1H1B1YJLCT6HREUY,INVOLVES_VEHICLE,Insured Vehicle,Minor Damage,55230.0,No,No,1.0,0.8527,05/01/2015,08/01/2015,05/01/2015
CLM-524836,VEH-N6NLC98AK88WK3VYF,INVOLVES_VEHICLE,Insured Vehicle,Major Damage,50160.0,No,Yes,1.0,0.9674,05/01/2015,05/01/2015,05/01/2015
CLM-307195,VEH-8T3MJS6FU529S9L9D,INVOLVES_VEHICLE,Insured Vehicle,Minor Damage,1800.0,No,No,0.036,0.0329,06/01/2015,03/01/2015,06/01/2015
CLM-623648,VEH-KKM3RSHY6HZMP00YJ,INVOLVES_VEHICLE,Insured Vehicle,Total Loss,51170.0,Yes,No,1.0,0.8302,07/01/2015,02/01/2015,07/01/2015
CLM-485372,VEH-M1R8R74RYV0NRZB4D,INVOLVES_VEHICLE,Insured Vehicle,Minor Damage,45760.0,No,No,0.9152,0.8596,03/01/2015,03/01/2015,03/01/2015
CLM-598554,VEH-G0Z7A93FPDTU01YXJ,INVOLVES_VEHICLE,Insured Vehicle,Major Damage,54040.0,No,Yes,1.0,0.8193,02/01/2015,04/01/2015,02/01/2015
CLM-303987,VEH-UBYMN0ZT6GSUWA3A5,INVOLVES_VEHICLE,Insured Vehicle,Total Loss,33210.0,Yes,No,0.6642,0.6201,04/01/2015,01/01/2015,04/01/2015
CLM-343161,VEH-K06N7LWEV1XTHGWUH,INVOLVES_VEHICLE,Insured Vehicle,Minor Damage,39410.0,No,Yes,0.7882,0.758,08/01/2015,05/01/2015,08/01/2015
CLM-519312,VEH-YGMRURENH2M4LWM28,INVOLVES_VEHICLE,Insured Vehicle,Major Damage,51390.0,No,Yes,1.0,0.8828,03/01/2015,01/01/2015,03/01/2015
CLM-132902,VEH-4Z1YECKX8VYPCPGEB,INVOLVES_VEHICLE,Insured Vehicle,Total Loss,45990.0,Yes,Yes,0.9198,0.875,02/01/2015,08/01/2015,02/01/2015
CLM-332867,VEH-VAS8D4ALSM8BAB3NB,INVOLVES_VEHICLE,Insured Vehicle,Minor Damage,61740.0,No,No,1.0,0.8455,04/01/2015,08/01/2015,04/01/2015
CLM-356590,VEH-ACZKEP0EE9XSBRJAB,INVOLVES_VEHICLE,Insured Vehicle,Minor Damage,62100.0,No,No,1.0,0.8122,09/01/2015,08/01/2015,09/01/2015
CLM-346002,VEH-8KPYGBPNHMUCL9FBA,INVOLVES_VEHICLE,Insured Vehicle,Minor Damage,30160.0,No,No,0.6032,0.5293,07/01/2015,09/01/2015,07/01/2015
CLM-500533,VEH-D4YSZGSR3P1YH0WRM,INVOLVES_VEHICLE,Insured Vehicle,Major Damage,49840.0,No,Yes,0.9968,0.9016,06/01/2015,01/01/2015,06/01/2015
CLM-348209,VEH-7U5A0ARFH69CYG2PX,INVOLVES_VEHICLE,Insured Vehicle,Minor Damage,2580.0,No,Yes,0.0516,0.0512,09/01/2015,08/01/2015,09/01/2015
CLM-486676,VEH-D51BTMU6GRCG60TCR,INVOLVES_VEHICLE,Insured Vehicle,Major Damage,49680.0,No,No,0.9936,0.9314,01/01/2015,04/01/2015,01/01/2015
CLM-260845,VEH-CUHDVU1LZ23FSDS0P,INVOLVES_VEHICLE,Insured Vehicle,Total Loss,47670.0,Yes,No,0.9534,0.9413,03/01/2015,04/01/2015,03/01/2015
CLM-657045,VEH-8SX8RWRG2JDBPXZ7J,INVOLVES_VEHICLE,Insured Vehicle,Minor Damage,27090.0,No,No,0.5418,0.4955,07/01/2015,08/01/2015,07/01/2015
CLM-761189,VEH-FNBYPGCHNZWXTA2M1,INVOLVES_VEHICLE,Insured Vehicle,Minor Damage,42840.0,No,No,0.8568,0.7258,01/01/2015,08/01/2015,01/01/2015
CLM-175177,VEH-1FPGNK7H5RK8314SY,INVOLVES_VEHICLE,Insured Vehicle,Minor Damage,28620.0,No,No,0.5724,0.4921,02/01/2015,07/01/2015,02/01/2015
CLM-116700,VEH-SB2TGKLFYK0MZRZDZ,INVOLVES_VEHICLE,Insured Vehicle,Total Loss,34140.0,Yes,Yes,0.6828,0.6002,03/01/2015,08/01/2015,03/01/2015
CLM-166264,VEH-E9A38KXWJDVWU0F9J,INVOLVES_VEHICLE,Insured Vehicle,Minor Damage,67050.0,No,Yes,1.0,0.9708,08/01/2015,02/01/2015,08/01/2015
CLM-527945,VEH-D320AZ4NBKAKEMWE9,INVOLVES_VEHICLE,Insured Vehicle,Total Loss,38010.0,Yes,No,0.7602,0.6134,07/01/2015,01/01/2015,07/01/2015
CLM-627540,VEH-41VRWUWD9BGTG405J,INVOLVES_VEHICLE,Insured Vehicle,Minor Damage,5580.0,No,Yes,0.1116,0.102,02/01/2015,04/01/2015,02/01/2015
CLM-279422,VEH-EFLLC6D9HPJWT3UFE,INVOLVES_VEHICLE,Insured Vehicle,Major Damage,50540.0,No,No,1.0,0.9034,02/01/2015,09/01/2015,02/01/2015
CLM-484200,VEH-S22MY5YM7LKRK6Z2K,INVOLVES_VEHICLE,Insured Vehicle,Minor Damage,30480.0,No,No,0.6096,0.5574,05/01/2015,05/01/2015,05/01/2015
CLM-645258,VEH-M9B3G6WZW7G2PG8NY,INVOLVES_VEHICLE,Insured Vehicle,Trivial Damage,4620.0,No,Yes,0.0924,0.0921,04/01/2015,09/01/2015,04/01/2015
CLM-694662,VEH-CBBK70CF3RUJULSW2,INVOLVES_VEHICLE,Insured Vehicle,Minor Damage,5250.0,No,No,0.105,0.0871,06/01/2015,04/01/2015,06/01/2015
CLM-960680,VEH-WS6FUZ4EMU0VV1SD8,INVOLVES_VEHICLE,Insured Vehicle,Trivial Damage,4130.0,No,Yes,0.0826,0.0818,02/01/2015,01/01/2015,02/01/2015
CLM-498140,VEH-UG50K6LF9RS9W53XM,INVOLVES_VEHICLE,Insured Vehicle,Major Damage,44320.0,No,No,0.8864,0.7887,01/01/2015,03/01/2015,01/01/2015
CLM-498875,VEH-EN9V5GGE3AL29BWW2,INVOLVES_VEHICLE,Insured Vehicle,Major Damage,40810.0,No,Yes,0.8162,0.8079,07/01/2015,03/01/2015,07/01/2015
CLM-798177,VEH-DHRLFUR1J9DEPS9PU,INVOLVES_VEHICLE,Insured Vehicle,Minor Damage,45600.0,No,Yes,0.912,0.7601,07/01/2015,01/01/2015,07/01/2015
CLM-614763,VEH-88JAMN5U7008YXGGZ,INVOLVES_VEHICLE,Insured Vehicle,Total Loss,40880.0,Yes,No,0.8176,0.6887,09/01/2015,06/01/2015,09/01/2015
CLM-679370,VEH-N54V9A54U3CZJABLT,INVOLVES_VEHICLE,Insured Vehicle,Trivial Damage,3290.0,No,Yes,0.0658,0.0552,05/01/2015,01/01/2015,05/01/2015
CLM-958857,VEH-H98DBP9KG31FWXFS9,INVOLVES_VEHICLE,Insured Vehicle,Major Damage,39480.0,No,Yes,0.7896,0.6384,01/01/2015,03/01/2015,01/01/2015
CLM-686816,VEH-SB12GDMWE794FSNW2,INVOLVES_VEHICLE,Insured Vehicle,Total Loss,46350.0,Yes,Yes,0.927,0.7561,03/01/2015,01/01/2015,03/01/2015
CLM-127754,VEH-S8B24J50MFPV3X7FY,INVOLVES_VEHICLE,Insured Vehicle,Major Damage,71520.0,No,Yes,1.0,0.9366,08/01/2015,05/01/2015,08/01/2015
CLM-918629,VEH-1NF14SWKFCVAHJVL8,INVOLVES_VEHICLE,Insured Vehicle,Trivial Damage,4720.0,No,No,0.0944,0.0793,08/01/2015,06/01/2015,08/01/2015
CLM-731450,VEH-6TRL2LF4DFKLYFR9Z,INVOLVES_VEHICLE,Insured Vehicle,Major Damage,53010.0,No,No,1.0,0.9645,01/01/2015,02/01/2015,01/01/2015
CLM-307447,VEH-FPCHDV9PKAD7W9GWK,INVOLVES_VEHICLE,Insured Vehicle,Total Loss,68160.0,Yes,Yes,1.0,0.8296,04/01/2015,01/01/2015,04/01/2015
CLM-992145,VEH-FACK84FMY2KE7MAK3,INVOLVES_VEHICLE,Insured Vehicle,Minor Damage,5040.0,No,No,0.1008,0.0926,09/01/2015,02/01/2015,09/01/2015
CLM-900628,VEH-EAC42YJ9MAK2GGRDA,INVOLVES_VEHICLE,Insured Vehicle,Major Damage,59670.0,No,No,1.0,0.8639,05/01/2015,07/01/2015,05/01/2015
CLM-235220,VEH-3VKJK2H4FH5PZYPSP,INVOLVES_VEHICLE,Insured Vehicle,Minor Damage,50470.0,No,No,1.0,0.9454,04/01/2015,03/01/2015,04/01/2015
CLM-740019,VEH-JVLBTV70R6F6JDXHJ,INVOLVES_VEHICLE,Insured Vehicle,Trivial Damage,3600.0,No,No,0.072,0.0692,01/01/2015,03/01/2015,01/01/2015
CLM-246882,VEH-LHZ5YTTJCAF54F3UG,INVOLVES_VEHICLE,Insured Vehicle,Trivial Damage,4200.0,No,No,0.084,0.0687,09/01/2015,05/01/2015,09/01/2015
CLM-797613,VEH-0R3F20R8VAKEJZEL6,INVOLVES_VEHICLE,Insured Vehicle,Minor Damage,47580.0,No,Yes,0.9516,0.8672,09/01/2015,09/01/2015,09/01/2015
CLM-193442,VEH-71AFE38LJF0RM5BNL,INVOLVES_VEHICLE,Insured Vehicle,Major Damage,36960.0,No,No,0.7392,0.673,04/01/2015,03/01/2015,04/01/2015
CLM-389238,VEH-FR873SYBFCK9M6RTB,INVOLVES_VEHICLE,Insured Vehicle,Minor Damage,25200.0,No,No,0.504,0.4895,03/01/2015,08/01/2015,03/01/2015
CLM-760179,VEH-EWMD800B8A2HUNGTF,INVOLVES_VEHICLE,Insured Vehicle,Minor Damage,2310.0,No,Yes,0.0462,0.0418,01/01/2015,06/01/2015,01/01/2015
CLM-939905,VEH-R85XB026CP1D07AE5,INVOLVES_VEHICLE,Insured Vehicle,Total Loss,70110.0,Yes,Yes,1.0,0.9834,06/01/2015,01/01/2015,06/01/2015
CLM-872814,VEH-J9S9L86DMFNPM2E33,INVOLVES_VEHICLE,Insured Vehicle,Minor Damage,3360.0,No,Yes,0.0672,0.0539,04/01/2015,02/01/2015,04/01/2015
CLM-632627,VEH-AYUX2SKG178ZG1M7F,INVOLVES_VEHICLE,Insured Vehicle,Major Damage,53200.0,No,No,1.0,0.9401,01/01/2015,05/01/2015,01/01/2015
CLM-283414,VEH-6P9WR5HS7PM8RENNF,INVOLVES_VEHICLE,Insured Vehicle,Major Damage,51940.0,No,No,1.0,0.9175,03/01/2015,06/01/2015,03/01/2015
CLM-163161,VEH-LS15U5S44Z29S2PXK,INVOLVES_VEHICLE,Insured Vehicle,Major Damage,48870.0,No,Yes,0.9774,0.9347,02/01/2015,06/01/2015,02/01/2015
CLM-853360,VEH-D7WVU3YW87R202FHS,INVOLVES_VEHICLE,Insured Vehicle,Major Damage,44320.0,No,No,0.8864,0.7291,05/01/2015,07/01/2015,05/01/2015
CLM-776860,VEH-PV0BLVKZ5XZ2C13SE,INVOLVES_VEHICLE,Insured Vehicle,Minor Damage,52290.0,No,No,1.0,0.8299,07/01/2015,02/01/2015,07/01/2015
CLM-149367,VEH-EVG71VDF368VWS1XC,INVOLVES_VEHICLE,Insured Vehicle,Major Damage,49000.0,No,Yes,0.98,0.8951,06/01/2015,07/01/2015,06/01/2015
CLM-395269,VEH-1EABFVUXHRV4DBP83,INVOLVES_VEHICLE,Insured Vehicle,Total Loss,51590.0,Yes,No,1.0,0.9165,07/01/2015,09/01/2015,07/01/2015
CLM-981123,VEH-L8XK76ARH7VK1D814,INVOLVES_VEHICLE,Insured Vehicle,Major Damage,33670.0,No,No,0.6734,0.6687,07/01/2015,02/01/2015,07/01/2015
CLM-143626,VEH-1FC9A3WRZBW0W4NCK,INVOLVES_VEHICLE,Insured Vehicle,Minor Damage,4720.0,No,No,0.0944,0.0774,04/01/2015,05/01/2015,04/01/2015
CLM-648397,VEH-YV3WG7GMGY2VG2KJY,INVOLVES_VEHICLE,Insured Vehicle,Total Loss,33390.0,Yes,No,0.6678,0.5483,09/01/2015,08/01/2015,09/01/2015
CLM-154982,VEH-D6MPEMXJAZUX6MKFJ,INVOLVES_VEHICLE,Insured Vehicle,Minor Damage,32620.0,No,No,0.6524,0.6236,01/01/2015,03/01/2015,01/01/2015
CLM-330591,VEH-7CUXU47BNPNEVHSR7,INVOLVES_VEHICLE,Insured Vehicle,Major Damage,51200.0,No,Yes,1.0,0.9571,02/01/2015,02/01/2015,02/01/2015
CLM-319232,VEH-XK81G7W744D5SJ1P3,INVOLVES_VEHICLE,Insured Vehicle,Minor Damage,63000.0,No,Yes,1.0,0.9735,02/01/2015,05/01/2015,02/01/2015
CLM-531640,VEH-VY5KGNC2L2FNLSL55,INVOLVES_VEHICLE,Insured Vehicle,Minor Damage,52960.0,No,No,1.0,0.976,09/01/2015,06/01/2015,09/01/2015
CLM-368050,VEH-G9TDNFNP1MRT4RDDX,INVOLVES_VEHICLE,Insured Vehicle,Minor Damage,41580.0,No,No,0.8316,0.8113,05/01/2015,09/01/2015,05/01/2015
CLM-253791,VEH-UP1N2DEJDKRYY4X9Y,INVOLVES_VEHICLE,Insured Vehicle,Major Damage,51040.0,No,No,1.0,0.8528,09/01/2015,07/01/2015,09/01/2015
CLM-155724,VEH-ZS0HE4AAGX2H65LYD,INVOLVES_VEHICLE,Insured Vehicle,Major Damage,49280.0,No,No,0.9856,0.9176,06/01/2015,09/01/2015,06/01/2015
CLM-824540,VEH-3L84EUX95C9DZV13J,INVOLVES_VEHICLE,Insured Vehicle,Total Loss,51420.0,Yes,Yes,1.0,0.9144,06/01/2015,04/01/2015,06/01/2015
CLM-717392,VEH-UHHV33YUG6F9Z00SM,INVOLVES_VEHICLE,Insured Vehicle,Total Loss,28000.0,Yes,No,0.56,0.501,05/01/2015,04/01/2015,05/01/2015
CLM-965768,VEH-8AX0H4XLJ32RW415S,INVOLVES_VEHICLE,Insured Vehicle,Total Loss,23100.0,Yes,Yes,0.462,0.3855,04/01/2015,01/01/2015,04/01/2015
CLM-414779,VEH-WEN5WR0SMSSZH1DJ6,INVOLVES_VEHICLE,Insured Vehicle,Total Loss,28800.0,Yes,No,0.576,0.5072,04/01/2015,02/01/2015,04/01/2015
CLM-428230,VEH-6JU7J99V1ED3NVM3R,INVOLVES_VEHICLE,Insured Vehicle,Minor Damage,2970.0,No,No,0.0594,0.0549,08/01/2015,09/01/2015,08/01/2015
CLM-517240,VEH-5TR7XDTLHWGEKURJ0,INVOLVES_VEHICLE,Insured Vehicle,Major Damage,42560.0,No,Yes,0.8512,0.7969,07/01/2015,02/01/2015,07/01/2015
CLM-469874,VEH-7WZMB3GZ7NG18K59K,INVOLVES_VEHICLE,Insured Vehicle,Major Damage,34790.0,No,No,0.6958,0.6125,01/01/2015,08/01/2015,01/01/2015
CLM-718428,VEH-C4A8LP88V4RZW2W7L,INVOLVES_VEHICLE,Insured Vehicle,Minor Damage,56480.0,No,No,1.0,0.8792,05/01/2015,05/01/2015,05/01/2015
CLM-620215,VEH-MHGBLCD6U7D14M5RK,INVOLVES_VEHICLE,Insured Vehicle,Major Damage,43050.0,No,No,0.861,0.8402,03/01/2015,07/01/2015,03/01/2015
CLM-618659,VEH-KJR813UG0G0HSGVPP,INVOLVES_VEHICLE,Insured Vehicle,Major Damage,34000.0,No,No,0.68,0.6379,07/01/2015,06/01/2015,07/01/2015
CLM-649082,VEH-WZGW29FGG3A550XTN,INVOLVES_VEHICLE,Insured Vehicle,Total Loss,32760.0,Yes,No,0.6552,0.5306,09/01/2015,05/01/2015,09/01/2015
CLM-437573,VEH-KUD9TBA2JSCLWTFSG,INVOLVES_VEHICLE,Insured Vehicle,Minor Damage,52080.0,No,Yes,1.0,0.895,02/01/2015,09/01/2015,02/01/2015
CLM-964657,VEH-NPJTX1FEH5KVCWW9P,INVOLVES_VEHICLE,Insured Vehicle,Major Damage,48440.0,No,No,0.9688,0.8271,09/01/2015,06/01/2015,09/01/2015
CLM-932502,VEH-SL2JCGBAYA2GNLW7K,INVOLVES_VEHICLE,Insured Vehicle,Minor Damage,2870.0,No,No,0.0574,0.0502,02/01/2015,03/01/2015,02/01/2015
CLM-434507,VEH-90ZWU7X7YD5SL7CYT,INVOLVES_VEHICLE,Insured Vehicle,Minor Damage,52400.0,No,No,1.0,0.8676,09/01/2015,08/01/2015,09/01/2015
CLM-935277,VEH-EAG1010TCZ06YX8UL,INVOLVES_VEHICLE,Insured Vehicle,Minor Damage,55360.0,No,No,1.0,0.9587,05/01/2015,09/01/2015,05/01/2015
CLM-756054,VEH-5MZD768JNM9MPWGFZ,INVOLVES_VEHICLE,Insured Vehicle,Total Loss,49040.0,Yes,Yes,0.9808,0.8456,06/01/2015,08/01/2015,06/01/2015
