:ID,:LABEL,claim_id,policy_number,incident_date,report_date,claim_open_date,claim_close_date,days_to_report,days_open,days_to_first_contact,days_to_settlement,incident_type,collision_type,incident_severity,incident_state,incident_city,incident_location,incident_hour_of_the_day,time_of_day_band,day_of_week,weather_conditions,road_conditions,speed_limit_zone,traffic_density,number_of_vehicles_involved,at_fault_party,third_party_vehicle_make,third_party_vehicle_year,auto_make,auto_model,auto_year,property_damage,bodily_injuries,witnesses,fatalities,hospitalization_required,emergency_services_called,airbag_deployed,vehicle_towed,total_claim_amount,injury_claim,property_claim,vehicle_claim,salvage_value,rental_reimbursement_paid,subrogation_recovered,claim_payment_method,reserves_set,claim_status,police_report_available,police_report_number,police_statement_available,witness_statement_count,witness_statements_available,documentary_evidence_strength,cctv_footage_available,dashcam_footage_available,cell_phone_data_requested,toxicology_report,authorities_contacted,fraud_reported,fraud_indicators,siu_referral,siu_outcome,potential_subrogation_flag,third_party_indicator_reason,liability_probability_score,primary_liability_pattern,liability_pattern_tags,llm_judge_verdict,llm_judge_confidence,total_legal_rubric_score,evidence_quality_score,liability_clarity_score,damages_quantifiability_score,subrogation_viability_score,rag_confidence_score,rag_generated_summary,adjuster_priority_tier,adjuster_recommended_action,recommended_action,estimated_recovery_amount,estimated_recovery_pct,statute_of_limitations_risk,inter_carrier_recovery_applicable,adjuster_id,adjuster_name,supervisor_id,litigation_flag,arbitration_flag,geo_latitude,geo_longitude,geo_accuracy,claim_submission_channel,claim_submission_device,duplicate_claim_flag,claim_cluster_id,ring_member_flag,payment_account_id,payment_routing_hash,claim_velocity_score,network_repeat_score,shared_entity_count,closed_loop_flag,cross_role_participation_flag,manual_override_flag,manual_override_reasons,staged_accident_flag,claim_padding_flag,role_switching_flag
CLM-398102,Claim,CLM-398102,398102,1/12/2015,1/12/2015,1/12/2015,13/6/2015,5,329,0,122.0,Single Vehicle Collision,Side Collision,Minor Damage,SC,Springfield,8964 Francis St,13,Daytime,Tuesday,Rain,Wet,55,Low,1,Shared Fault,Ford,2015.0,Dodge,Neon,1997,YES,2,3,0,No,Yes,Unknown,No,100800,16800,16800,67200,0.0,246.62,59908.27,EFT,101627.62,Closed - Denied,?,POLICE INCIDENT,YES,3,YES,VERY_STRONG,No,Unknown,No,No,Police,N,,No,Pending,Yes,Property damage reported; Independent witnesses available,60,CONTRACTOR_NEGLIGENCE,CONTRACTOR_NEGLIGENCE|HIT_AND_RUN_RECOVERY,STRONG_RECOVERY_CASE,0.91,82,15,20,25,22,54,"Incident on 1/12/2015 in Springfield, SC.
Type: Single Vehicle Collision | Collision: Side Collision
Severity: Minor Damage | Vehicles: 1
Witnesses: 3 | Police Report: ?
Total Claim: $100800",P1,ESCALATE_TO_SUBROGATION_COUNSEL,Refer to Subrogation Specialist for Evidence Review,75600.0,0.75,HIGH,NO,ADJ-6724,James Carter,SUP-298,No,No,34.400095,-82.313119,Medium,Walk-In,Unknown,No,,No,PAY-F14100F64B,54317f45a51f6160,0.0,0.24,1,No,No,Yes,High Value >$50K,No,No,No
CLM-514065,Claim,CLM-514065,514065,1/17/2015,1/17/2015,1/17/2015,,7,196,3,265.0,Single Vehicle Collision,Side Collision,Total Loss,VA,Springfield,9748 Sky Drive,12,Daytime,Friday,Ice,Icy,55,High,1,Unknown,Unknown,2008.0,Accura,RSX,2009,YES,2,3,0,Yes,Yes,No,Yes,90970,16540,16540,57890,8683.5,1358.67,55717.18,Pending,111757.06,Open,NO,NO_POLICE_REPOR,NO,3,YES,VERY_STRONG,Unknown,No,No,No,Police,N,,No,Pending,Yes,Property damage reported; Independent witnesses available,60,CONTRACTOR_NEGLIGENCE,CONTRACTOR_NEGLIGENCE|HIT_AND_RUN_RECOVERY,STRONG_RECOVERY_CASE,0.91,82,15,20,25,22,54,"Incident on 1/17/2015 in Springfield, VA.
Type: Single Vehicle Collision | Collision: Side Collision
Severity: Total Loss | Vehicles: 1
Witnesses: 3 | Police Report: NO
Total Claim: $90970",P1,ESCALATE_TO_SUBROGATION_COUNSEL,Refer to Subrogation Specialist for Evidence Review,68227.5,0.75,HIGH,NO,ADJ-8221,Kevin Wu,SUP-783,No,Yes,37.023499,-79.600847,Low,Third Party,Unknown,No,,No,PAY-305010803B,7ac707cb442eb9c5,0.31,0.49,3,No,No,Yes,High Value >$50K|Injury No Police Report,No,No,No
CLM-391652,Claim,CLM-391652,391652,1/12/2015,1/12/2015,1/12/2015,,7,328,5,,Single Vehicle Collision,Rear Collision,Minor Damage,SC,Northbend,2293 Washington Ave,11,Daytime,Friday,Unknown,Dry,65,Moderate,1,Unknown,,,Chevrolet,Malibu,2011,?,1,1,0,Yes,Yes,No,Yes,81840,14880,7440,59520,0.0,814.85,36808.74,Direct Deposit,83736.56,Subrogation Pending,YES,POLICE INCIDENT,YES,1,YES,STRONG,No,No,No,No,Police,Y,Witness Inconsistency|Prior Claims,Yes,Inconclusive,Yes,Independent witnesses available; Police report available for cross-reference,50,PRODUCT_LIABILITY_BRAKE_FAILURE,PRODUCT_LIABILITY_BRAKE_FAILURE|HIT_AND_RUN_RECOVERY,VIABLE_RECOVERY_CASE,0.89,77,15,18,25,19,45,"Incident on 1/12/2015 in Northbend, SC.
Type: Single Vehicle Collision | Collision: Rear Collision
Severity: Minor Damage | Vehicles: 1
Witnesses: 1 | Police Report: YES
Total Claim: $81840",P2,OPEN_SUBROGATION_FILE,Refer to Subrogation Specialist for Evidence Review,40920.0,0.5,HIGH,NO,ADJ-6049,Kevin Wu,SUP-614,Yes,No,34.395388,-82.076724,Low,Mobile App,Unknown,No,RING-017,Yes,PAY-E33217F115,b2702ea3b3028046,0.88,0.9,7,No,No,Yes,High Value >$50K|Fraud Ring Cluster,No,No,Yes
CLM-922167,Claim,CLM-922167,922167,1/6/2015,1/6/2015,1/6/2015,24/10/2015,0,70,4,,Single Vehicle Collision,Front Collision,Major Damage,NY,Northbend,3656 Solo Ave,18,Rush Hour,Monday,Snow,Unknown,35,Low,1,Insured,Unknown,2003.0,Mercedes,C300,2013,?,0,2,0,No,Yes,Yes,Yes,54900,5490,5490,43920,0.0,0.0,15367.02,Direct Deposit,59726.77,Closed - Denied,NO,NO_POLICE_REPOR,NO,2,YES,STRONG,No,No,No,No,Ambulance,N,,No,Pending,Yes,Independent witnesses available,20,HIT_AND_RUN_RECOVERY,HIT_AND_RUN_RECOVERY,VIABLE_RECOVERY_CASE,0.8,60,10,10,25,15,18,"Incident on 1/6/2015 in Northbend, NY.
Type: Single Vehicle Collision | Collision: Front Collision
Severity: Major Damage | Vehicles: 1
Witnesses: 2 | Police Report: NO
Total Claim: $54900",P2,OPEN_SUBROGATION_FILE,Secondary Liability Review Required,27450.0,0.5,HIGH,NO,ADJ-5253,Kevin Wu,SUP-669,No,Yes,41.784999,-75.990691,Low,Mobile App,Unknown,Yes,,No,PAY-0A6A631B3E,088dd86989a31014,0.37,0.18,2,No,No,Yes,High Value >$50K,No,No,No
CLM-442795,Claim,CLM-442795,442795,2/25/2015,2/25/2015,2/25/2015,3/8/2015,1,189,3,,Single Vehicle Collision,Front Collision,Total Loss,NY,Northbend,8579 Apache Drive,17,Rush Hour,Wednesday,Wind,Dry,45,High,1,Shared Fault,Honda,2000.0,Mercedes,C300,2007,YES,2,3,0,Yes,Yes,Unknown,Yes,88660,8060,16120,64480,9672.0,0.0,54060.02,Direct Deposit,114175.13,Open,NO,NO_POLICE_REPOR,NO,3,YES,VERY_STRONG,No,No,No,No,Fire,Y,High Value|Witness Inconsistency|Late Report,No,Fraud Confirmed,Yes,Property damage reported; Independent witnesses available,60,CONTRACTOR_NEGLIGENCE,CONTRACTOR_NEGLIGENCE|HIT_AND_RUN_RECOVERY,STRONG_RECOVERY_CASE,0.91,82,15,20,25,22,54,"Incident on 2/25/2015 in Northbend, NY.
Type: Single Vehicle Collision | Collision: Front Collision
Severity: Total Loss | Vehicles: 1
Witnesses: 3 | Police Report: NO
Total Claim: $88660",P1,ESCALATE_TO_SUBROGATION_COUNSEL,Refer to Subrogation Specialist for Evidence Review,66495.0,0.75,HIGH,NO,ADJ-2800,Sandra Bell,SUP-811,Yes,No,42.479739,-75.595443,Medium,Third Party,Mobile,No,RING-009,Yes,PAY-CE067F1059,f4c00198c89a6092,0.57,0.81,5,No,No,Yes,High Value >$50K|Injury No Police Report|Fraud Ring Cluster,No,No,No
CLM-226330,Claim,CLM-226330,226330,2/16/2015,2/16/2015,2/16/2015,20/1/2015,5,190,5,295.0,Multi-vehicle Collision,Front Collision,Total Loss,NC,Riverwood,2003 Maple Hwy,22,Night,Friday,Snow,Wet,25,High,3,Insured,Toyota,2007.0,Audi,A3,2009,?,1,1,0,No,Yes,Yes,Yes,18000,2250,2250,13500,2025.0,1048.94,4314.62,Pending,23166.81,Open,NO,NO_POLICE_REPOR,NO,1,YES,MODERATE,Unknown,No,No,Yes,Ambulance,N,,No,Pending,Yes,Multiple vehicles involved; Independent witnesses available,70,DRAM_SHOP_PREMISES_LIABILITY,INTERSECTION_LIABILITY|DRAM_SHOP_PREMISES_LIABILITY,INVESTIGATE_FURTHER,0.78,57,5,15,15,22,63,"Incident on 2/16/2015 in Riverwood, NC.
Type: Multi-vehicle Collision | Collision: Front Collision
Severity: Total Loss | Vehicles: 3
Witnesses: 1 | Police Report: NO
Total Claim: $18000",P3,REQUEST_ADDITIONAL_INVESTIGATION,Refer to Subrogation Specialist for Evidence Review,4500.0,0.25,HIGH,YES,ADJ-9818,Kevin Wu,SUP-155,No,No,36.83545,-77.845793,Low,Mobile App,Unknown,No,,No,PAY-80782D1B24,5594fe0b57047477,0.4,0.26,2,No,No,No,,No,No,No
CLM-134430,Claim,CLM-134430,134430,2/25/2015,2/25/2015,2/25/2015,,2,242,5,34.0,Vehicle Theft,?,Minor Damage,NY,Northbrook,5445 Tree Hwy,9,Rush Hour,Saturday,Clear,Unknown,55,High,1,Unknown,,,Chevrolet,Tahoe,2010,YES,1,3,0,No,Yes,Unknown,No,5500,1100,550,3850,0.0,1369.0,1867.43,Check,5759.0,Closed - Paid,YES,POLICE INCIDENT,YES,3,YES,VERY_STRONG,No,No,No,No,Police,N,,No,Pending,Yes,Property damage reported; Independent witnesses available; Police report available for cross-reference,70,CONTRACTOR_NEGLIGENCE,CONTRACTOR_NEGLIGENCE,VIABLE_RECOVERY_CASE,0.89,77,25,20,10,22,63,"Incident on 2/25/2015 in Northbrook, NY.
Type: Vehicle Theft | Collision: ?
Severity: Minor Damage | Vehicles: 1
Witnesses: 3 | Police Report: YES
Total Claim: $5500",P2,OPEN_SUBROGATION_FILE,Refer to Subrogation Specialist for Evidence Review,2750.0,0.5,HIGH,NO,ADJ-9851,Kevin Wu,SUP-752,No,No,44.294201,-76.740998,High,Walk-In,Tablet,No,,No,PAY-D779B61377,a7a9d43c14093f50,0.38,0.04,2,No,No,No,,No,No,No
CLM-524230,Claim,CLM-524230,524230,2/21/2015,2/21/2015,2/21/2015,,2,222,0,,Multi-vehicle Collision,Rear Collision,Major Damage,WV,Hillsdale,9730 2nd Hwy,11,Daytime,Sunday,Clear,Dry,Unknown,Moderate,3,Shared Fault,Ford,2007.0,Honda,Civic,2003,?,1,0,0,No,Yes,No,Yes,73920,13440,6720,53760,0.0,0.0,13489.09,Direct Deposit,82650.1,Closed - Withdrawn,?,POLICE INCIDENT,YES,0,NO,MODERATE,Yes,No,No,No,Other,Y,No Police,No,Cleared,Yes,Multiple vehicles involved,50,PRODUCT_LIABILITY_AGING_VEHICLE,INTERSECTION_LIABILITY|PRODUCT_LIABILITY_AGING_VEHICLE,INVESTIGATE_FURTHER,0.78,56,0,12,25,19,45,"Incident on 2/21/2015 in Hillsdale, WV.
Type: Multi-vehicle Collision | Collision: Rear Collision
Severity: Major Damage | Vehicles: 3
Witnesses: 0 | Police Report: ?
Total Claim: $73920",P3,REQUEST_ADDITIONAL_INVESTIGATION,Refer to Subrogation Specialist for Evidence Review,18480.0,0.25,HIGH,YES,ADJ-8086,James Carter,SUP-657,No,Yes,38.375183,-80.323967,High,Mobile App,Desktop,No,RING-002,Yes,PAY-95387556D2,51bdc2f45b2c0866,0.54,0.9,4,No,No,Yes,High Value >$50K|Fraud Ring Cluster,No,No,No
CLM-438817,Claim,CLM-438817,438817,2/16/2015,2/16/2015,2/16/2015,,3,226,0,,Single Vehicle Collision,Rear Collision,Total Loss,VA,Columbus,7819 Oak St,11,Daytime,Thursday,Clear,Wet,Unknown,Unknown,1,Unknown,Unknown,,Honda,CRV,2007,NO,0,2,0,No,Yes,Yes,Yes,101860,18520,18520,64820,9723.0,0.0,46915.98,Pending,118489.27,Closed - Paid,YES,POLICE INCIDENT,YES,2,YES,VERY_STRONG,Yes,Unknown,No,No,Ambulance,N,,No,Pending,Yes,Independent witnesses available; Police report available for cross-reference,30,PRODUCT_LIABILITY_BRAKE_FAILURE,PRODUCT_LIABILITY_BRAKE_FAILURE|HIT_AND_RUN_RECOVERY,VIABLE_RECOVERY_CASE,0.89,78,20,18,25,15,27,"Incident on 2/16/2015 in Columbus, VA.
Type: Single Vehicle Collision | Collision: Rear Collision
Severity: Total Loss | Vehicles: 1
Witnesses: 2 | Police Report: YES
Total Claim: $101860",P2,OPEN_SUBROGATION_FILE,Secondary Liability Review Required,50930.0,0.5,HIGH,NO,ADJ-3321,Kevin Wu,SUP-953,Yes,No,38.56103,-80.338816,High,Mobile App,Mobile,No,,No,PAY-26BA60684E,db151f3d372be82c,0.17,0.09,3,No,No,Yes,High Value >$50K,No,No,No
CLM-293794,Claim,CLM-293794,293794,2/9/2015,2/9/2015,2/9/2015,15/7/2015,2,212,1,139.0,Parked Car,?,Minor Damage,SC,Riverwood,1845 Best St,8,Rush Hour,Sunday,Unknown,Icy,15,Unknown,1,Third Party,,,Volkswagen,Passat,2008,YES,0,1,0,No,Yes,Yes,No,5390,980,980,3430,0.0,0.0,1581.7,Pending,5455.36,Closed - Denied,YES,AUTHORITIES_NOT,NO,1,YES,MODERATE,Unknown,No,No,No,,N,,No,Pending,Yes,Property damage reported; Independent witnesses available; Police report available for cross-reference,50,CONTRACTOR_NEGLIGENCE,CONTRACTOR_NEGLIGENCE,VIABLE_RECOVERY_CASE,0.84,69,20,20,10,19,45,"Incident on 2/9/2015 in Riverwood, SC.
Type: Parked Car | Collision: ?
Severity: Minor Damage | Vehicles: 1
Witnesses: 1 | Police Report: YES
Total Claim: $5390",P2,OPEN_SUBROGATION_FILE,Refer to Subrogation Specialist for Evidence Review,2695.0,0.5,HIGH,NO,ADJ-1024,Thomas Reed,SUP-316,No,No,33.715513,-79.669691,Medium,Email,Desktop,No,,No,PAY-A88B5D869A,fa3d5d89d8cccb4a,0.37,0.13,2,No,No,No,,No,No,No
CLM-868283,Claim,CLM-868283,868283,2/13/2015,2/13/2015,2/13/2015,5/7/2015,0,353,0,,Single Vehicle Collision,Side Collision,Minor Damage,SC,Springfield,2500 Tree St,18,Rush Hour,Tuesday,Ice,Gravel,Unknown,Low,1,Insured,Honda,2003.0,Nissan,Maxima,2001,?,1,2,0,Yes,Yes,Yes,Yes,50490,5610,5610,39270,0.0,0.0,17151.93,Direct Deposit,62859.78,Closed - Paid,?,POLICE INCIDENT,YES,2,YES,VERY_STRONG,No,No,No,No,Police,N,,No,Pending,Yes,Independent witnesses available,40,HIT_AND_RUN_RECOVERY,HIT_AND_RUN_RECOVERY,VIABLE_RECOVERY_CASE,0.82,64,10,10,25,19,36,"Incident on 2/13/2015 in Springfield, SC.
Type: Single Vehicle Collision | Collision: Side Collision
Severity: Minor Damage | Vehicles: 1
Witnesses: 2 | Police Report: ?
Total Claim: $50490",P2,OPEN_SUBROGATION_FILE,Secondary Liability Review Required,25245.0,0.5,HIGH,NO,ADJ-3530,Maria Lopez,SUP-298,No,No,34.542311,-82.460644,Medium,Mobile App,Mobile,No,,No,PAY-C7A6A2CE0F,15dfb390095936ee,0.08,0.27,0,No,No,Yes,High Value >$50K|Injury No Police Report,No,No,No
CLM-828890,Claim,CLM-828890,828890,1/11/2015,1/11/2015,1/11/2015,,5,123,0,,Single Vehicle Collision,Front Collision,Total Loss,SC,Arlington,6955 Pine Drive,13,Daytime,Friday,Rain,Unknown,55,Moderate,1,Insured,,,Mercedes,C300,2012,NO,0,3,0,No,Yes,Yes,Yes,55500,5550,11100,38850,5827.5,0.0,27115.69,Pending,60883.1,Under Investigation,NO,NO_POLICE_REPOR,NO,3,YES,VERY_STRONG,No,No,No,No,Police,N,,No,Pending,Yes,Independent witnesses available,20,HIT_AND_RUN_RECOVERY,HIT_AND_RUN_RECOVERY,VIABLE_RECOVERY_CASE,0.8,60,10,10,25,15,18,"Incident on 1/11/2015 in Arlington, SC.
Type: Single Vehicle Collision | Collision: Front Collision
Severity: Total Loss | Vehicles: 1
Witnesses: 3 | Police Report: NO
Total Claim: $55500",P2,OPEN_SUBROGATION_FILE,Secondary Liability Review Required,27750.0,0.5,HIGH,NO,ADJ-9774,Sandra Bell,SUP-838,No,No,33.195275,-80.31956,High,Mobile App,Unknown,No,,No,PAY-BB234039BC,8b5bd9205389a5a4,0.39,0.3,1,No,No,Yes,High Value >$50K,No,No,No
CLM-882920,Claim,CLM-882920,882920,1/2/2015,1/2/2015,1/2/2015,,7,156,0,62.0,Vehicle Theft,?,Minor Damage,VA,Hillsdale,6165 Rock Ridge,8,Rush Hour,Tuesday,Rain,Gravel,15,Unknown,1,Shared Fault,Unknown,2003.0,Nissan,Maxima,2015,YES,1,1,0,Yes,Yes,No,No,7040,1280,640,5120,0.0,0.0,2238.43,Pending,8832.96,Closed - Paid,YES,POLICE INCIDENT,YES,1,YES,STRONG,No,No,No,No,Police,N,,No,Pending,Yes,Property damage reported; Independent witnesses available; Police report available for cross-reference,70,CONTRACTOR_NEGLIGENCE,CONTRACTOR_NEGLIGENCE,VIABLE_RECOVERY_CASE,0.86,72,20,20,10,22,63,"Incident on 1/2/2015 in Hillsdale, VA.
Type: Vehicle Theft | Collision: ?
Severity: Minor Damage | Vehicles: 1
Witnesses: 1 | Police Report: YES
Total Claim: $7040",P2,OPEN_SUBROGATION_FILE,Refer to Subrogation Specialist for Evidence Review,3520.0,0.5,HIGH,NO,ADJ-7301,Thomas Reed,SUP-105,No,No,36.789823,-78.954553,Medium,Mobile App,Phone Call,No,,No,PAY-F184A2160A,77002a68a0343c00,0.09,0.42,0,No,No,No,,No,No,No
CLM-918777,Claim,CLM-918777,918777,2/12/2015,2/12/2015,2/12/2015,,4,76,4,,Multi-vehicle Collision,Rear Collision,Total Loss,VA,Northbrook,3653 Elm Drive,9,Rush Hour,Wednesday,Snow,Dry,Unknown,Unknown,3,Unknown,Ford,2002.0,Chevrolet,Tahoe,2003,?,0,1,0,No,Yes,No,Yes,40160,5020,0,35140,5271.0,719.66,16999.88,Direct Deposit,49586.7,Under Investigation,YES,POLICE INCIDENT,YES,1,YES,STRONG,Yes,Unknown,No,No,Other,N,,No,Pending,Yes,Multiple vehicles involved; Independent witnesses available; Police report available for cross-reference,60,INTERSECTION_LIABILITY,INTERSECTION_LIABILITY,VIABLE_RECOVERY_CASE,0.85,71,15,14,20,22,54,"Incident on 2/12/2015 in Northbrook, VA.
Type: Multi-vehicle Collision | Collision: Rear Collision
Severity: Total Loss | Vehicles: 3
Witnesses: 1 | Police Report: YES
Total Claim: $40160",P2,OPEN_SUBROGATION_FILE,Refer to Subrogation Specialist for Evidence Review,20080.0,0.5,HIGH,YES,ADJ-6871,Sandra Bell,SUP-306,Yes,No,36.316264,-78.286789,Low,Mobile App,Unknown,No,,No,PAY-EBFF13096B,d5a38b3f1f4ffb0b,0.35,0.42,3,No,No,No,,No,No,No
CLM-212580,Claim,CLM-212580,212580,2/5/2015,2/5/2015,2/5/2015,,0,163,0,246.0,Multi-vehicle Collision,Side Collision,Total Loss,NC,Columbus,5812 3rd Hwy,17,Rush Hour,Monday,Wind,Wet,65,Unknown,2,Unknown,Chevrolet,,Saab,95,2006,YES,2,3,0,Yes,Yes,No,Yes,55680,6960,6960,41760,6264.0,0.0,24091.14,Direct Deposit,65542.81,Closed - Paid,NO,NO_POLICE_REPOR,NO,3,YES,VERY_STRONG,No,No,No,No,Fire,N,,No,Pending,Yes,Multiple vehicles involved; Property damage reported; Independent witnesses available,90,TRAFFIC_SIGNAL_VIOLATION,TRAFFIC_SIGNAL_VIOLATION|CONTRACTOR_NEGLIGENCE,STRONG_RECOVERY_CASE,0.94,87,15,22,25,25,81,"Incident on 2/5/2015 in Columbus, NC.
Type: Multi-vehicle Collision | Collision: Side Collision
Severity: Total Loss | Vehicles: 2
Witnesses: 3 | Police Report: NO
Total Claim: $55680",P1,ESCALATE_TO_SUBROGATION_COUNSEL,Refer to Subrogation Specialist for Evidence Review,41760.0,0.75,HIGH,YES,ADJ-8180,Sandra Bell,SUP-312,No,No,36.668826,-80.181981,High,Mobile App,Tablet,No,,No,PAY-1979E0BF92,a50cfe474b528e72,0.18,0.35,3,No,No,Yes,High Value >$50K|Injury No Police Report,No,No,No
CLM-602410,Claim,CLM-602410,602410,1/24/2015,1/24/2015,1/24/2015,16/9/2015,0,255,4,126.0,Vehicle Theft,?,Trivial Damage,WV,Springfield,4939 Best St,3,Night,Sunday,Fog,Unknown,15,Low,1,Shared Fault,Toyota,2015.0,Jeep,Grand Cherokee,2001,?,1,1,0,No,Yes,Yes,No,5300,530,530,4240,0.0,0.0,233.83,Pending,6565.16,Open,NO,NO_POLICE_REPOR,NO,1,YES,MODERATE,No,No,No,No,Police,Y,Soft Tissue Only|High Value,Yes,Cleared,Yes,Independent witnesses available,40,NO_PATTERN_DETECTED,NO_PATTERN_DETECTED,LOW_RECOVERY_POTENTIAL,0.7,39,5,5,10,19,36,"Incident on 1/24/2015 in Springfield, WV.
Type: Vehicle Theft | Collision: ?
Severity: Trivial Damage | Vehicles: 1
Witnesses: 1 | Police Report: NO
Total Claim: $5300",P4,CLOSE_NO_RECOVERY,Secondary Liability Review Required,265.0,0.05,HIGH,NO,ADJ-9939,Kevin Wu,SUP-315,No,No,38.567767,-80.1158,Low,Walk-In,Mobile,No,RING-012,Yes,PAY-7575EC2629,2a9896887cf5fe19,0.99,0.61,5,No,Yes,Yes,Fraud Ring Cluster,No,No,No
CLM-976971,Claim,CLM-976971,976971,1/12/2015,1/12/2015,1/12/2015,22/1/2015,6,290,4,263.0,Parked Car,?,Trivial Damage,WV,Arlington,4964 Elm Lane,6,Daytime,Tuesday,Fog,Icy,55,High,1,Insured,Chevrolet,2011.0,Accura,MDX,2006,YES,0,3,0,No,Yes,Unknown,No,5200,650,650,3900,0.0,715.48,1861.0,EFT,5235.86,Closed - Paid,?,AUTHORITIES_NOT,NO,3,YES,VERY_STRONG,No,No,No,No,,N,,No,Pending,Yes,Property damage reported; Independent witnesses available,40,CONTRACTOR_NEGLIGENCE,CONTRACTOR_NEGLIGENCE,VIABLE_RECOVERY_CASE,0.82,64,15,20,10,19,36,"Incident on 1/12/2015 in Arlington, WV.
Type: Parked Car | Collision: ?
Severity: Trivial Damage | Vehicles: 1
Witnesses: 3 | Police Report: ?
Total Claim: $5200",P2,OPEN_SUBROGATION_FILE,Secondary Liability Review Required,2600.0,0.5,HIGH,NO,ADJ-5177,Thomas Reed,SUP-138,No,No,38.774229,-79.941254,High,Web Portal,Unknown,No,,No,PAY-D4C2C98DB3,f3333ce656409143,0.27,0.25,1,No,No,No,,No,No,No
CLM-630226,Claim,CLM-630226,630226,1/16/2015,1/16/2015,1/16/2015,25/2/2015,2,303,3,60.0,Single Vehicle Collision,Front Collision,Major Damage,NY,Riverwood,9588 Solo St,17,Rush Hour,Tuesday,Fog,Unknown,35,Moderate,1,Unknown,Chevrolet,,Honda,Civic,2014,YES,2,1,0,No,Yes,Yes,Yes,59400,5940,11880,41580,0.0,0.0,21818.02,Check,64960.4,Closed - Paid,NO,NO_POLICE_REPOR,NO,1,YES,MODERATE,No,Yes,No,No,Ambulance,N,,No,Pending,Yes,Property damage reported; Independent witnesses available,60,CONTRACTOR_NEGLIGENCE,CONTRACTOR_NEGLIGENCE|HIT_AND_RUN_RECOVERY,VIABLE_RECOVERY_CASE,0.89,77,10,20,25,22,54,"Incident on 1/16/2015 in Riverwood, NY.
Type: Single Vehicle Collision | Collision: Front Collision
Severity: Major Damage | Vehicles: 1
Witnesses: 1 | Police Report: NO
Total Claim: $59400",P2,OPEN_SUBROGATION_FILE,Refer to Subrogation Specialist for Evidence Review,29700.0,0.5,HIGH,NO,ADJ-6483,Sandra Bell,SUP-741,No,No,44.01908,-75.250013,Medium,Third Party,Mobile,No,,No,PAY-6ED27B5243,1686b9f5507efd49,0.27,0.48,0,No,No,Yes,High Value >$50K,No,No,No
CLM-171254,Claim,CLM-171254,171254,1/13/2015,1/13/2015,1/13/2015,18/10/2015,0,297,2,,Vehicle Theft,?,Minor Damage,SC,Arlington,8718 Apache Lane,7,Rush Hour,Sunday,Fog,Under Construction,Unknown,Low,1,Shared Fault,Unknown,2006.0,BMW,3 Series,1997,?,1,1,0,Yes,Yes,No,Yes,2520,280,280,1960,0.0,0.0,124.32,EFT,2925.89,Open,?,POLICE INCIDENT,YES,1,YES,STRONG,No,No,Yes,No,Police,N,,No,Pending,Yes,Independent witnesses available,40,NO_PATTERN_DETECTED,NO_PATTERN_DETECTED,LOW_RECOVERY_POTENTIAL,0.67,34,5,5,5,19,36,"Incident on 1/13/2015 in Arlington, SC.
Type: Vehicle Theft | Collision: ?
Severity: Minor Damage | Vehicles: 1
Witnesses: 1 | Police Report: ?
Total Claim: $2520",P4,CLOSE_NO_RECOVERY,Secondary Liability Review Required,126.0,0.05,HIGH,NO,ADJ-2775,Sandra Bell,SUP-460,No,No,34.21439,-80.056994,Low,Email,Mobile,No,,No,PAY-897264BB1D,bc58c85e3bfa13de,0.33,0.25,3,No,No,Yes,Injury No Police Report,No,No,No
CLM-247116,Claim,CLM-247116,247116,2/2/2015,2/2/2015,2/2/2015,,7,233,5,292.0,Vehicle Theft,?,Trivial Damage,NY,Hillsdale,3590 Best Hwy,9,Rush Hour,Monday,Wind,Under Construction,45,High,1,Insured,Toyota,2000.0,Suburu,Impreza,2011,NO,2,1,0,No,Yes,No,No,5760,960,960,3840,0.0,0.0,875.7,Check,7309.99,Under Investigation,YES,POLICE INCIDENT,YES,1,YES,STRONG,No,No,No,No,Police,N,,No,Pending,Yes,Independent witnesses available; Police report available for cross-reference,50,NO_PATTERN_DETECTED,NO_PATTERN_DETECTED,INVESTIGATE_FURTHER,0.74,49,15,5,10,19,45,"Incident on 2/2/2015 in Hillsdale, NY.
Type: Vehicle Theft | Collision: ?
Severity: Trivial Damage | Vehicles: 1
Witnesses: 1 | Police Report: YES
Total Claim: $5760",P3,REQUEST_ADDITIONAL_INVESTIGATION,Refer to Subrogation Specialist for Evidence Review,1440.0,0.25,HIGH,NO,ADJ-2222,Kevin Wu,SUP-975,No,No,42.737778,-76.222581,Low,Web Portal,Mobile,No,,No,PAY-55A455E558,479ed55caabe0e8d,0.27,0.21,2,No,No,No,,No,No,No
