:START_ID,:END_ID,:TYPE,role,injury_flag,claim_amount,fraud_reported,filing_channel,weight,connection_strength,first_seen_date,last_seen_date,event_time,interaction_count,shared_count
CUST-OH-6440-9777,CLM-644081,FILED_CLAIM,Primary Claimant,No,46200.0,Y,Agent,0.462,0.4296,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IN-8928-5931,CLM-892874,FILED_CLAIM,Passenger,No,63120.0,Y,Mobile App,0.6312,0.5738,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-OH-5589-5313,CLM-558938,FILED_CLAIM,Named Driver,Yes,52110.0,N,Mobile App,0.5211,0.4399,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IN-2752-4433,CLM-275265,FILED_CLAIM,Primary Claimant,No,77880.0,N,Web,0.7788,0.7148,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-OH-9212-7406,CLM-921202,FILED_CLAIM,Named Driver,Yes,72930.0,N,Mobile App,0.7293,0.7015,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IN-1439-3309,CLM-143972,FILED_CLAIM,Primary Claimant,Yes,60400.0,N,Web,0.604,0.484,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IN-1834-4577,CLM-183430,FILED_CLAIM,Primary Claimant,Yes,47160.0,N,Walk-In,0.4716,0.4533,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IL-4318-6927,CLM-431876,FILED_CLAIM,Policy Holder,Yes,37840.0,N,Call Center,0.3784,0.3556,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IL-2854-7788,CLM-285496,FILED_CLAIM,Primary Claimant,No,71520.0,Y,Mobile App,0.7152,0.6208,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IN-1153-1006,CLM-115399,FILED_CLAIM,Primary Claimant,Yes,98160.0,Y,Call Center,0.9816,0.8158,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IN-7368-9289,CLM-736882,FILED_CLAIM,Primary Claimant,Yes,77880.0,N,Walk-In,0.7788,0.7721,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-OH-6990-2021,CLM-699044,FILED_CLAIM,Primary Claimant,Yes,71500.0,Y,Call Center,0.715,0.6201,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IN-8632-5212,CLM-863236,FILED_CLAIM,Primary Claimant,Yes,9020.0,N,Walk-In,0.0902,0.0738,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IN-6085-4973,CLM-608513,FILED_CLAIM,Primary Claimant,Yes,5720.0,Y,Agent,0.0572,0.0469,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-OH-9140-8310,CLM-914088,FILED_CLAIM,Named Driver,Yes,69840.0,N,Web,0.6984,0.6771,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IL-5967-5051,CLM-596785,FILED_CLAIM,Primary Claimant,Yes,91650.0,N,Call Center,0.9165,0.8439,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IL-9086-1612,CLM-908616,FILED_CLAIM,Primary Claimant,No,75600.0,N,Call Center,0.756,0.7268,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IL-6663-7823,CLM-666333,FILED_CLAIM,Policy Holder,Yes,67140.0,Y,Walk-In,0.6714,0.6351,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IL-3366-4969,CLM-336614,FILED_CLAIM,Primary Claimant,Yes,29790.0,N,Mobile App,0.2979,0.2703,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IL-5848-1441,CLM-584859,FILED_CLAIM,Primary Claimant,Yes,77110.0,N,Walk-In,0.7711,0.767,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IL-9904-8661,CLM-990493,FILED_CLAIM,Policy Holder,No,64800.0,N,Web,0.648,0.5675,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-OH-1298-5883,CLM-129872,FILED_CLAIM,Named Driver,Yes,53100.0,Y,Web,0.531,0.4834,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IL-2001-8912,CLM-200152,FILED_CLAIM,Primary Claimant,Yes,60200.0,Y,Mobile App,0.602,0.5815,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IL-9332-5478,CLM-933293,FILED_CLAIM,Primary Claimant,Yes,5330.0,N,Mobile App,0.0533,0.0492,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IN-4856-5101,CLM-485664,FILED_CLAIM,Named Driver,Yes,62300.0,N,Agent,0.623,0.6058,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IN-9828-7272,CLM-982871,FILED_CLAIM,Passenger,No,60170.0,Y,Walk-In,0.6017,0.5508,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IL-2062-9474,CLM-206213,FILED_CLAIM,Named Driver,Yes,40000.0,N,Call Center,0.4,0.3764,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IN-6163-3369,CLM-616337,FILED_CLAIM,Primary Claimant,Yes,97080.0,Y,Walk-In,0.9708,0.7855,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IL-4489-3523,CLM-448961,FILED_CLAIM,Named Driver,Yes,51660.0,N,Mobile App,0.5166,0.4368,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-OH-7904-1324,CLM-790442,FILED_CLAIM,Passenger,Yes,51120.0,N,Walk-In,0.5112,0.4385,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IL-1088-6374,CLM-108844,FILED_CLAIM,Primary Claimant,No,56400.0,N,Call Center,0.564,0.4602,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IL-4300-5740,CLM-430029,FILED_CLAIM,Policy Holder,Yes,55120.0,N,Walk-In,0.5512,0.4666,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IN-5291-2572,CLM-529112,FILED_CLAIM,Primary Claimant,Yes,77110.0,N,Call Center,0.7711,0.6325,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-OH-9396-4688,CLM-939631,FILED_CLAIM,Policy Holder,Yes,62800.0,Y,Walk-In,0.628,0.5373,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IN-8669-6450,CLM-866931,FILED_CLAIM,Passenger,Yes,7290.0,N,Call Center,0.0729,0.0676,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IL-5820-3991,CLM-582011,FILED_CLAIM,Primary Claimant,No,76600.0,N,Mobile App,0.766,0.6687,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-OH-6911-5096,CLM-691189,FILED_CLAIM,Primary Claimant,No,81800.0,N,Walk-In,0.818,0.715,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IL-5375-7959,CLM-537546,FILED_CLAIM,Primary Claimant,Yes,7260.0,N,Web,0.0726,0.0611,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IN-3949-8643,CLM-394975,FILED_CLAIM,Policy Holder,Yes,4300.0,N,Call Center,0.043,0.0367,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IN-7296-9369,CLM-729634,FILED_CLAIM,Primary Claimant,Yes,70510.0,N,Call Center,0.7051,0.6962,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-OH-2821-6289,CLM-282195,FILED_CLAIM,Primary Claimant,No,2640.0,N,Call Center,0.0264,0.0245,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-OH-4208-3967,CLM-420810,FILED_CLAIM,Primary Claimant,Yes,78900.0,N,Web,0.789,0.7273,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IN-5248-8164,CLM-524836,FILED_CLAIM,Named Driver,Yes,56430.0,N,Walk-In,0.5643,0.4708,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IN-3071-3298,CLM-307195,FILED_CLAIM,Primary Claimant,Yes,2400.0,N,Agent,0.024,0.0227,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IL-6236-2751,CLM-623648,FILED_CLAIM,Primary Claimant,No,65790.0,N,Mobile App,0.6579,0.5478,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-OH-4853-1424,CLM-485372,FILED_CLAIM,Named Driver,Yes,62920.0,N,Web,0.6292,0.5511,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IN-5985-4615,CLM-598554,FILED_CLAIM,Primary Claimant,Yes,69480.0,Y,Agent,0.6948,0.6933,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IL-3039-4475,CLM-303987,FILED_CLAIM,Primary Claimant,No,44280.0,N,Mobile App,0.4428,0.4109,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IL-3431-7644,CLM-343161,FILED_CLAIM,Policy Holder,No,56300.0,N,Call Center,0.563,0.5131,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-OH-5193-9664,CLM-519312,FILED_CLAIM,Primary Claimant,Yes,68520.0,Y,Walk-In,0.6852,0.642,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-OH-1329-5374,CLM-132902,FILED_CLAIM,Primary Claimant,No,59130.0,Y,Walk-In,0.5913,0.5727,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IN-3328-7266,CLM-332867,FILED_CLAIM,Policy Holder,Yes,82320.0,Y,Call Center,0.8232,0.7863,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IN-3565-8194,CLM-356590,FILED_CLAIM,Policy Holder,No,89700.0,Y,Agent,0.897,0.7587,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-OH-3460-7641,CLM-346002,FILED_CLAIM,Policy Holder,Yes,33930.0,N,Walk-In,0.3393,0.2736,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-OH-5005-4829,CLM-500533,FILED_CLAIM,Primary Claimant,No,68530.0,N,Walk-In,0.6853,0.5915,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IN-3482-6556,CLM-348209,FILED_CLAIM,Primary Claimant,No,4300.0,N,Call Center,0.043,0.0367,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-OH-4866-3937,CLM-486676,FILED_CLAIM,Passenger,Yes,68310.0,Y,Walk-In,0.6831,0.5753,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-OH-2608-6592,CLM-260845,FILED_CLAIM,Named Driver,No,61290.0,Y,Walk-In,0.6129,0.6059,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-OH-6570-2676,CLM-657045,FILED_CLAIM,Primary Claimant,Yes,30100.0,N,Web,0.301,0.2936,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IN-7611-8161,CLM-761189,FILED_CLAIM,Policy Holder,Yes,57120.0,N,Walk-In,0.5712,0.4929,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IL-1751-5546,CLM-175177,FILED_CLAIM,Primary Claimant,Yes,42930.0,N,Walk-In,0.4293,0.3997,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-OH-1167-2873,CLM-116700,FILED_CLAIM,Primary Claimant,Yes,51210.0,N,Mobile App,0.5121,0.4502,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-OH-1662-4622,CLM-166264,FILED_CLAIM,Policy Holder,Yes,89400.0,N,Web,0.894,0.8787,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IN-5279-8678,CLM-527945,FILED_CLAIM,Policy Holder,No,59730.0,N,Agent,0.5973,0.5327,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-OH-6275-5951,CLM-627540,FILED_CLAIM,Primary Claimant,Yes,8060.0,N,Web,0.0806,0.0687,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-OH-2794-4772,CLM-279422,FILED_CLAIM,Primary Claimant,Yes,72200.0,Y,Agent,0.722,0.6132,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-OH-4842-1374,CLM-484200,FILED_CLAIM,Policy Holder,Yes,50800.0,N,Mobile App,0.508,0.4634,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-OH-6452-8839,CLM-645258,FILED_CLAIM,Primary Claimant,Yes,6600.0,N,Walk-In,0.066,0.0563,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IL-6946-4532,CLM-694662,FILED_CLAIM,Primary Claimant,Yes,7500.0,N,Mobile App,0.075,0.0688,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IN-9606-1450,CLM-960680,FILED_CLAIM,Primary Claimant,No,6490.0,N,Agent,0.0649,0.0636,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IN-4981-8685,CLM-498140,FILED_CLAIM,Primary Claimant,Yes,60940.0,Y,Agent,0.6094,0.5362,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-OH-4988-3583,CLM-498875,FILED_CLAIM,Named Driver,No,58300.0,N,Call Center,0.583,0.492,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IL-7981-9969,CLM-798177,FILED_CLAIM,Named Driver,Yes,68400.0,N,Agent,0.684,0.6837,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IL-6147-2766,CLM-614763,FILED_CLAIM,Named Driver,Yes,64240.0,N,Mobile App,0.6424,0.5794,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IL-6793-6557,CLM-679370,FILED_CLAIM,Primary Claimant,No,4700.0,N,Web,0.047,0.0385,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IN-9588-4189,CLM-958857,FILED_CLAIM,Primary Claimant,Yes,45120.0,Y,Agent,0.4512,0.3652,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-OH-6868-3386,CLM-686816,FILED_CLAIM,Primary Claimant,Yes,66950.0,N,Mobile App,0.6695,0.5503,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IL-1277-4693,CLM-127754,FILED_CLAIM,Policy Holder,No,98340.0,Y,Walk-In,0.9834,0.9101,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IL-9186-1951,CLM-918629,FILED_CLAIM,Named Driver,No,5900.0,N,Mobile App,0.059,0.0565,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IN-7314-4674,CLM-731450,FILED_CLAIM,Primary Claimant,Yes,70680.0,N,Walk-In,0.7068,0.6251,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IL-3074-5686,CLM-307447,FILED_CLAIM,Primary Claimant,Yes,93720.0,N,Web,0.9372,0.7617,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IL-9921-7231,CLM-992145,FILED_CLAIM,Primary Claimant,Yes,6930.0,N,Call Center,0.0693,0.0607,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IN-9006-4322,CLM-900628,FILED_CLAIM,Primary Claimant,No,72930.0,Y,Call Center,0.7293,0.7287,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IL-2352-1183,CLM-235220,FILED_CLAIM,Primary Claimant,Yes,64890.0,Y,Agent,0.6489,0.5878,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-OH-7400-1200,CLM-740019,FILED_CLAIM,Named Driver,Yes,5400.0,N,Agent,0.054,0.0537,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IL-2468-5826,CLM-246882,FILED_CLAIM,Primary Claimant,No,5600.0,N,Mobile App,0.056,0.0544,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IN-7976-7625,CLM-797613,FILED_CLAIM,Passenger,No,79300.0,N,Web,0.793,0.6362,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IL-1934-6454,CLM-193442,FILED_CLAIM,Primary Claimant,Yes,52800.0,N,Agent,0.528,0.4985,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IL-3892-9642,CLM-389238,FILED_CLAIM,Primary Claimant,Yes,28800.0,N,Web,0.288,0.2697,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-OH-7601-9667,CLM-760179,FILED_CLAIM,Policy Holder,Yes,2970.0,N,Call Center,0.0297,0.0269,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-OH-9399-4419,CLM-939905,FILED_CLAIM,Primary Claimant,No,93480.0,N,Web,0.9348,0.7977,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IL-8728-8487,CLM-872814,FILED_CLAIM,Primary Claimant,Yes,4320.0,N,Agent,0.0432,0.0401,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-OH-6326-4983,CLM-632627,FILED_CLAIM,Primary Claimant,No,79800.0,Y,Mobile App,0.798,0.6562,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IN-2834-6343,CLM-283414,FILED_CLAIM,Primary Claimant,Yes,74200.0,N,Walk-In,0.742,0.6581,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IL-1631-1570,CLM-163161,FILED_CLAIM,Primary Claimant,No,70590.0,Y,Walk-In,0.7059,0.6288,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IN-8533-8794,CLM-853360,FILED_CLAIM,Primary Claimant,No,60940.0,Y,Mobile App,0.6094,0.6038,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-OH-7768-6927,CLM-776860,FILED_CLAIM,Primary Claimant,Yes,74700.0,N,Call Center,0.747,0.7285,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IN-1493-1648,CLM-149367,FILED_CLAIM,Named Driver,No,70000.0,Y,Walk-In,0.7,0.5969,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IL-3952-5034,CLM-395269,FILED_CLAIM,Primary Claimant,Yes,81070.0,N,Agent,0.8107,0.7297,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IN-9811-9165,CLM-981123,FILED_CLAIM,Primary Claimant,Yes,57720.0,N,Call Center,0.5772,0.4824,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-OH-1436-3428,CLM-143626,FILED_CLAIM,Primary Claimant,Yes,7080.0,N,Agent,0.0708,0.0696,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IN-6483-1723,CLM-648397,FILED_CLAIM,Named Driver,No,47700.0,Y,Walk-In,0.477,0.4646,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IL-1549-9239,CLM-154982,FILED_CLAIM,Primary Claimant,No,51260.0,N,Web,0.5126,0.4407,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-OH-3305-9127,CLM-330591,FILED_CLAIM,Primary Claimant,Yes,70400.0,Y,Walk-In,0.704,0.6532,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IL-3192-2977,CLM-319232,FILED_CLAIM,Primary Claimant,Yes,90000.0,N,Mobile App,0.9,0.8296,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-OH-5316-5072,CLM-531640,FILED_CLAIM,Primary Claimant,No,72820.0,N,Walk-In,0.7282,0.6048,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IL-3680-7987,CLM-368050,FILED_CLAIM,Primary Claimant,Yes,69300.0,N,Call Center,0.693,0.6601,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IL-2537-9894,CLM-253791,FILED_CLAIM,Named Driver,Yes,76560.0,Y,Mobile App,0.7656,0.6951,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IL-1557-9208,CLM-155724,FILED_CLAIM,Policy Holder,No,55440.0,Y,Call Center,0.5544,0.5299,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-OH-8245-9757,CLM-824540,FILED_CLAIM,Primary Claimant,Yes,77130.0,N,Walk-In,0.7713,0.6989,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IL-7173-3330,CLM-717392,FILED_CLAIM,Primary Claimant,Yes,42000.0,N,Mobile App,0.42,0.336,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IN-9657-2391,CLM-965768,FILED_CLAIM,Primary Claimant,Yes,36300.0,N,Call Center,0.363,0.3139,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IL-4147-7746,CLM-414779,FILED_CLAIM,Named Driver,No,40320.0,N,Walk-In,0.4032,0.3241,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IN-4282-1399,CLM-428230,FILED_CLAIM,Policy Holder,Yes,3960.0,N,Web,0.0396,0.039,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-OH-5172-4318,CLM-517240,FILED_CLAIM,Primary Claimant,No,63840.0,Y,Web,0.6384,0.6229,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IL-4698-6679,CLM-469874,FILED_CLAIM,Primary Claimant,Yes,44730.0,Y,Call Center,0.4473,0.4322,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IN-7184-3887,CLM-718428,FILED_CLAIM,Primary Claimant,Yes,84720.0,N,Agent,0.8472,0.7299,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IN-6202-9905,CLM-620215,FILED_CLAIM,Named Driver,Yes,61500.0,N,Mobile App,0.615,0.4991,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-OH-6186-5385,CLM-618659,FILED_CLAIM,Primary Claimant,No,51000.0,N,Mobile App,0.51,0.4976,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IL-6490-3487,CLM-649082,FILED_CLAIM,Named Driver,Yes,46800.0,N,Walk-In,0.468,0.463,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-OH-4375-7738,CLM-437573,FILED_CLAIM,Passenger,Yes,78120.0,N,Web,0.7812,0.6383,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IN-9646-7635,CLM-964657,FILED_CLAIM,Named Driver,Yes,69200.0,Y,Call Center,0.692,0.6209,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IL-9325-3204,CLM-932502,FILED_CLAIM,Primary Claimant,No,3690.0,N,Web,0.0369,0.03,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IL-4345-5887,CLM-434507,FILED_CLAIM,Primary Claimant,No,65500.0,N,Call Center,0.655,0.6236,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IL-9352-9121,CLM-935277,FILED_CLAIM,Primary Claimant,Yes,76120.0,N,Mobile App,0.7612,0.7256,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IL-7560-7397,CLM-756054,FILED_CLAIM,Policy Holder,No,73560.0,N,Walk-In,0.7356,0.6074,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-OH-6823-4130,CLM-682387,FILED_CLAIM,Primary Claimant,No,52030.0,N,Call Center,0.5203,0.4657,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IL-4566-4686,CLM-456604,FILED_CLAIM,Primary Claimant,Yes,5170.0,N,Walk-In,0.0517,0.047,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IN-1398-1214,CLM-139872,FILED_CLAIM,Policy Holder,Yes,8190.0,N,Agent,0.0819,0.0699,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IN-3541-5097,CLM-354105,FILED_CLAIM,Passenger,Yes,70800.0,Y,Call Center,0.708,0.6899,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IL-1654-7467,CLM-165485,FILED_CLAIM,Named Driver,No,45630.0,N,Mobile App,0.4563,0.4037,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-OH-5150-6951,CLM-515050,FILED_CLAIM,Named Driver,Yes,99320.0,Y,Agent,0.9932,0.8366,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IL-7956-8117,CLM-795686,FILED_CLAIM,Named Driver,Yes,64000.0,Y,Agent,0.64,0.581,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-OH-3959-6040,CLM-395983,FILED_CLAIM,Policy Holder,Yes,47300.0,N,Web,0.473,0.4475,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IL-1195-1770,CLM-119513,FILED_CLAIM,Primary Claimant,Yes,71680.0,Y,Mobile App,0.7168,0.6023,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-OH-2179-6522,CLM-217938,FILED_CLAIM,Primary Claimant,Yes,112320.0,Y,Web,1.0,0.8623,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-OH-2039-1397,CLM-203914,FILED_CLAIM,Primary Claimant,Yes,82720.0,N,Web,0.8272,0.8264,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IL-5651-3292,CLM-565157,FILED_CLAIM,Primary Claimant,Yes,48060.0,N,Mobile App,0.4806,0.4469,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IN-9041-7071,CLM-904191,FILED_CLAIM,Passenger,Yes,63570.0,Y,Mobile App,0.6357,0.5643,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-OH-4195-3121,CLM-419510,FILED_CLAIM,Named Driver,Yes,63240.0,N,Agent,0.6324,0.5714,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-OH-5750-2758,CLM-575000,FILED_CLAIM,Primary Claimant,Yes,54240.0,Y,Call Center,0.5424,0.447,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-OH-1204-2516,CLM-120485,FILED_CLAIM,Primary Claimant,Yes,37280.0,Y,Walk-In,0.3728,0.315,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-OH-7811-7991,CLM-781181,FILED_CLAIM,Named Driver,Yes,72100.0,N,Walk-In,0.721,0.6256,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IN-2997-6634,CLM-299796,FILED_CLAIM,Named Driver,Yes,6500.0,N,Mobile App,0.065,0.0596,01/01/2015,01/01/2015,01/01/2015,1,1
