:ID,:LABEL,policy_number,policy_bind_date,policy_expiry_date,policy_state,policy_status,coverage_csl,bodily_injury_limit,property_damage_limit,deductible_amount,annual_premium,monthly_premium,payment_frequency,total_paid_to_date,umbrella_coverage,umbrella_limit,uninsured_motorist_coverage,medical_payments_coverage,collision_coverage,comprehensive_coverage,endorsements,endorsement_count,multi_policy_discount,safe_driver_discount,loyalty_discount,total_discount_pct,prior_policy_carrier,policy_source_channel,renewal_count,cancellation_reason,last_reviewed_date,underwriter_id,territory_code,rated_drivers_count,rated_vehicles_count
POL-543610,Policy,543610,5/26/2002,5/26/2003,OH,Active,100/300,100K,300K,500,1253.12,104.43,Monthly,24561.15,Yes,4000000,Yes,No,No,Yes,Custom Parts|Rideshare Coverage|Roadside Assistance,3,Yes,No,Yes,0.6,State Farm,Agent,18,N/A,10/01/2015,UW-1874,TER-OH-44,2,1
POL-214618,Policy,214618,5/29/1999,5/29/2000,OH,Active,100/300,100K,300K,2000,1137.16,94.76,Semi-Annual,42302.35,No,0,Yes,Yes,Yes,Yes,Custom Parts,1,Yes,Yes,Yes,9.2,State Farm,Agent,36,N/A,23/01/2015,UW-3159,TER-OH-31,2,1
POL-842643,Policy,842643,11/20/1997,11/20/1998,OH,Active,500/1000,500K,1000K,500,1215.36,101.28,Quarterly,6076.8,Yes,3000000,Yes,Yes,No,Yes,Rental Reimbursement,1,Yes,No,No,16.2,Progressive,Phone,4,N/A,11/01/2015,UW-2883,TER-OH-82,2,1
POL-626808,Policy,626808,10/26/2012,10/26/2013,OH,Active,100/300,100K,300K,1000,936.61,78.05,Annual,9459.76,No,0,Yes,Yes,No,Yes,None,0,No,No,Yes,8.8,Allstate,Phone,9,N/A,19/01/2015,UW-4380,TER-OH-55,3,1
POL-644081,Policy,644081,12/28/1998,12/28/1999,OH,Active,250/500,250K,500K,2000,1301.13,108.43,Semi-Annual,19516.95,No,0,Yes,Yes,Yes,No,Rental Reimbursement|Gap Coverage,2,No,Yes,Yes,18.1,State Farm,Agent,14,N/A,13/01/2015,UW-3970,TER-OH-22,1,1
POL-892874,Policy,892874,10/19/1992,10/19/1993,IN,Active,100/300,100K,300K,2000,1131.4,94.28,Annual,44577.16,No,0,Yes,No,Yes,No,Custom Parts|Roadside Assistance,2,No,No,Yes,8.3,None - First Policy,Agent,38,N/A,11/01/2015,UW-4271,TER-IN-56,3,1
POL-558938,Policy,558938,6/8/2005,6/8/2006,OH,Active,500/1000,500K,1000K,1000,1199.44,99.95,Monthly,6956.75,Yes,5000000,No,No,No,Yes,New Car Replacement|Gap Coverage|Custom Parts,3,No,No,Yes,11.3,Progressive,Online,4,N/A,12/01/2015,UW-6258,TER-OH-48,1,1
POL-275265,Policy,275265,11/15/2004,11/15/2005,IN,Active,500/1000,500K,1000K,500,708.64,59.05,Monthly,8291.09,Yes,6000000,Yes,Yes,Yes,No,Gap Coverage|Roadside Assistance|Rideshare Coverage,3,No,No,Yes,15.1,State Farm,Agent,10,N/A,21/01/2015,UW-1275,TER-IN-63,1,1
POL-921202,Policy,921202,12/28/2014,12/28/2015,OH,Active,500/1000,500K,1000K,500,1374.22,114.52,Monthly,18277.13,No,0,Yes,Yes,Yes,Yes,Rental Reimbursement|New Car Replacement,2,No,No,Yes,6.5,Progressive,Phone,12,N/A,1/01/2015,UW-9327,TER-OH-40,2,1
POL-143972,Policy,143972,8/2/1992,8/2/1993,IN,Active,500/1000,500K,1000K,2000,1475.73,122.98,Annual,24054.4,No,0,No,No,Yes,Yes,Gap Coverage,1,No,Yes,Yes,11.3,Nationwide,Online,15,N/A,8/01/2015,UW-4047,TER-IN-47,2,1
POL-183430,Policy,183430,6/25/2002,6/25/2003,IN,Active,250/500,250K,500K,1000,1187.96,99.0,Semi-Annual,45498.87,Yes,4000000,Yes,Yes,Yes,Yes,Roadside Assistance,1,No,No,Yes,9.3,None - First Policy,Agent,37,N/A,6/01/2015,UW-3650,TER-IN-49,1,1
POL-431876,Policy,431876,11/27/2005,11/27/2006,IL,Active,500/1000,500K,1000K,2000,875.15,72.93,Quarterly,15840.22,No,0,No,Yes,Yes,Yes,Rental Reimbursement,1,No,Yes,Yes,5.4,Nationwide,Online,17,N/A,26/01/2015,UW-8085,TER-IL-75,1,1
POL-285496,Policy,285496,5/27/1994,5/27/1995,IL,Active,100/300,100K,300K,2000,972.18,81.02,Quarterly,29943.14,No,0,Yes,No,Yes,Yes,Custom Parts|Rideshare Coverage,2,No,Yes,Yes,16.8,Progressive,Agent,29,N/A,13/01/2015,UW-1679,TER-IL-84,1,1
POL-115399,Policy,115399,2/8/1991,2/8/1992,IN,Active,100/300,100K,300K,2000,1268.79,105.73,Annual,43646.38,No,0,Yes,Yes,No,Yes,None,0,Yes,Yes,Yes,7.0,Nationwide,Agent,33,N/A,21/01/2015,UW-2347,TER-IN-96,2,1
POL-736882,Policy,736882,2/2/1996,2/2/1997,IN,Active,100/300,100K,300K,1000,883.31,73.61,Annual,17489.54,No,0,No,Yes,Yes,Yes,None,0,No,Yes,Yes,17.0,State Farm,Referral,18,N/A,11/01/2015,UW-4239,TER-IN-50,2,1
POL-699044,Policy,699044,12/5/2013,12/5/2014,OH,Cancelled,100/300,100K,300K,2000,1266.92,105.58,Quarterly,886.84,No,0,No,No,Yes,Yes,Custom Parts|Roadside Assistance,2,No,No,No,12.6,None - First Policy,Phone,0,N/A,23/01/2015,UW-9399,TER-OH-95,1,1
POL-863236,Policy,863236,9/20/1990,9/20/1991,IN,Active,100/300,100K,300K,2000,1322.1,110.17,Semi-Annual,28292.94,No,0,No,No,Yes,Yes,Roadside Assistance|Gap Coverage,2,Yes,No,Yes,1.6,None - First Policy,Phone,20,N/A,28/01/2015,UW-3276,TER-IN-24,2,1
POL-608513,Policy,608513,7/18/2002,7/18/2003,IN,Active,100/300,100K,300K,500,848.07,70.67,Annual,14247.58,Yes,3000000,Yes,No,No,Yes,None,0,No,Yes,Yes,1.0,Progressive,Agent,15,N/A,7/01/2015,UW-1404,TER-IN-63,1,1
POL-914088,Policy,914088,2/8/1990,2/8/1991,OH,Active,100/300,100K,300K,2000,1291.7,107.64,Monthly,24154.79,No,0,No,Yes,Yes,Yes,Rental Reimbursement,1,No,Yes,Yes,23.5,Allstate,Phone,17,N/A,8/01/2015,UW-4161,TER-OH-14,1,1
POL-596785,Policy,596785,3/4/2014,3/4/2015,IL,Lapsed,500/1000,500K,1000K,2000,1104.5,92.04,Monthly,22200.45,No,0,No,No,Yes,Yes,New Car Replacement|Rental Reimbursement,2,No,Yes,Yes,20.6,Nationwide,Agent,19,N/A,26/01/2015,UW-8902,TER-IL-11,1,1
POL-908616,Policy,908616,2/18/2000,2/18/2001,IL,Active,250/500,250K,500K,1000,954.16,79.51,Annual,5057.05,No,0,No,No,Yes,Yes,Rideshare Coverage|Rental Reimbursement,2,No,No,Yes,2.8,Nationwide,Agent,4,N/A,4/01/2015,UW-5925,TER-IL-13,1,1
POL-666333,Policy,666333,6/19/2008,6/19/2009,IL,Lapsed,100/300,100K,300K,2000,1337.28,111.44,Semi-Annual,18454.46,Yes,8000000,Yes,No,No,No,Rideshare Coverage|Roadside Assistance|Gap Coverage,3,Yes,No,Yes,4.9,None - First Policy,Agent,12,N/A,12/01/2015,UW-2953,TER-IL-85,1,1
POL-336614,Policy,336614,8/1/2003,8/1/2004,IL,Active,500/1000,500K,1000K,1000,1088.34,90.69,Monthly,14039.59,No,0,Yes,Yes,Yes,No,Gap Coverage,1,No,Yes,Yes,20.6,Allstate,Phone,11,N/A,9/01/2015,UW-3179,TER-IL-93,2,1
POL-584859,Policy,584859,4/4/1992,4/4/1993,IL,Lapsed,100/300,100K,300K,1000,1558.29,129.86,Semi-Annual,14803.75,No,0,Yes,No,Yes,Yes,Custom Parts|Gap Coverage|Rideshare Coverage,3,No,Yes,Yes,1.7,State Farm,Phone,8,N/A,21/01/2015,UW-6498,TER-IL-91,2,1
POL-990493,Policy,990493,1/13/1991,1/13/1992,IL,Active,500/1000,500K,1000K,500,1415.68,117.97,Monthly,17554.43,No,0,Yes,Yes,Yes,Yes,Roadside Assistance|Rental Reimbursement|Rideshare Coverage,3,No,No,Yes,24.8,State Farm,Online,11,N/A,28/01/2015,UW-5343,TER-IL-10,1,1
POL-129872,Policy,129872,8/8/2010,8/8/2011,OH,Cancelled,100/300,100K,300K,1000,1334.15,111.18,Semi-Annual,16276.63,Yes,6000000,Yes,No,No,No,New Car Replacement|Rideshare Coverage,2,No,No,Yes,5.2,Progressive,Agent,11,N/A,6/01/2015,UW-5395,TER-OH-26,2,1
POL-200152,Policy,200152,3/9/2003,3/9/2004,IL,Pending Renewal,100/300,100K,300K,1000,988.45,82.37,Annual,5139.94,No,0,No,Yes,Yes,No,Rideshare Coverage|Gap Coverage,2,No,No,Yes,0.2,None - First Policy,Phone,4,N/A,28/01/2015,UW-8235,TER-IL-94,3,1
POL-933293,Policy,933293,2/3/1993,2/3/1994,IL,Active,500/1000,500K,1000K,2000,1222.48,101.87,Semi-Annual,29461.77,No,0,Yes,No,No,Yes,None,0,No,No,Yes,10.7,State Farm,Agent,23,N/A,3/01/2015,UW-1415,TER-IL-16,2,1
POL-485664,Policy,485664,11/25/2002,11/25/2003,IN,Suspended,500/1000,500K,1000K,2000,1155.55,96.3,Semi-Annual,41484.24,No,0,No,Yes,Yes,Yes,Rental Reimbursement,1,No,Yes,Yes,18.2,None - First Policy,Online,34,N/A,23/01/2015,UW-2050,TER-IN-51,1,1
POL-982871,Policy,982871,7/27/1997,7/27/1998,IN,Active,250/500,250K,500K,500,1262.08,105.17,Annual,20950.53,No,0,Yes,Yes,Yes,Yes,Gap Coverage,1,No,Yes,Yes,12.5,Allstate,Agent,15,N/A,10/01/2015,UW-7324,TER-IN-91,2,1
POL-206213,Policy,206213,5/8/1995,5/8/1996,IL,Active,100/300,100K,300K,500,1451.62,120.97,Annual,9580.69,No,0,Yes,No,Yes,Yes,Custom Parts|Gap Coverage|New Car Replacement,3,No,No,Yes,11.6,Nationwide,Agent,5,N/A,16/01/2015,UW-6453,TER-IL-60,1,1
POL-616337,Policy,616337,8/30/2012,8/30/2013,IN,Active,250/500,250K,500K,500,1737.66,144.81,Semi-Annual,16855.3,No,0,Yes,Yes,Yes,Yes,New Car Replacement|Gap Coverage|Rideshare Coverage,3,No,No,Yes,9.1,Allstate,Phone,8,N/A,28/01/2015,UW-5893,TER-IN-21,1,1
POL-448961,Policy,448961,4/30/2006,4/30/2007,IL,Active,500/1000,500K,1000K,500,1475.93,122.99,Semi-Annual,4575.38,No,0,No,Yes,Yes,Yes,Custom Parts|Rideshare Coverage|Rental Reimbursement,3,Yes,Yes,No,16.1,Nationwide,Agent,2,N/A,6/01/2015,UW-7052,TER-IL-85,2,1
POL-790442,Policy,790442,4/13/2003,4/13/2004,OH,Active,250/500,250K,500K,500,538.17,44.85,Annual,4735.9,No,0,No,Yes,No,Yes,Gap Coverage,1,No,Yes,Yes,24.4,Allstate,Agent,7,N/A,24/01/2015,UW-6646,TER-OH-32,3,1
POL-108844,Policy,108844,12/5/2007,12/5/2008,IL,Active,100/300,100K,300K,2000,1081.08,90.09,Semi-Annual,24216.19,No,0,No,No,Yes,No,Rideshare Coverage,1,No,No,Yes,24.6,Nationwide,Online,21,N/A,7/01/2015,UW-2628,TER-IL-38,1,1
POL-430029,Policy,430029,8/21/2006,8/21/2007,IL,Cancelled,250/500,250K,500K,1000,1454.43,121.2,Annual,32142.9,No,0,Yes,Yes,Yes,Yes,Custom Parts,1,No,No,Yes,12.6,Progressive,Online,21,N/A,5/01/2015,UW-8799,TER-IL-15,3,1
POL-529112,Policy,529112,1/8/1990,1/8/1991,IN,Active,100/300,100K,300K,500,1240.47,103.37,Monthly,16870.39,No,0,Yes,Yes,Yes,No,None,0,Yes,Yes,Yes,0.4,Allstate,Agent,12,N/A,28/01/2015,UW-5029,TER-IN-30,2,1
POL-939631,Policy,939631,3/18/1990,3/18/1991,OH,Cancelled,500/1000,500K,1000K,2000,1273.7,106.14,Quarterly,37701.52,Yes,4000000,Yes,No,Yes,Yes,None,0,No,No,Yes,7.3,State Farm,Online,28,N/A,26/01/2015,UW-4725,TER-OH-77,3,1
POL-866931,Policy,866931,1/7/2008,1/7/2009,IN,Active,500/1000,500K,1000K,1000,1123.87,93.66,Quarterly,16408.5,Yes,8000000,Yes,Yes,No,No,Gap Coverage|Rideshare Coverage,2,No,Yes,Yes,17.9,State Farm,Agent,13,N/A,20/01/2015,UW-8294,TER-IN-40,1,1
POL-582011,Policy,582011,3/10/1997,3/10/1998,IL,Active,100/300,100K,300K,1000,1245.89,103.82,Annual,19934.24,No,0,Yes,No,Yes,No,Custom Parts|Gap Coverage|New Car Replacement,3,Yes,No,Yes,22.3,None - First Policy,Agent,15,N/A,6/01/2015,UW-1760,TER-IL-53,2,1
POL-691189,Policy,691189,1/10/2004,1/10/2005,OH,Active,250/500,250K,500K,2000,1326.62,110.55,Annual,47493.0,Yes,7000000,Yes,Yes,No,Yes,None,0,No,Yes,Yes,2.2,Nationwide,Agent,34,N/A,6/01/2015,UW-1689,TER-OH-21,1,1
POL-537546,Policy,537546,8/20/1994,8/20/1995,IL,Active,100/300,100K,300K,2000,1073.83,89.49,Quarterly,8161.11,No,0,Yes,No,Yes,Yes,None,0,No,No,Yes,8.8,None - First Policy,Agent,6,N/A,19/01/2015,UW-1710,TER-IL-64,2,1
POL-394975,Policy,394975,6/2/2002,6/2/2003,IN,Active,100/300,100K,300K,1000,1530.52,127.54,Annual,27702.41,No,0,Yes,Yes,Yes,No,None,0,No,Yes,Yes,12.6,Nationwide,Phone,17,N/A,26/01/2015,UW-2293,TER-IN-70,2,1
POL-729634,Policy,729634,4/28/1994,4/28/1995,IN,Cancelled,100/300,100K,300K,500,1201.41,100.12,Annual,22346.23,No,0,Yes,Yes,Yes,Yes,Rental Reimbursement|Rideshare Coverage|Custom Parts,3,No,No,Yes,24.6,Progressive,Referral,17,N/A,1/01/2015,UW-2941,TER-IN-24,3,1
POL-282195,Policy,282195,8/17/2014,8/17/2015,OH,Lapsed,250/500,250K,500K,1000,1393.57,116.13,Annual,22575.83,No,0,Yes,No,Yes,Yes,None,0,No,Yes,Yes,8.3,State Farm,Agent,15,N/A,8/01/2015,UW-7989,TER-OH-72,1,1
POL-420810,Policy,420810,8/11/2007,8/11/2008,OH,Active,100/300,100K,300K,1000,1276.57,106.38,Semi-Annual,2297.83,No,0,Yes,Yes,Yes,Yes,Rideshare Coverage|Custom Parts,2,No,No,No,18.6,Progressive,Agent,0,N/A,27/01/2015,UW-5868,TER-OH-18,3,1
POL-524836,Policy,524836,11/20/2008,11/20/2009,IN,Active,250/500,250K,500K,500,1082.49,90.21,Monthly,39619.13,No,0,Yes,No,Yes,Yes,Roadside Assistance|New Car Replacement,2,Yes,Yes,Yes,5.4,Allstate,Phone,35,N/A,2/01/2015,UW-7130,TER-IN-39,1,1
POL-307195,Policy,307195,10/18/1995,10/18/1996,IN,Active,500/1000,500K,1000K,1000,1414.74,117.89,Annual,11034.97,No,0,No,Yes,Yes,Yes,Rideshare Coverage|New Car Replacement|Roadside Assistance,3,No,No,Yes,10.6,Nationwide,Agent,6,N/A,22/01/2015,UW-5048,TER-IN-74,3,1
POL-623648,Policy,623648,5/19/1993,5/19/1994,IL,Pending Renewal,250/500,250K,500K,2000,1470.06,122.5,Semi-Annual,1323.05,No,0,Yes,No,Yes,Yes,Rental Reimbursement,1,Yes,No,No,5.1,None - First Policy,Online,0,N/A,11/01/2015,UW-8113,TER-IL-33,1,1
POL-485372,Policy,485372,2/26/2005,2/26/2006,OH,Cancelled,250/500,250K,500K,2000,870.63,72.55,Quarterly,10969.94,No,0,Yes,Yes,Yes,Yes,New Car Replacement|Rental Reimbursement|Gap Coverage,3,No,No,Yes,9.7,State Farm,Agent,11,N/A,16/01/2015,UW-4935,TER-OH-87,2,1
POL-598554,Policy,598554,2/14/1990,2/14/1991,IN,Active,100/300,100K,300K,500,795.23,66.27,Quarterly,10178.94,No,0,No,No,Yes,Yes,Custom Parts|Rideshare Coverage|New Car Replacement,3,No,No,Yes,19.3,Allstate,Agent,11,N/A,2/01/2015,UW-2209,TER-IN-20,3,1
POL-303987,Policy,303987,9/30/1993,9/30/1994,IL,Pending Renewal,500/1000,500K,1000K,1000,1168.2,97.35,Semi-Annual,23831.28,No,0,Yes,No,Yes,No,New Car Replacement,1,No,Yes,Yes,23.8,State Farm,Agent,19,N/A,8/01/2015,UW-4256,TER-IL-55,3,1
POL-343161,Policy,343161,6/10/2014,6/10/2015,IL,Active,500/1000,500K,1000K,1000,993.51,82.79,Annual,9835.75,No,0,Yes,No,Yes,Yes,Rideshare Coverage|Rental Reimbursement,2,No,Yes,Yes,12.9,Nationwide,Referral,8,N/A,9/01/2015,UW-4062,TER-IL-66,1,1
POL-519312,Policy,519312,10/28/2008,10/28/2009,OH,Active,500/1000,500K,1000K,500,1848.81,154.07,Monthly,33093.7,No,0,Yes,Yes,Yes,Yes,Rideshare Coverage|Roadside Assistance|New Car Replacement,3,Yes,No,Yes,10.2,Allstate,Phone,16,N/A,14/01/2015,UW-4131,TER-OH-72,1,1
POL-132902,Policy,132902,4/24/2007,4/24/2008,OH,Active,250/500,250K,500K,2000,1641.73,136.81,Semi-Annual,40386.56,Yes,5000000,No,No,No,Yes,None,0,Yes,No,Yes,18.8,State Farm,Phone,23,N/A,26/01/2015,UW-5479,TER-OH-58,1,1
POL-332867,Policy,332867,12/13/1993,12/13/1994,IN,Active,100/300,100K,300K,500,1362.87,113.57,Annual,28892.84,No,0,Yes,No,Yes,Yes,Rideshare Coverage,1,No,No,Yes,7.7,Allstate,Agent,20,N/A,5/01/2015,UW-8755,TER-IN-90,3,1
POL-356590,Policy,356590,8/17/2011,8/17/2012,IN,Active,250/500,250K,500K,500,1239.22,103.27,Semi-Annual,11029.06,Yes,7000000,Yes,No,Yes,No,Rental Reimbursement|Gap Coverage|Roadside Assistance,3,No,No,Yes,18.3,Progressive,Phone,7,N/A,15/01/2015,UW-8948,TER-IN-32,3,1
POL-346002,Policy,346002,8/20/1990,8/20/1991,OH,Active,250/500,250K,500K,500,835.02,69.58,Semi-Annual,33233.8,No,0,Yes,Yes,No,Yes,Roadside Assistance|New Car Replacement|Gap Coverage,3,Yes,Yes,Yes,24.1,Allstate,Agent,38,N/A,22/01/2015,UW-8462,TER-OH-20,1,1
POL-500533,Policy,500533,2/11/1994,2/11/1995,OH,Active,100/300,100K,300K,1000,1061.33,88.44,Monthly,11356.23,No,0,No,Yes,Yes,No,Rideshare Coverage,1,No,No,Yes,4.4,Allstate,Phone,9,N/A,21/01/2015,UW-6737,TER-OH-95,1,1
POL-348209,Policy,348209,2/22/1994,2/22/1995,IN,Active,500/1000,500K,1000K,1000,1279.08,106.59,Semi-Annual,36070.06,No,0,Yes,Yes,Yes,Yes,Rideshare Coverage|New Car Replacement,2,No,No,Yes,1.6,Progressive,Online,27,N/A,24/01/2015,UW-9777,TER-IN-41,2,1
POL-486676,Policy,486676,8/15/2011,8/15/2012,OH,Active,100/300,100K,300K,500,1105.49,92.12,Monthly,24984.07,No,0,Yes,Yes,Yes,Yes,Rideshare Coverage,1,No,Yes,Yes,18.2,Nationwide,Agent,21,N/A,2/01/2015,UW-5805,TER-OH-25,1,1
POL-260845,Policy,260845,11/11/1998,11/11/1999,OH,Active,100/300,100K,300K,2000,1055.53,87.96,Semi-Annual,19527.31,No,0,Yes,No,Yes,No,None,0,Yes,No,Yes,11.8,Progressive,Agent,17,N/A,9/01/2015,UW-3127,TER-OH-34,2,1
POL-657045,Policy,657045,12/4/1995,12/4/1996,OH,Active,250/500,250K,500K,1000,895.83,74.65,Quarterly,14870.78,No,0,No,Yes,Yes,Yes,Rental Reimbursement|Gap Coverage|Custom Parts,3,No,No,Yes,12.8,State Farm,Agent,15,N/A,4/01/2015,UW-7241,TER-OH-95,2,1
POL-761189,Policy,761189,12/28/2002,12/28/2003,IN,Active,100/300,100K,300K,500,1632.93,136.08,Quarterly,29229.45,No,0,Yes,No,No,Yes,Roadside Assistance,1,No,Yes,Yes,8.9,Allstate,Online,16,N/A,13/01/2015,UW-2961,TER-IN-77,1,1
POL-175177,Policy,175177,4/15/2004,4/15/2005,IL,Cancelled,100/300,100K,300K,1000,1405.99,117.17,Annual,22495.84,No,0,Yes,Yes,Yes,Yes,Roadside Assistance,1,No,No,Yes,2.5,Nationwide,Referral,15,N/A,24/01/2015,UW-4134,TER-IL-10,1,1
POL-116700,Policy,116700,2/2/2001,2/2/2002,OH,Active,100/300,100K,300K,1000,1425.54,118.8,Monthly,14255.4,No,0,Yes,No,Yes,No,None,0,No,Yes,Yes,13.0,State Farm,Referral,9,N/A,7/01/2015,UW-7140,TER-OH-22,1,1
POL-166264,Policy,166264,1/12/2010,1/12/2011,OH,Active,500/1000,500K,1000K,1000,1038.09,86.51,Annual,23357.02,No,0,Yes,No,Yes,Yes,None,0,No,Yes,Yes,23.7,State Farm,Online,21,N/A,28/01/2015,UW-9196,TER-OH-46,3,1
POL-527945,Policy,527945,4/14/1992,4/14/1993,IN,Active,250/500,250K,500K,500,1307.11,108.93,Annual,34769.13,No,0,Yes,Yes,No,Yes,None,0,No,Yes,Yes,21.0,Progressive,Referral,25,N/A,19/01/2015,UW-1684,TER-IN-28,1,1
POL-627540,Policy,627540,5/21/2010,5/21/2011,OH,Lapsed,500/1000,500K,1000K,1000,1489.24,124.1,Semi-Annual,24125.69,Yes,6000000,Yes,No,Yes,No,Custom Parts|New Car Replacement,2,No,No,Yes,0.9,None - First Policy,Agent,15,N/A,20/01/2015,UW-3924,TER-OH-31,2,1
POL-279422,Policy,279422,10/27/2013,10/27/2014,OH,Active,500/1000,500K,1000K,500,976.67,81.39,Annual,18459.06,No,0,Yes,Yes,Yes,Yes,Custom Parts|Roadside Assistance|Rideshare Coverage,3,Yes,No,Yes,21.5,State Farm,Agent,17,N/A,15/01/2015,UW-3037,TER-OH-38,1,1
POL-484200,Policy,484200,10/12/1994,10/12/1995,OH,Active,250/500,250K,500K,2000,1340.43,111.7,Annual,15280.9,No,0,Yes,No,Yes,Yes,None,0,No,No,Yes,17.0,Allstate,Referral,10,N/A,26/01/2015,UW-8151,TER-OH-59,3,1
POL-645258,Policy,645258,7/4/1997,7/4/1998,OH,Active,500/1000,500K,1000K,2000,1267.81,105.65,Quarterly,25736.54,Yes,5000000,Yes,Yes,Yes,Yes,Gap Coverage,1,Yes,No,Yes,12.5,Allstate,Phone,19,N/A,21/01/2015,UW-4410,TER-OH-48,2,1
POL-694662,Policy,694662,2/15/2011,2/15/2012,IL,Suspended,250/500,250K,500K,1000,1234.2,102.85,Quarterly,8022.3,Yes,6000000,Yes,No,Yes,No,Gap Coverage|Custom Parts,2,Yes,Yes,Yes,18.6,Nationwide,Agent,5,N/A,22/01/2015,UW-4145,TER-IL-28,2,1
POL-960680,Policy,960680,8/21/1994,8/21/1995,IN,Active,250/500,250K,500K,2000,1318.06,109.84,Monthly,22011.6,No,0,Yes,Yes,Yes,Yes,None,0,No,No,Yes,24.2,Allstate,Agent,15,N/A,11/01/2015,UW-7792,TER-IN-32,2,1
POL-498140,Policy,498140,5/15/1997,5/15/1998,IN,Active,500/1000,500K,1000K,2000,769.95,64.16,Quarterly,18247.82,No,0,No,No,Yes,Yes,New Car Replacement|Custom Parts|Roadside Assistance,3,No,No,Yes,14.2,State Farm,Agent,22,N/A,19/01/2015,UW-7189,TER-IN-74,2,1
POL-498875,Policy,498875,10/26/1996,10/26/1997,OH,Active,100/300,100K,300K,2000,1514.72,126.23,Annual,34687.09,No,0,Yes,Yes,Yes,No,Roadside Assistance|Custom Parts|Rideshare Coverage,3,No,Yes,Yes,22.1,State Farm,Agent,21,N/A,28/01/2015,UW-2936,TER-OH-35,1,1
