:ID,:LABEL,vin_number,vehicle_year,vehicle_make,vehicle_model,vehicle_age_years,vehicle_primary_use,garaging_type,estimated_annual_mileage,odometer_estimate,fuel_type,transmission,body_style,color,engine_size_liters,cylinders,horsepower,curb_weight_lbs,seating_capacity,title_status,condition,market_value_usd,purchase_price_usd,purchase_date,purchase_type,financing_type,lien_holder,anti_theft_device,safety_rating_nhtsa,airbags_count,abs_brakes,backup_camera,telematics_device,commercial_use,modified_vehicle,salvage_title_history,last_inspection_date,registration_state,registration_expiry,recalls_open,vin_hash,previous_owners_count,auction_sourced_flag,import_flag,telematics_risk_score,odometer_rollback_flag,total_loss_history_count
VEH-ES2YL18PVG1YVRYKD,Vehicle,ES2YL18PVG1YVRYKD,2002,Ford,F150,13,Personal,Covered Parking Lot,15000,195000,Flex Fuel,Automatic,Hatchback,Brown,2.0,6,135,4739,2,Clean,Fair,6429,53105,7/27/2002,Used,Financed,Bank of America,Yes,5-Star,4,Yes,No,Yes,No,No,No,11/01/2014,OH,12/31/2015,1,7b01da57ba086e75,5,No,No,0.97,No,0
VEH-0G41T1PRVGF2TY4JF,Vehicle,0G41T1PRVGF2TY4JF,2006,Audi,A3,9,Rideshare,Private Garage,18000,162000,Diesel,Manual,SUV,Red,1.8,4,399,4720,4,Clean,Fair,14571,43324,7/9/2006,Used,Financed,Wells Fargo Auto,Yes,5-Star,10,Yes,No,No,No,No,No,4/01/2014,OH,12/31/2015,3,0efd1c0cfa3163b0,5,No,No,0.51,No,0
VEH-K9D9V953D5K5EK13X,Vehicle,K9D9V953D5K5EK13X,2000,Saab,95,15,Business,Storage Unit,7500,112500,Electric,Automatic,Hatchback,Orange,3.5,4,300,4632,4,Salvage,Poor,3403,49829,8/5/2000,Used,Financed,Chase Auto,No,Not Rated,10,Yes,No,No,No,No,No,12/01/2014,OH,12/31/2015,2,cd7e2598cfa842f0,3,No,No,0.11,No,0
VEH-8Y21LVLDDSZ4PDFDW,Vehicle,8Y21LVLDDSZ4PDFDW,2010,Toyota,Highlander,5,Rideshare,Private Garage,7500,37500,Hybrid,Automatic,Minivan,Brown,5.0,6,199,3543,2,Clean,Excellent,21521,49871,4/21/2010,New,Financed,Bank of America,Yes,5-Star,2,No,No,No,No,Yes,No,9/01/2014,OH,12/31/2015,0,4ca4f42fb434cdfe,4,No,No,0.69,No,2
VEH-WV2C9NZHJ2P7HN2BW,Vehicle,WV2C9NZHJ2P7HN2BW,2003,Dodge,Neon,12,Commute,Storage Unit,15000,180000,Gasoline,Automatic,SUV,Gray,2.1,6,122,3672,5,Clean,Excellent,7248,20891,12/20/2003,Used,Leased,,Yes,3-Star,6,Yes,Yes,No,No,No,Yes,2/01/2014,OH,12/31/2015,1,b30905add7da1f56,1,No,No,0.0,No,0
VEH-4CJA7WUBBF9KE8ZR8,Vehicle,4CJA7WUBBF9KE8ZR8,1999,Accura,MDX,16,Pleasure Only,On-Street Parking,7500,120000,Flex Fuel,Automatic,Truck,Silver,4.5,8,314,4000,5,Clean,Fair,1363,23693,9/25/1999,New,Financed,Chase Auto,No,4-Star,6,No,No,Yes,No,No,No,10/01/2014,IN,12/31/2015,0,8f0a9742a071f879,3,No,No,0.82,No,0
VEH-R9X2X64EVTFYP8VGK,Vehicle,R9X2X64EVTFYP8VGK,2012,Nissan,Maxima,3,Business,Storage Unit,12000,36000,Gasoline,Automatic,Minivan,White,4.0,8,260,4743,5,Clean,Excellent,28162,15133,7/16/2012,Certified Pre-Owned,Owned Outright,Bank of America,No,3-Star,8,Yes,No,No,No,No,No,11/01/2014,OH,12/31/2015,3,937e4cee27ebc8d4,3,No,No,0.87,No,0
VEH-6EAFTSS11VB7MFKBP,Vehicle,6EAFTSS11VB7MFKBP,2015,Suburu,Legacy,0,Personal,Storage Unit,5000,0,Flex Fuel,Automatic,Sedan,Orange,2.6,4,103,4915,8,Clean,Excellent,30109,47149,11/27/2015,Used,Financed,Capital One,Yes,Not Rated,8,Yes,Yes,No,No,Yes,No,3/01/2014,IN,12/31/2015,0,5913d69333d09194,2,No,No,0.77,No,0
VEH-USZ4TC2JPGYUNXD64,Vehicle,USZ4TC2JPGYUNXD64,2015,Accura,TL,0,Commute,Storage Unit,12000,0,Gasoline,Automatic,Coupe,Blue,4.8,6,284,4558,2,Clean,Excellent,26798,25208,5/5/2015,New,Owned Outright,,No,4-Star,2,Yes,Yes,No,No,No,No,6/01/2014,OH,12/31/2015,2,0fa1d1c2aba7b345,0,No,No,0.82,No,0
VEH-ZSDUXEA5GU24C02TS,Vehicle,ZSDUXEA5GU24C02TS,2014,Nissan,Pathfinder,1,Commute,Storage Unit,18000,18000,Flex Fuel,Manual,Minivan,White,2.2,6,278,3211,5,Clean,Excellent,27211,35090,10/9/2014,Certified Pre-Owned,Owned Outright,,Yes,Not Rated,4,No,Yes,No,No,No,Yes,11/01/2014,IN,12/31/2015,2,9b2c9d404af4d6e4,5,No,No,0.51,No,0
VEH-R4P1S3W47DSRRPY5L,Vehicle,R4P1S3W47DSRRPY5L,2011,Suburu,Impreza,4,Business,Storage Unit,25000,100000,Electric,Automatic,Truck,White,4.7,8,363,4122,5,Clean,Excellent,20124,30341,8/28/2011,Used,Financed,Chase Auto,No,3-Star,4,Yes,Yes,No,No,No,No,11/01/2014,IN,12/31/2015,3,e57659924e40a8ba,2,No,No,0.2,No,0
VEH-18VW177LGF1VHNT96,Vehicle,18VW177LGF1VHNT96,1996,Accura,RSX,19,Personal,Storage Unit,20000,380000,Diesel,Manual,Minivan,Silver,3.2,4,374,4315,2,Clean,Good,500,26406,8/9/1996,New,Owned Outright,Capital One,Yes,4-Star,2,Yes,No,No,No,No,No,6/01/2014,IL,12/31/2015,0,152359a66f40df36,1,No,Yes,0.55,No,0
VEH-7KACHBDYGZSAZRYE0,Vehicle,7KACHBDYGZSAZRYE0,2000,Suburu,Forrestor,15,Commute,On-Street Parking,25000,375000,Hybrid,Automatic,Sedan,Gold,2.1,4,156,2576,5,Clean,Good,3318,33463,3/26/2000,Used,Owned Outright,Bank of America,Yes,3-Star,10,Yes,No,No,No,No,No,12/01/2014,IL,12/31/2015,3,df9f610bf68bd426,0,No,No,0.93,No,0
VEH-K563MNL8PX95YUJEB,Vehicle,K563MNL8PX95YUJEB,2011,Dodge,RAM,4,Rideshare,Storage Unit,7500,30000,Gasoline,Automatic,Minivan,White,3.3,8,257,4893,7,Clean,Excellent,25057,46748,9/1/2011,Used,Owned Outright,Capital One,Yes,5-Star,2,Yes,Yes,Yes,No,No,No,3/01/2014,IN,12/31/2015,2,d13087cc8d46d3c6,5,No,No,0.48,No,2
VEH-LGKJ4BDSNKPNWT76F,Vehicle,LGKJ4BDSNKPNWT76F,2005,Ford,Escape,10,Pleasure Only,Driveway,12000,120000,Flex Fuel,Automatic,Coupe,Blue,3.3,6,102,5197,7,Clean,Poor,10921,34710,10/18/2005,Used,Financed,Capital One,Yes,Not Rated,4,Yes,No,Yes,No,No,No,4/01/2014,IN,12/31/2015,0,e84ed33088062160,4,No,No,0.71,No,0
VEH-JE8C68WLYRZ3E6A1G,Vehicle,JE8C68WLYRZ3E6A1G,2006,Ford,Escape,9,Personal,Driveway,12000,108000,Hybrid,Automatic,Convertible,Brown,4.2,6,326,2697,8,Clean,Excellent,11916,49637,5/3/2006,New,Financed,,Yes,4-Star,8,Yes,Yes,No,No,No,No,6/01/2014,OH,12/31/2015,3,3ac743a11b2f57aa,3,No,No,0.19,No,0
VEH-N8R7X9HNYHM35CBUX,Vehicle,N8R7X9HNYHM35CBUX,2005,Toyota,Camry,10,Personal,On-Street Parking,25000,250000,Gasoline,Manual,Sedan,Gray,4.5,8,340,4720,4,Clean,Fair,12072,43546,5/26/2005,Certified Pre-Owned,Owned Outright,Wells Fargo Auto,Yes,Not Rated,2,Yes,No,No,No,No,No,5/01/2014,IN,12/31/2015,2,80362920eebf12ff,1,No,No,0.88,No,0
VEH-575HD41ZYXRVTA15G,Vehicle,575HD41ZYXRVTA15G,2003,Suburu,Forrestor,12,Rideshare,Driveway,12000,144000,Electric,Automatic,Sedan,Green,2.4,4,201,2908,4,Clean,Excellent,7397,25685,4/13/2003,Certified Pre-Owned,Financed,Wells Fargo Auto,Yes,5-Star,2,Yes,Yes,Yes,No,No,No,2/01/2014,IN,12/31/2015,1,32d336f40a689e60,0,No,No,0.14,No,0
VEH-PLLRB6ZPJLG1UXR8E,Vehicle,PLLRB6ZPJLG1UXR8E,2009,Dodge,Neon,6,Pleasure Only,Covered Parking Lot,25000,150000,Electric,Automatic,Convertible,Gold,4.4,6,124,4995,7,Clean,Fair,21290,34355,6/13/2009,New,Owned Outright,Capital One,Yes,3-Star,8,Yes,No,Yes,No,No,No,3/01/2014,OH,12/31/2015,3,4cfb7ccb1835c3cf,5,No,No,0.1,No,0
VEH-WFZFFBP3EN4NMT0KJ,Vehicle,WFZFFBP3EN4NMT0KJ,2011,Accura,TL,4,Personal,Storage Unit,7500,30000,Hybrid,Automatic,Truck,Silver,3.6,6,431,5188,5,Clean,Excellent,19820,50479,12/4/2011,New,Owned Outright,Chase Auto,No,4-Star,6,No,Yes,Yes,No,No,No,7/01/2014,IL,12/31/2015,3,83e57a4ebf2fbf70,0,Yes,No,0.4,No,0
VEH-SG3UD2GYUJPNGUZBH,Vehicle,SG3UD2GYUJPNGUZBH,2005,Toyota,Corolla,10,Rideshare,Covered Parking Lot,7500,75000,Hybrid,Automatic,SUV,Silver,2.8,8,176,3006,2,Rebuilt,Fair,13378,48924,1/26/2005,Certified Pre-Owned,Owned Outright,Chase Auto,Yes,Not Rated,8,No,No,Yes,No,No,No,10/01/2014,IL,12/31/2015,0,c094d544ce2182c3,5,No,No,0.11,No,0
VEH-KDYKALG3B0MAL3W3X,Vehicle,KDYKALG3B0MAL3W3X,2006,Ford,F150,9,Business,Storage Unit,25000,225000,Flex Fuel,Automatic,Convertible,Red,3.5,4,227,3594,5,Salvage,Good,13504,17975,12/19/2006,New,Financed,Capital One,Yes,3-Star,10,Yes,Yes,No,No,No,No,6/01/2014,IL,12/31/2015,2,b78c04d13371ea31,4,Yes,No,0.88,No,0
VEH-MMNHXHW07BHZYP9P3,Vehicle,MMNHXHW07BHZYP9P3,2008,BMW,3 Series,7,Pleasure Only,On-Street Parking,15000,105000,Electric,Automatic,Coupe,Brown,4.1,6,440,2882,2,Clean,Fair,16054,37027,1/25/2008,Certified Pre-Owned,Owned Outright,Wells Fargo Auto,No,3-Star,10,Yes,No,Yes,No,No,No,12/01/2014,IL,12/31/2015,0,6bbb178160d1be9c,1,No,No,0.12,No,0
VEH-MHT8G4F7CTGL8ZDZW,Vehicle,MHT8G4F7CTGL8ZDZW,2015,Suburu,Impreza,0,Pleasure Only,Covered Parking Lot,7500,0,Flex Fuel,CVT,Sedan,Green,4.5,6,204,3472,2,Salvage,Excellent,34101,47234,4/24/2015,New,Financed,Chase Auto,No,4-Star,2,Yes,Yes,No,No,No,No,11/01/2014,IL,12/31/2015,2,c3dcb1a11cbea12d,4,No,No,0.8,No,0
VEH-8FT4S8LS0SDHXT4KF,Vehicle,8FT4S8LS0SDHXT4KF,1999,Audi,A3,16,Rideshare,Storage Unit,25000,400000,Flex Fuel,Automatic,Minivan,White,2.5,4,225,2571,8,Clean,Excellent,1121,15558,9/23/1999,New,Leased,Chase Auto,Yes,Not Rated,4,Yes,No,No,No,No,No,6/01/2014,IL,12/31/2015,3,82c5963b2ce7a9e9,4,No,No,0.09,No,0
VEH-3FFC0WX6HTVLMKGWB,Vehicle,3FFC0WX6HTVLMKGWB,1995,Mercedes,C300,20,Business,On-Street Parking,10000,200000,Gasoline,Automatic,Sedan,Brown,2.9,4,444,3575,5,Clean,Excellent,500,27333,2/28/1995,Used,Financed,Wells Fargo Auto,Yes,5-Star,8,Yes,No,No,No,No,No,12/01/2014,OH,12/31/2015,3,0b32e803b3577345,0,No,No,0.58,No,0
VEH-ZAA4R8K6293F3V3WJ,Vehicle,ZAA4R8K6293F3V3WJ,2004,Suburu,Forrestor,11,Personal,On-Street Parking,20000,220000,Gasoline,Manual,Coupe,Red,3.8,4,170,3705,2,Clean,Excellent,10260,43508,7/9/2004,Certified Pre-Owned,Leased,Capital One,Yes,Not Rated,4,Yes,No,No,No,Yes,No,9/01/2014,IL,12/31/2015,2,1ae0879751b4ec6a,4,No,No,0.68,No,0
VEH-V9LATT6EBFERMBJR2,Vehicle,V9LATT6EBFERMBJR2,2001,Suburu,Legacy,14,Business,Driveway,20000,280000,Flex Fuel,Automatic,Sedan,Red,4.7,8,280,4705,5,Clean,Excellent,4210,43745,3/28/2001,Used,Financed,Capital One,Yes,3-Star,10,Yes,No,No,No,Yes,Yes,7/01/2014,IL,12/31/2015,3,0d87a2563566a0f1,3,No,Yes,0.93,No,0
VEH-E59PKM93VHW2KA45B,Vehicle,E59PKM93VHW2KA45B,2007,Jeep,Wrangler,8,Rideshare,Private Garage,20000,160000,Gasoline,Automatic,SUV,Black,1.8,4,413,4966,5,Salvage,Good,17234,13440,1/16/2007,Used,Financed,Capital One,No,3-Star,4,Yes,No,Yes,No,No,No,6/01/2014,IN,12/31/2015,1,a637d168dc8eac39,0,No,No,0.88,No,0
VEH-A580RZUES6L7GGLM7,Vehicle,A580RZUES6L7GGLM7,2011,Nissan,Pathfinder,4,Business,Private Garage,5000,20000,Hybrid,Automatic,Convertible,Blue,4.9,4,411,3296,2,Clean,Excellent,21105,26189,11/3/2011,Used,Owned Outright,Bank of America,Yes,5-Star,6,Yes,No,Yes,No,No,No,6/01/2014,IN,12/31/2015,2,5f97812bfb093d53,4,No,No,0.66,No,0
VEH-PWCUG5JW056KF3YRR,Vehicle,PWCUG5JW056KF3YRR,2010,BMW,M5,5,Pleasure Only,Private Garage,12000,60000,Diesel,Automatic,SUV,Red,1.7,4,403,4333,8,Clean,Excellent,20806,30986,5/1/2010,Certified Pre-Owned,Financed,Wells Fargo Auto,No,5-Star,2,Yes,No,No,No,No,No,11/01/2014,IL,12/31/2015,0,0007fe77c19cf53d,4,No,No,0.82,No,0
VEH-077DUB5F3LA5CNDEE,Vehicle,077DUB5F3LA5CNDEE,2001,BMW,X5,14,Personal,Covered Parking Lot,25000,350000,Gasoline,Automatic,Truck,Gray,2.9,4,135,4181,4,Rebuilt,Excellent,4407,27757,11/21/2001,Certified Pre-Owned,Owned Outright,Wells Fargo Auto,Yes,4-Star,10,No,No,No,No,No,No,12/01/2014,IN,12/31/2015,3,271a8763c3317718,4,No,Yes,0.16,No,0
VEH-TGD13G19SGACYP941,Vehicle,TGD13G19SGACYP941,2010,Dodge,RAM,5,Rideshare,Covered Parking Lot,20000,100000,Diesel,Automatic,SUV,Gold,2.0,6,362,3540,5,Clean,Excellent,19351,27469,3/4/2010,Certified Pre-Owned,Financed,Chase Auto,No,3-Star,4,Yes,No,No,No,No,No,5/01/2014,IL,12/31/2015,3,c28a3bc01b9fa6b7,4,No,No,0.25,No,0
VEH-DR48915MF4NKL9ME7,Vehicle,DR48915MF4NKL9ME7,2005,Mercedes,E400,10,Business,Driveway,15000,150000,Diesel,Automatic,Truck,Blue,4.5,8,144,2953,5,Clean,Good,12150,13785,3/14/2005,Used,Financed,Wells Fargo Auto,No,Not Rated,4,Yes,No,No,No,No,No,9/01/2014,OH,12/31/2015,3,554aa58074ee00c2,2,No,No,0.95,No,0
VEH-ES5TKUUL37Z1T5ZGG,Vehicle,ES5TKUUL37Z1T5ZGG,2014,Toyota,Highlander,1,Business,On-Street Parking,25000,25000,Flex Fuel,Automatic,Sedan,Red,2.0,8,216,4344,7,Clean,Excellent,28498,19179,2/28/2014,Used,Owned Outright,,Yes,3-Star,8,Yes,Yes,Yes,No,No,No,11/01/2014,IL,12/31/2015,1,1d2244c2e1525012,5,No,No,0.25,Yes,0
VEH-25X7DJAG4PYM68Y1A,Vehicle,25X7DJAG4PYM68Y1A,2002,Accura,MDX,13,Commute,Storage Unit,5000,65000,Hybrid,Manual,SUV,Brown,4.0,8,404,4183,2,Clean,Good,6925,27245,7/18/2002,Used,Leased,,No,5-Star,2,No,No,No,No,Yes,No,12/01/2014,IL,12/31/2015,3,ed4a8ed61aba6960,3,No,No,0.6,No,0
VEH-TPMD4U0V7ER2TC19G,Vehicle,TPMD4U0V7ER2TC19G,2014,Honda,Civic,1,Pleasure Only,Private Garage,18000,18000,Electric,Automatic,Truck,White,2.6,6,404,4042,5,Clean,Excellent,31713,49299,1/6/2014,Used,Owned Outright,Chase Auto,Yes,3-Star,4,Yes,Yes,No,No,No,No,12/01/2014,IN,12/31/2015,3,8e10844b175850df,3,No,No,0.85,No,0
VEH-6N3CS2JT7CHGJSUV9,Vehicle,6N3CS2JT7CHGJSUV9,2003,Audi,A3,12,Commute,Storage Unit,18000,216000,Hybrid,Automatic,Minivan,Gray,2.8,6,277,2997,5,Clean,Fair,7161,35729,2/19/2003,Used,Leased,Capital One,No,3-Star,4,Yes,No,No,No,No,No,12/01/2014,OH,12/31/2015,1,9a3c67dcff084343,5,No,No,0.27,No,0
VEH-DJEWGXF6G1K5S3V9G,Vehicle,DJEWGXF6G1K5S3V9G,1995,Volkswagen,Passat,20,Personal,On-Street Parking,12000,240000,Diesel,Automatic,Minivan,Gray,3.8,6,126,4877,8,Clean,Poor,500,42591,8/18/1995,Certified Pre-Owned,Leased,Chase Auto,Yes,4-Star,2,Yes,No,No,No,No,No,2/01/2014,IN,12/31/2015,2,2e20045e699908d7,1,No,No,0.5,No,0
VEH-8VLJ7GFZ9YZNG5FNK,Vehicle,8VLJ7GFZ9YZNG5FNK,2000,Mercedes,C300,15,Personal,Storage Unit,20000,300000,Gasoline,Automatic,Convertible,Gold,4.0,8,207,5191,4,Clean,Fair,2602,16966,8/9/2000,Used,Owned Outright,,Yes,5-Star,2,Yes,No,No,No,Yes,Yes,5/01/2014,IL,12/31/2015,3,362ca07cded679af,1,No,No,0.97,No,0
VEH-5LS2U1FU9873Y2HZ1,Vehicle,5LS2U1FU9873Y2HZ1,1998,Nissan,Pathfinder,17,Business,Private Garage,10000,170000,Flex Fuel,Automatic,Minivan,Silver,2.6,6,370,3348,5,Rebuilt,Fair,500,34928,11/2/1998,Used,Leased,Bank of America,Yes,5-Star,10,Yes,No,No,No,No,No,12/01/2014,OH,12/31/2015,1,73ba84727352c8fc,1,No,No,0.26,No,0
VEH-W9VFPFY08CX55C9WR,Vehicle,W9VFPFY08CX55C9WR,2008,BMW,M5,7,Business,Covered Parking Lot,5000,35000,Electric,Automatic,Hatchback,Blue,2.5,6,281,5099,2,Clean,Good,14966,15834,5/23/2008,New,Leased,Capital One,No,Not Rated,2,Yes,No,No,No,No,No,11/01/2014,IL,12/31/2015,3,c1cb4c4ceb986093,5,No,No,0.49,No,0
VEH-HSZS879NG73B60GE9,Vehicle,HSZS879NG73B60GE9,2000,Toyota,Corolla,15,Pleasure Only,Storage Unit,7500,112500,Gasoline,Automatic,Hatchback,Gray,2.4,8,164,2912,2,Clean,Poor,3374,25946,12/4/2000,Used,Owned Outright,Wells Fargo Auto,Yes,Not Rated,2,No,No,No,No,No,No,12/01/2014,IN,12/31/2015,3,5dec6d591c9bf29b,0,No,No,0.99,No,0
VEH-NF21W6G8D6GE5UZ74,Vehicle,NF21W6G8D6GE5UZ74,1999,Suburu,Forrestor,16,Business,Driveway,25000,400000,Flex Fuel,Automatic,Hatchback,Orange,2.3,4,224,2502,2,Clean,Excellent,1238,41194,5/5/1999,Used,Owned Outright,Chase Auto,Yes,Not Rated,10,Yes,No,Yes,No,No,No,1/01/2014,IN,12/31/2015,0,21c24d83603b4697,4,No,No,0.26,No,0
VEH-FB9449HHX47XK1GCS,Vehicle,FB9449HHX47XK1GCS,2009,Ford,F150,6,Personal,Storage Unit,25000,150000,Electric,Automatic,Hatchback,Red,2.9,6,139,4100,8,Clean,Good,21164,44397,8/21/2009,Certified Pre-Owned,Leased,,Yes,5-Star,2,Yes,No,No,No,No,No,4/01/2014,OH,12/31/2015,1,630ca6e1fd862923,1,No,No,0.14,No,1
VEH-U1H1B1YJLCT6HREUY,Vehicle,U1H1B1YJLCT6HREUY,1995,Chevrolet,Silverado,20,Commute,Private Garage,12000,240000,Hybrid,Automatic,SUV,Gold,3.3,6,317,3546,4,Clean,Good,500,17443,10/24/1995,Used,Financed,Chase Auto,Yes,4-Star,10,Yes,No,No,No,No,No,4/01/2014,OH,12/31/2015,3,42d6f92a82648582,5,No,No,0.05,No,0
VEH-N6NLC98AK88WK3VYF,Vehicle,N6NLC98AK88WK3VYF,2014,Honda,CRV,1,Commute,On-Street Parking,25000,25000,Gasoline,Automatic,SUV,Orange,2.6,6,116,5315,5,Clean,Excellent,32155,49867,11/3/2014,Certified Pre-Owned,Financed,Bank of America,Yes,3-Star,8,Yes,Yes,Yes,No,No,No,6/01/2014,IN,12/31/2015,3,8c66ed347961f65a,2,No,No,0.29,Yes,0
VEH-8T3MJS6FU529S9L9D,Vehicle,8T3MJS6FU529S9L9D,2014,Chevrolet,Silverado,1,Business,On-Street Parking,15000,15000,Flex Fuel,Manual,SUV,White,1.6,8,157,5041,5,Clean,Excellent,26110,47682,7/21/2014,Used,Leased,Bank of America,No,3-Star,10,Yes,Yes,No,No,No,No,3/01/2014,IN,12/31/2015,0,ce37c4d85936a4a9,5,No,No,0.57,No,0
VEH-KKM3RSHY6HZMP00YJ,Vehicle,KKM3RSHY6HZMP00YJ,2007,Saab,93,8,Commute,Driveway,5000,40000,Diesel,Manual,Minivan,Gold,3.1,4,208,3039,2,Clean,Excellent,16357,15444,12/18/2007,New,Owned Outright,Bank of America,No,Not Rated,10,Yes,No,No,No,No,No,2/01/2014,IL,12/31/2015,0,09528a409d7099ea,3,No,No,0.3,No,0
VEH-M1R8R74RYV0NRZB4D,Vehicle,M1R8R74RYV0NRZB4D,2000,Ford,Escape,15,Business,On-Street Parking,20000,300000,Flex Fuel,Automatic,Hatchback,Brown,4.7,8,225,4921,8,Clean,Good,2628,50742,2/25/2000,Used,Leased,Capital One,No,4-Star,10,Yes,No,No,No,No,No,9/01/2014,OH,12/31/2015,1,b39a84b17f69d52c,2,No,No,0.9,No,1
VEH-G0Z7A93FPDTU01YXJ,Vehicle,G0Z7A93FPDTU01YXJ,2014,Nissan,Maxima,1,Personal,Storage Unit,5000,5000,Diesel,Automatic,Coupe,Black,2.8,4,128,2819,7,Clean,Excellent,26427,46788,10/9/2014,New,Owned Outright,Capital One,Yes,Not Rated,10,No,Yes,No,No,Yes,No,1/01/2014,IN,12/31/2015,3,d04368ec7106534d,2,No,No,0.96,No,0
