:START_ID,:END_ID,:TYPE,priority,status,ai_score,weight,connection_strength,first_seen_date,last_seen_date,event_time,interaction_count,shared_count
CASE-163161,CLM-163161,INVESTIGATES_CLAIM,P1 - Critical,Closed - Cleared,0.676,0.5384,0.4975,02/01/2015,03/01/2015,02/01/2015,1,1
CASE-853360,CLM-853360,INVESTIGATES_CLAIM,P1 - Critical,Escalated to SIU,0.791,0.4689,0.4507,05/01/2015,09/01/2015,05/01/2015,1,1
CASE-776860,CLM-776860,INVESTIGATES_CLAIM,P1 - Critical,Under Review,0.766,0.5614,0.4615,05/01/2015,03/01/2015,05/01/2015,1,1
CASE-149367,CLM-149367,INVESTIGATES_CLAIM,P1 - Critical,Escalated to SIU,0.697,0.5158,0.4914,05/01/2015,04/01/2015,05/01/2015,1,1
CASE-395269,CLM-395269,INVESTIGATES_CLAIM,P1 - Critical,Escalated to SIU,0.713,0.8055,0.6567,09/01/2015,02/01/2015,09/01/2015,1,1
CASE-981123,CLM-981123,INVESTIGATES_CLAIM,P2 - High,Escalated to SIU,0.788,0.6009,0.5647,07/01/2015,04/01/2015,07/01/2015,1,1
CASE-648397,CLM-648397,INVESTIGATES_CLAIM,P1 - Critical,Open,0.724,0.4601,0.4479,06/01/2015,03/01/2015,06/01/2015,1,1
CASE-154982,CLM-154982,INVESTIGATES_CLAIM,P2 - High,Closed - Fraud Confirmed,0.737,0.6053,0.5517,08/01/2015,02/01/2015,08/01/2015,1,1
CASE-330591,CLM-330591,INVESTIGATES_CLAIM,P1 - Critical,Closed - Cleared,0.814,0.6049,0.5905,05/01/2015,09/01/2015,05/01/2015,1,1
CASE-319232,CLM-319232,INVESTIGATES_CLAIM,P1 - Critical,Closed - Fraud Confirmed,0.799,0.7297,0.6343,04/01/2015,04/01/2015,04/01/2015,1,1
CASE-531640,CLM-531640,INVESTIGATES_CLAIM,P1 - Critical,Escalated to SIU,0.736,0.6855,0.6233,01/01/2015,07/01/2015,01/01/2015,1,1
CASE-368050,CLM-368050,INVESTIGATES_CLAIM,P1 - Critical,Open,0.597,0.5802,0.5415,07/01/2015,07/01/2015,07/01/2015,1,1
CASE-253791,CLM-253791,INVESTIGATES_CLAIM,P1 - Critical,Under Review,0.721,0.6295,0.5694,03/01/2015,05/01/2015,03/01/2015,1,1
CASE-155724,CLM-155724,INVESTIGATES_CLAIM,P1 - Critical,Closed - Fraud Confirmed,0.743,0.8928,0.8835,01/01/2015,09/01/2015,01/01/2015,1,1
CASE-824540,CLM-824540,INVESTIGATES_CLAIM,P1 - Critical,Closed - Cleared,0.753,0.5098,0.4908,07/01/2015,04/01/2015,07/01/2015,1,1
CASE-717392,CLM-717392,INVESTIGATES_CLAIM,P2 - High,Open,0.689,0.6003,0.5597,09/01/2015,06/01/2015,09/01/2015,1,1
CASE-965768,CLM-965768,INVESTIGATES_CLAIM,P2 - High,Closed - Cleared,0.815,0.7227,0.5955,02/01/2015,09/01/2015,02/01/2015,1,1
CASE-414779,CLM-414779,INVESTIGATES_CLAIM,P2 - High,Pending Evidence,0.614,0.595,0.5515,05/01/2015,01/01/2015,05/01/2015,1,1
CASE-428230,CLM-428230,INVESTIGATES_CLAIM,P3 - Medium,Under Review,0.606,0.7395,0.7027,09/01/2015,09/01/2015,09/01/2015,1,1
CASE-517240,CLM-517240,INVESTIGATES_CLAIM,P1 - Critical,Closed - Fraud Confirmed,0.938,0.5133,0.4821,05/01/2015,05/01/2015,05/01/2015,1,1
CASE-469874,CLM-469874,INVESTIGATES_CLAIM,P1 - Critical,Closed - Fraud Confirmed,0.723,0.7203,0.6743,02/01/2015,07/01/2015,02/01/2015,1,1
CASE-718428,CLM-718428,INVESTIGATES_CLAIM,P1 - Critical,Open,0.86,0.5863,0.5047,09/01/2015,09/01/2015,09/01/2015,1,1
CASE-620215,CLM-620215,INVESTIGATES_CLAIM,P1 - Critical,Closed - Fraud Confirmed,0.833,0.3594,0.3255,08/01/2015,08/01/2015,08/01/2015,1,1
CASE-618659,CLM-618659,INVESTIGATES_CLAIM,P2 - High,Open,0.674,0.8243,0.7101,03/01/2015,04/01/2015,03/01/2015,1,1
CASE-649082,CLM-649082,INVESTIGATES_CLAIM,P2 - High,Closed - Fraud Confirmed,0.772,0.352,0.3009,01/01/2015,03/01/2015,01/01/2015,1,1
CASE-437573,CLM-437573,INVESTIGATES_CLAIM,P1 - Critical,Closed - Cleared,0.748,0.8504,0.8275,03/01/2015,08/01/2015,03/01/2015,1,1
CASE-964657,CLM-964657,INVESTIGATES_CLAIM,P1 - Critical,Pending Evidence,0.841,0.661,0.5546,09/01/2015,06/01/2015,09/01/2015,1,1
CASE-434507,CLM-434507,INVESTIGATES_CLAIM,P1 - Critical,Escalated to SIU,0.781,0.4762,0.4264,02/01/2015,09/01/2015,02/01/2015,1,1
CASE-935277,CLM-935277,INVESTIGATES_CLAIM,P1 - Critical,Escalated to SIU,0.802,0.3402,0.3113,02/01/2015,05/01/2015,02/01/2015,1,1
CASE-756054,CLM-756054,INVESTIGATES_CLAIM,P1 - Critical,Open,0.748,0.8205,0.7253,04/01/2015,06/01/2015,04/01/2015,1,1
CASE-682387,CLM-682387,INVESTIGATES_CLAIM,P2 - High,Closed - Cleared,0.772,0.3325,0.3156,01/01/2015,07/01/2015,01/01/2015,1,1
CASE-354105,CLM-354105,INVESTIGATES_CLAIM,P1 - Critical,Under Review,0.725,0.5253,0.4567,01/01/2015,03/01/2015,01/01/2015,1,1
CASE-165485,CLM-165485,INVESTIGATES_CLAIM,P2 - High,Open,0.873,0.7251,0.6296,09/01/2015,08/01/2015,09/01/2015,1,1
CASE-515050,CLM-515050,INVESTIGATES_CLAIM,P1 - Critical,Open,0.753,0.864,0.775,05/01/2015,02/01/2015,05/01/2015,1,1
CASE-795686,CLM-795686,INVESTIGATES_CLAIM,P1 - Critical,Closed - Fraud Confirmed,0.674,0.78,0.7132,04/01/2015,04/01/2015,04/01/2015,1,1
CASE-395983,CLM-395983,INVESTIGATES_CLAIM,P2 - High,Open,0.719,0.6832,0.6625,04/01/2015,08/01/2015,04/01/2015,1,1
CASE-119513,CLM-119513,INVESTIGATES_CLAIM,P1 - Critical,Closed - Cleared,0.71,0.6426,0.5635,02/01/2015,01/01/2015,02/01/2015,1,1
CASE-217938,CLM-217938,INVESTIGATES_CLAIM,P1 - Critical,Closed - Cleared,0.727,0.5126,0.462,05/01/2015,03/01/2015,05/01/2015,1,1
CASE-203914,CLM-203914,INVESTIGATES_CLAIM,P1 - Critical,Closed - Fraud Confirmed,0.528,0.3125,0.2652,02/01/2015,05/01/2015,02/01/2015,1,1
CASE-565157,CLM-565157,INVESTIGATES_CLAIM,P2 - High,Closed - Cleared,0.648,0.8162,0.7002,09/01/2015,05/01/2015,09/01/2015,1,1
CASE-904191,CLM-904191,INVESTIGATES_CLAIM,P1 - Critical,Escalated to SIU,0.891,0.8776,0.7283,02/01/2015,07/01/2015,02/01/2015,1,1
CASE-419510,CLM-419510,INVESTIGATES_CLAIM,P1 - Critical,Open,0.753,0.7336,0.6051,02/01/2015,09/01/2015,02/01/2015,1,1
CASE-575000,CLM-575000,INVESTIGATES_CLAIM,P1 - Critical,Closed - Cleared,0.824,0.7415,0.6682,08/01/2015,05/01/2015,08/01/2015,1,1
CASE-120485,CLM-120485,INVESTIGATES_CLAIM,P1 - Critical,Closed - Fraud Confirmed,0.76,0.4225,0.3885,07/01/2015,06/01/2015,07/01/2015,1,1
CASE-781181,CLM-781181,INVESTIGATES_CLAIM,P1 - Critical,Escalated to SIU,0.887,0.3797,0.3236,04/01/2015,09/01/2015,04/01/2015,1,1
CASE-589749,CLM-589749,INVESTIGATES_CLAIM,P1 - Critical,Open,0.744,0.5959,0.5141,04/01/2015,01/01/2015,04/01/2015,1,1
CASE-454086,CLM-454086,INVESTIGATES_CLAIM,P3 - Medium,Escalated to SIU,0.716,0.61,0.5594,01/01/2015,01/01/2015,01/01/2015,1,1
CASE-139484,CLM-139484,INVESTIGATES_CLAIM,P1 - Critical,Closed - Cleared,0.558,0.5386,0.5331,06/01/2015,07/01/2015,06/01/2015,1,1
CASE-678849,CLM-678849,INVESTIGATES_CLAIM,P1 - Critical,Open,0.886,0.6121,0.5051,01/01/2015,07/01/2015,01/01/2015,1,1
CASE-346940,CLM-346940,INVESTIGATES_CLAIM,P1 - Critical,Open,0.811,0.5554,0.4559,08/01/2015,01/01/2015,08/01/2015,1,1
CASE-985436,CLM-985436,INVESTIGATES_CLAIM,P1 - Critical,Open,0.727,0.8827,0.8689,05/01/2015,05/01/2015,05/01/2015,1,1
CASE-237418,CLM-237418,INVESTIGATES_CLAIM,P1 - Critical,Under Review,0.758,0.8895,0.803,06/01/2015,08/01/2015,06/01/2015,1,1
CASE-335780,CLM-335780,INVESTIGATES_CLAIM,P1 - Critical,Open,0.733,0.6428,0.5698,01/01/2015,09/01/2015,01/01/2015,1,1
CASE-491392,CLM-491392,INVESTIGATES_CLAIM,P1 - Critical,Open,0.711,0.481,0.4147,05/01/2015,04/01/2015,05/01/2015,1,1
CASE-962591,CLM-962591,INVESTIGATES_CLAIM,P3 - Medium,Escalated to SIU,0.567,0.3106,0.2641,05/01/2015,01/01/2015,05/01/2015,1,1
CASE-922565,CLM-922565,INVESTIGATES_CLAIM,P2 - High,Closed - Fraud Confirmed,0.728,0.4374,0.3558,04/01/2015,07/01/2015,04/01/2015,1,1
CASE-288580,CLM-288580,INVESTIGATES_CLAIM,P1 - Critical,Pending Evidence,0.728,0.8652,0.7659,03/01/2015,03/01/2015,03/01/2015,1,1
CASE-154280,CLM-154280,INVESTIGATES_CLAIM,P2 - High,Closed - Cleared,0.679,0.8636,0.8244,08/01/2015,07/01/2015,08/01/2015,1,1
CASE-425973,CLM-425973,INVESTIGATES_CLAIM,P2 - High,Closed - Fraud Confirmed,0.87,0.4986,0.4658,02/01/2015,05/01/2015,02/01/2015,1,1
CASE-648509,CLM-648509,INVESTIGATES_CLAIM,P1 - Critical,Closed - Cleared,0.617,0.6849,0.5545,03/01/2015,07/01/2015,03/01/2015,1,1
CASE-914815,CLM-914815,INVESTIGATES_CLAIM,P1 - Critical,Open,0.757,0.8976,0.8674,09/01/2015,06/01/2015,09/01/2015,1,1
CASE-249048,CLM-249048,INVESTIGATES_CLAIM,P1 - Critical,Escalated to SIU,0.744,0.8269,0.7719,01/01/2015,09/01/2015,01/01/2015,1,1
CASE-144323,CLM-144323,INVESTIGATES_CLAIM,P1 - Critical,Under Review,0.824,0.8495,0.7224,03/01/2015,09/01/2015,03/01/2015,1,1
CASE-651861,CLM-651861,INVESTIGATES_CLAIM,P3 - Medium,Under Review,0.693,0.4569,0.4487,09/01/2015,09/01/2015,09/01/2015,1,1
CASE-125324,CLM-125324,INVESTIGATES_CLAIM,P2 - High,Open,0.76,0.358,0.3082,05/01/2015,08/01/2015,05/01/2015,1,1
CASE-398102,CLM-398102,INVESTIGATES_CLAIM,P1 - Critical,Closed - Fraud Confirmed,0.754,0.7529,0.6513,05/01/2015,03/01/2015,05/01/2015,1,1
CASE-514065,CLM-514065,INVESTIGATES_CLAIM,P1 - Critical,Open,0.882,0.3236,0.3236,02/01/2015,05/01/2015,02/01/2015,1,1
CASE-391652,CLM-391652,INVESTIGATES_CLAIM,P1 - Critical,Under Review,0.814,0.5658,0.5083,07/01/2015,05/01/2015,07/01/2015,1,1
CASE-922167,CLM-922167,INVESTIGATES_CLAIM,P2 - High,Closed - Cleared,0.739,0.5442,0.5399,02/01/2015,05/01/2015,02/01/2015,1,1
CASE-442795,CLM-442795,INVESTIGATES_CLAIM,P1 - Critical,Escalated to SIU,0.881,0.8063,0.781,07/01/2015,07/01/2015,07/01/2015,1,1
CASE-524230,CLM-524230,INVESTIGATES_CLAIM,P1 - Critical,Under Review,0.721,0.8991,0.7229,04/01/2015,04/01/2015,04/01/2015,1,1
CASE-438817,CLM-438817,INVESTIGATES_CLAIM,P1 - Critical,Closed - Fraud Confirmed,0.863,0.4338,0.4181,07/01/2015,02/01/2015,07/01/2015,1,1
CASE-868283,CLM-868283,INVESTIGATES_CLAIM,P2 - High,Closed - Cleared,0.731,0.5024,0.4402,03/01/2015,03/01/2015,03/01/2015,1,1
CASE-828890,CLM-828890,INVESTIGATES_CLAIM,P2 - High,Under Review,0.745,0.8035,0.6582,05/01/2015,09/01/2015,05/01/2015,1,1
CASE-918777,CLM-918777,INVESTIGATES_CLAIM,P2 - High,Escalated to SIU,0.696,0.4693,0.4163,01/01/2015,05/01/2015,01/01/2015,1,1
CASE-212580,CLM-212580,INVESTIGATES_CLAIM,P2 - High,Open,0.776,0.5241,0.4898,09/01/2015,03/01/2015,09/01/2015,1,1
