:START_ID,:END_ID,:TYPE,repair_cost,repair_days,estimate_submitted,supplement_filed,supplement_amount,oem_parts_used,parts_sourced_from,repair_authorized,customer_satisfaction_score,weight,connection_strength,first_seen_date,last_seen_date,event_time,interaction_count,shared_count
CLM-200152,SHOP-004,REPAIRED_AT,54180.0,14,46384.04,Yes,3204.02,Yes,Salvage Yard,Yes,5,1.0,0.9073,09/01/2015,05/01/2015,09/01/2015,1,1
CLM-933293,SHOP-004,REPAIRED_AT,4100.0,24,3176.64,Yes,0.0,No,Aftermarket,Yes,3,0.1367,0.1316,03/01/2015,03/01/2015,03/01/2015,1,2
CLM-485664,SHOP-005,REPAIRED_AT,49840.0,19,41925.54,No,0.0,Yes,LKQ,Yes,9,1.0,0.8977,06/01/2015,07/01/2015,06/01/2015,1,2
CLM-982871,SHOP-003,REPAIRED_AT,49230.0,29,41778.62,No,0.0,No,LKQ,Yes,3,1.0,0.9038,04/01/2015,08/01/2015,04/01/2015,2,1
CLM-206213,SHOP-004,REPAIRED_AT,32000.0,26,28967.72,No,0.0,Yes,Salvage Yard,Yes,5,1.0,0.9169,02/01/2015,04/01/2015,02/01/2015,2,1
CLM-616337,SHOP-004,REPAIRED_AT,80900.0,8,81703.02,No,0.0,No,Salvage Yard,Yes,6,1.0,0.9427,02/01/2015,03/01/2015,02/01/2015,1,2
CLM-448961,SHOP-002,REPAIRED_AT,45920.0,18,48327.52,No,0.0,Yes,Salvage Yard,Yes,9,1.0,0.958,01/01/2015,01/01/2015,01/01/2015,2,1
CLM-790442,SHOP-001,REPAIRED_AT,45440.0,9,53231.58,No,3383.03,Yes,LKQ,Yes,8,1.0,0.8248,07/01/2015,05/01/2015,07/01/2015,2,1
CLM-108844,SHOP-003,REPAIRED_AT,45120.0,7,32257.15,Yes,0.0,Yes,Aftermarket,Yes,9,1.0,0.9506,01/01/2015,05/01/2015,01/01/2015,3,2
CLM-430029,SHOP-004,REPAIRED_AT,48230.0,4,43952.99,Yes,6785.29,No,OEM Dealer,Yes,4,1.0,0.9931,03/01/2015,02/01/2015,03/01/2015,1,1
CLM-529112,SHOP-007,REPAIRED_AT,77110.0,22,86894.47,No,0.0,Yes,OEM Dealer,Yes,9,1.0,0.9795,01/01/2015,04/01/2015,01/01/2015,2,2
CLM-939631,SHOP-004,REPAIRED_AT,56520.0,27,62645.57,No,0.0,Yes,Aftermarket,Yes,8,1.0,0.8361,09/01/2015,09/01/2015,09/01/2015,1,1
CLM-866931,SHOP-004,REPAIRED_AT,6480.0,10,5411.07,Yes,0.0,No,Aftermarket,Yes,3,0.216,0.1987,02/01/2015,05/01/2015,02/01/2015,2,2
CLM-582011,SHOP-006,REPAIRED_AT,61280.0,26,53570.0,No,8118.31,No,LKQ,Yes,8,1.0,0.836,07/01/2015,06/01/2015,07/01/2015,2,3
CLM-691189,SHOP-002,REPAIRED_AT,65440.0,3,64408.77,No,13895.78,No,LKQ,Yes,1,1.0,0.9109,01/01/2015,07/01/2015,01/01/2015,2,3
CLM-537546,SHOP-005,REPAIRED_AT,5940.0,19,5825.58,Yes,0.0,Yes,Salvage Yard,Yes,5,0.198,0.1901,03/01/2015,01/01/2015,03/01/2015,3,1
CLM-394975,SHOP-002,REPAIRED_AT,3870.0,10,3451.18,No,632.27,Yes,OEM Dealer,Yes,3,0.129,0.1064,08/01/2015,05/01/2015,08/01/2015,2,2
CLM-729634,SHOP-003,REPAIRED_AT,57690.0,28,56063.17,No,0.0,No,OEM Dealer,Yes,3,1.0,0.8258,06/01/2015,06/01/2015,06/01/2015,1,1
CLM-282195,SHOP-003,REPAIRED_AT,2160.0,19,2163.6,No,0.0,No,Salvage Yard,Yes,3,0.072,0.0606,03/01/2015,05/01/2015,03/01/2015,2,2
CLM-420810,SHOP-005,REPAIRED_AT,63120.0,20,76287.77,No,8581.93,Yes,OEM Dealer,Yes,3,1.0,0.8322,04/01/2015,05/01/2015,04/01/2015,2,2
CLM-524836,SHOP-001,REPAIRED_AT,56430.0,16,55031.12,Yes,0.0,No,LKQ,Yes,4,1.0,0.9125,04/01/2015,01/01/2015,04/01/2015,1,2
CLM-307195,SHOP-004,REPAIRED_AT,2100.0,22,1632.43,No,0.0,Yes,OEM Dealer,Yes,5,0.07,0.0679,05/01/2015,02/01/2015,05/01/2015,1,1
CLM-623648,SHOP-002,REPAIRED_AT,58480.0,29,55610.64,No,0.0,Yes,LKQ,Yes,5,1.0,0.807,04/01/2015,05/01/2015,04/01/2015,2,1
CLM-485372,SHOP-003,REPAIRED_AT,51480.0,24,53684.39,No,0.0,Yes,Salvage Yard,Yes,6,1.0,0.996,09/01/2015,06/01/2015,09/01/2015,3,2
CLM-598554,SHOP-004,REPAIRED_AT,54040.0,22,69603.64,No,0.0,No,OEM Dealer,Yes,1,1.0,0.9012,04/01/2015,05/01/2015,04/01/2015,3,3
CLM-303987,SHOP-001,REPAIRED_AT,36900.0,26,45314.85,No,0.0,No,OEM Dealer,Yes,1,1.0,0.8727,07/01/2015,03/01/2015,07/01/2015,1,1
CLM-343161,SHOP-007,REPAIRED_AT,50670.0,20,47233.15,Yes,8549.17,Yes,LKQ,Yes,4,1.0,0.9089,05/01/2015,08/01/2015,05/01/2015,2,1
CLM-519312,SHOP-001,REPAIRED_AT,57100.0,3,67348.81,No,0.0,Yes,OEM Dealer,Yes,4,1.0,0.8846,01/01/2015,08/01/2015,01/01/2015,1,1
CLM-132902,SHOP-006,REPAIRED_AT,52560.0,14,62270.78,No,0.0,Yes,Aftermarket,Yes,10,1.0,0.989,05/01/2015,01/01/2015,05/01/2015,2,3
CLM-332867,SHOP-007,REPAIRED_AT,68600.0,30,81881.71,No,0.0,Yes,Salvage Yard,Yes,9,1.0,0.8,02/01/2015,08/01/2015,02/01/2015,3,3
CLM-356590,SHOP-003,REPAIRED_AT,75900.0,2,74230.09,No,0.0,Yes,Salvage Yard,Yes,6,1.0,0.8601,03/01/2015,01/01/2015,03/01/2015,3,3
CLM-346002,SHOP-003,REPAIRED_AT,33930.0,12,30775.57,No,0.0,Yes,Aftermarket,Yes,10,1.0,0.9892,01/01/2015,08/01/2015,01/01/2015,1,3
CLM-500533,SHOP-003,REPAIRED_AT,56070.0,18,50770.62,No,0.0,No,OEM Dealer,Yes,10,1.0,0.9039,02/01/2015,01/01/2015,02/01/2015,3,1
CLM-348209,SHOP-002,REPAIRED_AT,3440.0,17,2579.97,No,0.0,No,Aftermarket,Yes,10,0.1147,0.1097,02/01/2015,06/01/2015,02/01/2015,2,1
CLM-486676,SHOP-006,REPAIRED_AT,55890.0,27,65820.11,No,0.0,No,Aftermarket,Yes,10,1.0,0.9318,08/01/2015,08/01/2015,08/01/2015,1,1
CLM-260845,SHOP-003,REPAIRED_AT,54480.0,25,57292.01,No,0.0,No,Salvage Yard,Yes,2,1.0,0.889,02/01/2015,09/01/2015,02/01/2015,1,1
CLM-657045,SHOP-006,REPAIRED_AT,27090.0,16,28744.6,No,4443.96,Yes,Salvage Yard,Yes,1,0.903,0.8266,02/01/2015,04/01/2015,02/01/2015,2,2
CLM-761189,SHOP-007,REPAIRED_AT,47600.0,26,43944.19,No,5298.89,No,OEM Dealer,Yes,9,1.0,0.939,03/01/2015,07/01/2015,03/01/2015,1,3
CLM-175177,SHOP-006,REPAIRED_AT,33390.0,2,31137.86,No,0.0,Yes,OEM Dealer,Yes,10,1.0,0.9045,05/01/2015,01/01/2015,05/01/2015,3,3
CLM-116700,SHOP-003,REPAIRED_AT,39830.0,27,35018.26,No,5817.65,Yes,Salvage Yard,Yes,6,1.0,0.9972,05/01/2015,02/01/2015,05/01/2015,3,2
CLM-166264,SHOP-004,REPAIRED_AT,74500.0,14,91675.22,No,0.0,No,OEM Dealer,Yes,7,1.0,0.8704,03/01/2015,05/01/2015,03/01/2015,2,3
CLM-527945,SHOP-005,REPAIRED_AT,48870.0,24,42211.41,No,0.0,Yes,OEM Dealer,Yes,1,1.0,0.9076,02/01/2015,09/01/2015,02/01/2015,3,2
CLM-627540,SHOP-003,REPAIRED_AT,6820.0,17,5093.33,Yes,0.0,Yes,LKQ,Yes,3,0.2273,0.1914,02/01/2015,06/01/2015,02/01/2015,2,2
CLM-279422,SHOP-006,REPAIRED_AT,57760.0,14,58923.69,No,0.0,No,OEM Dealer,Yes,8,1.0,0.8198,08/01/2015,02/01/2015,08/01/2015,1,1
CLM-484200,SHOP-003,REPAIRED_AT,40640.0,10,34735.45,No,0.0,Yes,Salvage Yard,Yes,6,1.0,0.964,06/01/2015,08/01/2015,06/01/2015,2,1
CLM-645258,SHOP-003,REPAIRED_AT,5940.0,16,4725.61,Yes,0.0,Yes,OEM Dealer,Yes,8,0.198,0.1678,04/01/2015,03/01/2015,04/01/2015,3,1
CLM-694662,SHOP-004,REPAIRED_AT,6750.0,13,4954.91,Yes,0.0,Yes,Aftermarket,Yes,6,0.225,0.1885,07/01/2015,05/01/2015,07/01/2015,3,3
CLM-960680,SHOP-005,REPAIRED_AT,5310.0,12,4140.71,Yes,0.0,No,Aftermarket,Yes,9,0.177,0.1522,02/01/2015,05/01/2015,02/01/2015,2,2
CLM-498140,SHOP-001,REPAIRED_AT,55400.0,14,57575.27,No,0.0,No,Aftermarket,Yes,9,1.0,0.9665,08/01/2015,05/01/2015,08/01/2015,2,2
CLM-498875,SHOP-005,REPAIRED_AT,52470.0,19,37390.31,Yes,0.0,No,OEM Dealer,Yes,2,1.0,0.9915,01/01/2015,08/01/2015,01/01/2015,1,2
CLM-798177,SHOP-005,REPAIRED_AT,57000.0,4,57579.23,Yes,0.0,No,Aftermarket,Yes,3,1.0,0.9204,07/01/2015,03/01/2015,07/01/2015,2,3
CLM-614763,SHOP-003,REPAIRED_AT,52560.0,24,40869.77,Yes,5894.73,Yes,Aftermarket,Yes,10,1.0,0.8432,02/01/2015,04/01/2015,02/01/2015,2,1
CLM-679370,SHOP-003,REPAIRED_AT,3760.0,3,3812.45,No,0.0,Yes,Salvage Yard,Yes,7,0.1253,0.1092,08/01/2015,03/01/2015,08/01/2015,2,2
CLM-958857,SHOP-005,REPAIRED_AT,45120.0,8,41711.42,No,0.0,No,Aftermarket,Yes,5,1.0,0.8257,02/01/2015,03/01/2015,02/01/2015,3,1
CLM-686816,SHOP-003,REPAIRED_AT,56650.0,9,53564.78,Yes,0.0,No,LKQ,Yes,6,1.0,0.9245,04/01/2015,01/01/2015,04/01/2015,3,1
CLM-127754,SHOP-003,REPAIRED_AT,89400.0,10,75285.06,No,0.0,Yes,Salvage Yard,Yes,5,1.0,0.8149,07/01/2015,04/01/2015,07/01/2015,1,2
CLM-918629,SHOP-001,REPAIRED_AT,5310.0,23,4519.28,Yes,0.0,No,LKQ,Yes,9,0.177,0.1506,07/01/2015,02/01/2015,07/01/2015,3,2
CLM-731450,SHOP-004,REPAIRED_AT,64790.0,16,48670.98,Yes,0.0,No,Aftermarket,Yes,8,1.0,0.8764,06/01/2015,01/01/2015,06/01/2015,2,2
CLM-307447,SHOP-004,REPAIRED_AT,76680.0,7,67362.64,No,0.0,Yes,LKQ,Yes,1,1.0,0.9807,08/01/2015,03/01/2015,08/01/2015,3,1
CLM-992145,SHOP-003,REPAIRED_AT,5670.0,15,5186.13,Yes,679.16,No,Salvage Yard,Yes,8,0.189,0.1663,03/01/2015,09/01/2015,03/01/2015,2,2
CLM-900628,SHOP-006,REPAIRED_AT,66300.0,23,67748.96,No,0.0,Yes,LKQ,Yes,10,1.0,0.8167,03/01/2015,08/01/2015,03/01/2015,2,2
CLM-235220,SHOP-003,REPAIRED_AT,57680.0,19,58176.68,No,0.0,Yes,LKQ,Yes,1,1.0,0.8508,05/01/2015,06/01/2015,05/01/2015,3,2
CLM-740019,SHOP-007,REPAIRED_AT,4500.0,23,3281.94,Yes,0.0,Yes,Salvage Yard,Yes,9,0.15,0.1328,01/01/2015,01/01/2015,01/01/2015,2,1
CLM-246882,SHOP-001,REPAIRED_AT,4900.0,30,5016.99,No,811.1,Yes,OEM Dealer,Yes,1,0.1633,0.1533,03/01/2015,09/01/2015,03/01/2015,3,2
CLM-797613,SHOP-004,REPAIRED_AT,63440.0,30,52696.51,Yes,0.0,No,LKQ,Yes,7,1.0,0.9072,01/01/2015,04/01/2015,01/01/2015,2,3
CLM-193442,SHOP-001,REPAIRED_AT,42240.0,7,44155.09,Yes,0.0,Yes,Salvage Yard,Yes,5,1.0,0.8141,02/01/2015,01/01/2015,02/01/2015,1,2
CLM-389238,SHOP-007,REPAIRED_AT,28800.0,25,26439.73,Yes,0.0,Yes,Salvage Yard,Yes,1,0.96,0.9087,06/01/2015,05/01/2015,06/01/2015,1,1
CLM-760179,SHOP-003,REPAIRED_AT,2640.0,14,2174.38,No,0.0,Yes,Aftermarket,Yes,4,0.088,0.0879,06/01/2015,05/01/2015,06/01/2015,2,3
CLM-939905,SHOP-002,REPAIRED_AT,77900.0,20,84316.24,Yes,0.0,Yes,OEM Dealer,Yes,3,1.0,0.9394,08/01/2015,01/01/2015,08/01/2015,3,1
CLM-872814,SHOP-004,REPAIRED_AT,3840.0,18,4009.46,No,824.61,No,LKQ,Yes,2,0.128,0.1073,09/01/2015,06/01/2015,09/01/2015,2,3
CLM-632627,SHOP-003,REPAIRED_AT,73150.0,18,48977.37,No,7112.07,Yes,OEM Dealer,Yes,1,1.0,0.8744,01/01/2015,09/01/2015,01/01/2015,3,3
CLM-283414,SHOP-002,REPAIRED_AT,66780.0,11,55369.34,No,0.0,Yes,Salvage Yard,Yes,1,1.0,0.9315,03/01/2015,01/01/2015,03/01/2015,1,2
CLM-163161,SHOP-004,REPAIRED_AT,59730.0,30,48801.89,Yes,0.0,Yes,Aftermarket,Yes,9,1.0,0.9641,09/01/2015,04/01/2015,09/01/2015,1,2
CLM-853360,SHOP-006,REPAIRED_AT,55400.0,30,54043.79,No,8301.32,Yes,LKQ,Yes,3,1.0,0.921,05/01/2015,06/01/2015,05/01/2015,1,1
CLM-776860,SHOP-005,REPAIRED_AT,67230.0,14,55948.63,No,0.0,Yes,Aftermarket,Yes,5,1.0,0.8839,02/01/2015,02/01/2015,02/01/2015,2,2
CLM-149367,SHOP-001,REPAIRED_AT,56000.0,27,44734.97,No,0.0,Yes,Salvage Yard,Yes,3,1.0,0.8307,04/01/2015,02/01/2015,04/01/2015,3,3
CLM-395269,SHOP-001,REPAIRED_AT,66330.0,20,68997.03,No,0.0,No,Aftermarket,Yes,6,1.0,0.9985,01/01/2015,09/01/2015,01/01/2015,3,3
CLM-981123,SHOP-003,REPAIRED_AT,43290.0,11,45305.72,No,3475.67,No,OEM Dealer,Yes,5,1.0,0.8867,09/01/2015,08/01/2015,09/01/2015,2,2
CLM-143626,SHOP-004,REPAIRED_AT,5900.0,9,5963.17,No,900.54,No,OEM Dealer,Yes,3,0.1967,0.1584,01/01/2015,02/01/2015,01/01/2015,1,1
CLM-648397,SHOP-002,REPAIRED_AT,42930.0,3,30809.31,No,0.0,Yes,LKQ,Yes,6,1.0,0.9207,09/01/2015,09/01/2015,09/01/2015,3,1
CLM-154982,SHOP-007,REPAIRED_AT,41940.0,19,35310.08,Yes,0.0,No,Salvage Yard,Yes,1,1.0,0.8155,09/01/2015,02/01/2015,09/01/2015,3,1
CLM-330591,SHOP-005,REPAIRED_AT,64000.0,28,47958.35,No,0.0,No,Salvage Yard,Yes,8,1.0,0.8249,03/01/2015,04/01/2015,03/01/2015,3,1
CLM-319232,SHOP-007,REPAIRED_AT,72000.0,8,60525.36,Yes,14485.67,Yes,LKQ,Yes,5,1.0,0.822,04/01/2015,04/01/2015,04/01/2015,2,3
CLM-531640,SHOP-007,REPAIRED_AT,59580.0,28,62064.14,No,0.0,Yes,Salvage Yard,Yes,2,1.0,0.9097,06/01/2015,06/01/2015,06/01/2015,2,1
CLM-368050,SHOP-001,REPAIRED_AT,55440.0,25,37763.32,No,0.0,Yes,OEM Dealer,Yes,6,1.0,0.8132,02/01/2015,06/01/2015,02/01/2015,1,1
CLM-253791,SHOP-006,REPAIRED_AT,63800.0,9,65637.98,Yes,0.0,No,LKQ,Yes,5,1.0,0.928,04/01/2015,07/01/2015,04/01/2015,2,3
CLM-155724,SHOP-005,REPAIRED_AT,55440.0,21,65558.38,Yes,0.0,Yes,Salvage Yard,Yes,9,1.0,0.8726,01/01/2015,02/01/2015,01/01/2015,2,1
CLM-824540,SHOP-007,REPAIRED_AT,68560.0,4,56151.2,No,0.0,Yes,Aftermarket,Yes,4,1.0,0.8667,06/01/2015,07/01/2015,06/01/2015,1,1
CLM-717392,SHOP-005,REPAIRED_AT,35000.0,18,29654.81,No,0.0,No,Salvage Yard,Yes,1,1.0,0.8547,03/01/2015,05/01/2015,03/01/2015,1,3
CLM-965768,SHOP-005,REPAIRED_AT,33000.0,22,24999.53,No,0.0,Yes,LKQ,Yes,9,1.0,0.9738,04/01/2015,03/01/2015,04/01/2015,2,2
CLM-414779,SHOP-003,REPAIRED_AT,34560.0,19,38572.49,No,3982.23,Yes,Salvage Yard,Yes,3,1.0,0.8452,02/01/2015,01/01/2015,02/01/2015,2,1
CLM-428230,SHOP-006,REPAIRED_AT,3630.0,2,3565.63,No,0.0,No,Salvage Yard,Yes,10,0.121,0.097,03/01/2015,06/01/2015,03/01/2015,2,1
CLM-517240,SHOP-002,REPAIRED_AT,53200.0,13,49371.54,Yes,0.0,No,OEM Dealer,Yes,2,1.0,0.8754,05/01/2015,06/01/2015,05/01/2015,1,3
CLM-469874,SHOP-005,REPAIRED_AT,39760.0,4,40976.09,No,0.0,No,LKQ,Yes,8,1.0,0.9938,05/01/2015,06/01/2015,05/01/2015,3,1
CLM-718428,SHOP-002,REPAIRED_AT,70600.0,6,60790.81,Yes,0.0,No,Aftermarket,Yes,4,1.0,0.8757,08/01/2015,07/01/2015,08/01/2015,3,3
CLM-620215,SHOP-006,REPAIRED_AT,55350.0,30,57345.21,No,0.0,No,LKQ,Yes,2,1.0,0.821,04/01/2015,06/01/2015,04/01/2015,2,3
CLM-618659,SHOP-005,REPAIRED_AT,42500.0,18,38855.91,Yes,4889.83,Yes,Aftermarket,Yes,3,1.0,0.9851,02/01/2015,08/01/2015,02/01/2015,2,2
CLM-649082,SHOP-007,REPAIRED_AT,42120.0,16,32526.72,Yes,0.0,Yes,Aftermarket,Yes,9,1.0,0.8351,06/01/2015,05/01/2015,06/01/2015,2,2
CLM-437573,SHOP-005,REPAIRED_AT,60760.0,21,52072.67,No,3800.39,No,LKQ,Yes,6,1.0,0.9457,09/01/2015,01/01/2015,09/01/2015,2,3
CLM-964657,SHOP-002,REPAIRED_AT,55360.0,23,66746.2,No,0.0,No,Salvage Yard,Yes,2,1.0,0.8613,05/01/2015,03/01/2015,05/01/2015,3,2
CLM-932502,SHOP-002,REPAIRED_AT,3280.0,13,3254.83,No,0.0,No,LKQ,Yes,1,0.1093,0.1054,08/01/2015,06/01/2015,08/01/2015,2,1
CLM-434507,SHOP-003,REPAIRED_AT,58950.0,16,56084.25,No,4398.11,No,Salvage Yard,Yes,8,1.0,0.8979,08/01/2015,01/01/2015,08/01/2015,1,2
CLM-935277,SHOP-006,REPAIRED_AT,62280.0,4,71843.66,Yes,0.0,Yes,Salvage Yard,Yes,3,1.0,0.9058,07/01/2015,05/01/2015,07/01/2015,3,1
CLM-756054,SHOP-005,REPAIRED_AT,61300.0,7,61495.35,No,0.0,Yes,Aftermarket,Yes,1,1.0,0.9401,09/01/2015,03/01/2015,09/01/2015,2,1
CLM-682387,SHOP-007,REPAIRED_AT,42570.0,24,41019.03,No,0.0,No,LKQ,Yes,1,1.0,0.9731,07/01/2015,01/01/2015,07/01/2015,1,3
CLM-456604,SHOP-006,REPAIRED_AT,4700.0,25,3453.24,No,0.0,Yes,OEM Dealer,Yes,6,0.1567,0.1426,04/01/2015,02/01/2015,04/01/2015,2,1
CLM-139872,SHOP-005,REPAIRED_AT,6300.0,28,4821.05,No,0.0,Yes,LKQ,Yes,3,0.21,0.1935,05/01/2015,04/01/2015,05/01/2015,2,3
CLM-354105,SHOP-007,REPAIRED_AT,63720.0,23,68564.61,Yes,0.0,No,Salvage Yard,Yes,9,1.0,0.9793,03/01/2015,06/01/2015,03/01/2015,2,3
CLM-165485,SHOP-006,REPAIRED_AT,40560.0,18,36929.85,No,7812.12,No,OEM Dealer,Yes,8,1.0,0.8341,04/01/2015,09/01/2015,04/01/2015,1,1
CLM-515050,SHOP-002,REPAIRED_AT,91680.0,6,70958.37,No,0.0,Yes,LKQ,Yes,3,1.0,0.9893,05/01/2015,09/01/2015,05/01/2015,2,2
CLM-795686,SHOP-001,REPAIRED_AT,51200.0,5,59075.94,No,0.0,No,LKQ,Yes,2,1.0,0.8779,07/01/2015,06/01/2015,07/01/2015,2,1
CLM-395983,SHOP-003,REPAIRED_AT,42570.0,16,45160.63,No,0.0,Yes,Salvage Yard,Yes,3,1.0,0.869,02/01/2015,04/01/2015,02/01/2015,2,1
