:START_ID,:END_ID,:TYPE,engagement_date,case_type,contingency_agreement,litigation_initiated,settlement_reached,settlement_amount,representation_side,weight,connection_strength,first_seen_date,last_seen_date,event_time,interaction_count,shared_count
CLM-908616,LAW-004,REPRESENTED_BY,1/18/2015,Property,Yes,No,Pending,0.0,Claimant,0.0,0.0,1/18/2015,1/18/2015,1/18/2015,1,2
CLM-666333,LAW-002,REPRESENTED_BY,2/28/2015,Bodily Injury,Yes,No,Pending,0.0,Claimant,0.0,0.0,2/28/2015,2/28/2015,2/28/2015,3,5
CLM-336614,LAW-005,REPRESENTED_BY,2/24/2015,Bodily Injury,Yes,Yes,Yes,3351.57,Claimant,0.0168,0.0164,2/24/2015,2/24/2015,2/24/2015,8,4
CLM-584859,LAW-003,REPRESENTED_BY,1/9/2015,Bodily Injury,Yes,Yes,Pending,17871.98,Claimant,0.0894,0.0749,1/9/2015,1/9/2015,1/9/2015,8,5
CLM-990493,LAW-006,REPRESENTED_BY,2/12/2015,Property,No,No,Yes,14934.59,Claimant,0.0747,0.073,2/12/2015,2/12/2015,2/12/2015,7,3
CLM-129872,LAW-002,REPRESENTED_BY,1/24/2015,Bodily Injury,No,No,Pending,0.0,Claimant,0.0,0.0,1/24/2015,1/24/2015,1/24/2015,10,4
CLM-200152,LAW-004,REPRESENTED_BY,1/9/2015,Bodily Injury,Yes,Yes,Pending,8960.87,Claimant,0.0448,0.0393,1/9/2015,1/9/2015,1/9/2015,8,5
CLM-933293,LAW-004,REPRESENTED_BY,1/18/2015,Bodily Injury,No,No,Yes,0.0,Claimant,0.0,0.0,1/18/2015,1/18/2015,1/18/2015,5,4
CLM-485664,LAW-005,REPRESENTED_BY,1/21/2015,Bodily Injury,Yes,No,Pending,15748.28,Claimant,0.0787,0.078,1/21/2015,1/21/2015,1/21/2015,10,2
CLM-982871,LAW-003,REPRESENTED_BY,1/8/2015,Property,Yes,No,Pending,14956.04,Claimant,0.0748,0.061,1/8/2015,1/8/2015,1/8/2015,10,3
CLM-206213,LAW-004,REPRESENTED_BY,1/3/2015,Bodily Injury,Yes,No,Pending,7500.5,Claimant,0.0375,0.0312,1/3/2015,1/3/2015,1/3/2015,6,3
CLM-616337,LAW-004,REPRESENTED_BY,1/1/2015,Bodily Injury,Yes,No,Yes,13649.49,Claimant,0.0682,0.0561,1/1/2015,1/1/2015,1/1/2015,7,5
CLM-448961,LAW-002,REPRESENTED_BY,1/16/2015,Bodily Injury,Yes,Yes,Yes,0.0,Claimant,0.0,0.0,1/16/2015,1/16/2015,1/16/2015,5,4
CLM-790442,LAW-001,REPRESENTED_BY,2/10/2015,Bodily Injury,No,No,Pending,4829.95,Claimant,0.0241,0.02,2/10/2015,2/10/2015,2/10/2015,2,4
CLM-108844,LAW-003,REPRESENTED_BY,2/14/2015,Property,No,No,No,9456.42,Claimant,0.0473,0.0398,2/14/2015,2/14/2015,2/14/2015,3,4
CLM-430029,LAW-004,REPRESENTED_BY,2/21/2015,Bodily Injury,Yes,No,Yes,6483.02,Claimant,0.0324,0.0321,2/21/2015,2/21/2015,2/21/2015,3,3
CLM-529112,LAW-007,REPRESENTED_BY,2/18/2015,Bodily Injury,Yes,Yes,Yes,0.0,Claimant,0.0,0.0,2/18/2015,2/18/2015,2/18/2015,1,5
CLM-939631,LAW-004,REPRESENTED_BY,1/10/2015,Bodily Injury,Yes,No,Yes,5243.67,Claimant,0.0262,0.0231,1/10/2015,1/10/2015,1/10/2015,4,4
CLM-866931,LAW-004,REPRESENTED_BY,2/26/2015,Bodily Injury,Yes,Yes,Yes,806.24,Claimant,0.004,0.0037,2/26/2015,2/26/2015,2/26/2015,2,5
CLM-582011,LAW-006,REPRESENTED_BY,1/1/2015,Property,Yes,No,Pending,0.0,Claimant,0.0,0.0,1/1/2015,1/1/2015,1/1/2015,1,1
CLM-691189,LAW-002,REPRESENTED_BY,1/3/2015,Property,Yes,Yes,Yes,0.0,Claimant,0.0,0.0,1/3/2015,1/3/2015,1/3/2015,4,2
CLM-537546,LAW-005,REPRESENTED_BY,1/17/2015,Bodily Injury,Yes,No,No,1579.77,Claimant,0.0079,0.007,1/17/2015,1/17/2015,1/17/2015,1,2
CLM-394975,LAW-002,REPRESENTED_BY,2/22/2015,Bodily Injury,Yes,No,Yes,352.04,Claimant,0.0018,0.0017,2/22/2015,2/22/2015,2/22/2015,4,2
CLM-729634,LAW-003,REPRESENTED_BY,1/27/2015,Bodily Injury,Yes,No,No,13285.92,Claimant,0.0664,0.0534,1/27/2015,1/27/2015,1/27/2015,8,4
CLM-420810,LAW-005,REPRESENTED_BY,1/6/2015,Bodily Injury,Yes,No,No,19709.24,Claimant,0.0985,0.0825,1/6/2015,1/6/2015,1/6/2015,3,2
CLM-524836,LAW-001,REPRESENTED_BY,2/28/2015,Bodily Injury,Yes,Yes,No,0.0,Claimant,0.0,0.0,2/28/2015,2/28/2015,2/28/2015,4,4
CLM-307195,LAW-004,REPRESENTED_BY,2/22/2015,Bodily Injury,Yes,Yes,Pending,317.82,Claimant,0.0016,0.0015,2/22/2015,2/22/2015,2/22/2015,7,2
CLM-623648,LAW-002,REPRESENTED_BY,1/7/2015,Property,Yes,Yes,Yes,0.0,Claimant,0.0,0.0,1/7/2015,1/7/2015,1/7/2015,9,3
CLM-485372,LAW-003,REPRESENTED_BY,1/6/2015,Bodily Injury,Yes,No,No,0.0,Claimant,0.0,0.0,1/6/2015,1/6/2015,1/6/2015,4,4
CLM-598554,LAW-004,REPRESENTED_BY,1/10/2015,Bodily Injury,Yes,No,No,15417.81,Claimant,0.0771,0.0669,1/10/2015,1/10/2015,1/10/2015,2,4
CLM-303987,LAW-001,REPRESENTED_BY,2/11/2015,Property,No,No,No,6001.04,Claimant,0.03,0.0275,2/11/2015,2/11/2015,2/11/2015,5,5
CLM-343161,LAW-007,REPRESENTED_BY,1/12/2015,Property,No,No,Yes,0.0,Claimant,0.0,0.0,1/12/2015,1/12/2015,1/12/2015,8,2
CLM-519312,LAW-001,REPRESENTED_BY,2/6/2015,Bodily Injury,Yes,Yes,No,0.0,Claimant,0.0,0.0,2/6/2015,2/6/2015,2/6/2015,3,3
CLM-132902,LAW-006,REPRESENTED_BY,1/20/2015,Property,Yes,Yes,No,0.0,Claimant,0.0,0.0,1/20/2015,1/20/2015,1/20/2015,8,3
CLM-332867,LAW-007,REPRESENTED_BY,2/22/2015,Bodily Injury,No,Yes,Yes,13277.16,Claimant,0.0664,0.062,2/22/2015,2/22/2015,2/22/2015,7,5
CLM-356590,LAW-003,REPRESENTED_BY,1/30/2015,Property,Yes,No,Yes,16697.78,Claimant,0.0835,0.0757,1/30/2015,1/30/2015,1/30/2015,1,1
CLM-346002,LAW-003,REPRESENTED_BY,2/2/2015,Bodily Injury,No,No,No,0.0,Claimant,0.0,0.0,2/2/2015,2/2/2015,2/2/2015,2,2
CLM-500533,LAW-003,REPRESENTED_BY,1/10/2015,Property,No,No,Pending,16091.73,Claimant,0.0805,0.0718,1/10/2015,1/10/2015,1/10/2015,3,1
CLM-486676,LAW-006,REPRESENTED_BY,2/20/2015,Bodily Injury,Yes,No,No,0.0,Claimant,0.0,0.0,2/20/2015,2/20/2015,2/20/2015,3,3
CLM-260845,LAW-003,REPRESENTED_BY,2/8/2015,Property,No,No,Pending,9595.2,Claimant,0.048,0.047,2/8/2015,2/8/2015,2/8/2015,8,4
CLM-657045,LAW-006,REPRESENTED_BY,2/11/2015,Bodily Injury,Yes,No,Yes,4478.28,Claimant,0.0224,0.0193,2/11/2015,2/11/2015,2/11/2015,8,5
CLM-761189,LAW-007,REPRESENTED_BY,2/23/2015,Bodily Injury,Yes,Yes,Pending,8748.16,Claimant,0.0437,0.0419,2/23/2015,2/23/2015,2/23/2015,8,3
CLM-175177,LAW-006,REPRESENTED_BY,3/1/2015,Bodily Injury,Yes,Yes,No,0.0,Claimant,0.0,0.0,3/1/2015,3/1/2015,3/1/2015,1,2
CLM-116700,LAW-003,REPRESENTED_BY,1/15/2015,Bodily Injury,Yes,No,Pending,10299.7,Claimant,0.0515,0.045,1/15/2015,1/15/2015,1/15/2015,8,5
CLM-166264,LAW-004,REPRESENTED_BY,1/14/2015,Bodily Injury,Yes,No,No,14194.51,Claimant,0.071,0.0609,1/14/2015,1/14/2015,1/14/2015,10,1
CLM-527945,LAW-005,REPRESENTED_BY,2/17/2015,Property,Yes,No,Pending,0.0,Claimant,0.0,0.0,2/17/2015,2/17/2015,2/17/2015,4,4
CLM-627540,LAW-003,REPRESENTED_BY,1/24/2015,Bodily Injury,Yes,No,Pending,1461.6,Claimant,0.0073,0.0061,1/24/2015,1/24/2015,1/24/2015,4,5
CLM-279422,LAW-006,REPRESENTED_BY,1/21/2015,Bodily Injury,No,Yes,Yes,0.0,Claimant,0.0,0.0,1/21/2015,1/21/2015,1/21/2015,5,5
CLM-484200,LAW-003,REPRESENTED_BY,2/19/2015,Bodily Injury,Yes,No,Yes,9072.75,Claimant,0.0454,0.045,2/19/2015,2/19/2015,2/19/2015,10,3
CLM-645258,LAW-003,REPRESENTED_BY,1/3/2015,Bodily Injury,Yes,Yes,Yes,748.99,Claimant,0.0037,0.0034,1/3/2015,1/3/2015,1/3/2015,7,4
CLM-694662,LAW-004,REPRESENTED_BY,1/29/2015,Bodily Injury,Yes,No,Pending,0.0,Claimant,0.0,0.0,1/29/2015,1/29/2015,1/29/2015,1,4
CLM-498140,LAW-001,REPRESENTED_BY,1/19/2015,Bodily Injury,Yes,Yes,Yes,7988.72,Claimant,0.0399,0.0362,1/19/2015,1/19/2015,1/19/2015,6,4
CLM-498875,LAW-005,REPRESENTED_BY,2/2/2015,Property,Yes,No,Yes,0.0,Claimant,0.0,0.0,2/2/2015,2/2/2015,2/2/2015,1,4
CLM-798177,LAW-005,REPRESENTED_BY,1/30/2015,Bodily Injury,Yes,No,Pending,0.0,Claimant,0.0,0.0,1/30/2015,1/30/2015,1/30/2015,2,4
CLM-614763,LAW-003,REPRESENTED_BY,1/8/2015,Bodily Injury,No,No,Yes,0.0,Claimant,0.0,0.0,1/8/2015,1/8/2015,1/8/2015,7,3
CLM-958857,LAW-005,REPRESENTED_BY,1/7/2015,Bodily Injury,No,No,Yes,0.0,Claimant,0.0,0.0,1/7/2015,1/7/2015,1/7/2015,7,4
CLM-686816,LAW-003,REPRESENTED_BY,2/24/2015,Bodily Injury,Yes,No,Yes,0.0,Claimant,0.0,0.0,2/24/2015,2/24/2015,2/24/2015,8,3
CLM-127754,LAW-003,REPRESENTED_BY,2/2/2015,Property,Yes,No,Yes,12600.69,Claimant,0.063,0.0524,2/2/2015,2/2/2015,2/2/2015,10,3
CLM-731450,LAW-004,REPRESENTED_BY,2/9/2015,Bodily Injury,Yes,No,Pending,8408.73,Claimant,0.042,0.0346,2/9/2015,2/9/2015,2/9/2015,10,4
CLM-307447,LAW-004,REPRESENTED_BY,1/19/2015,Bodily Injury,Yes,No,Yes,0.0,Claimant,0.0,0.0,1/19/2015,1/19/2015,1/19/2015,9,1
CLM-992145,LAW-003,REPRESENTED_BY,2/21/2015,Bodily Injury,No,No,No,0.0,Claimant,0.0,0.0,2/21/2015,2/21/2015,2/21/2015,5,2
CLM-900628,LAW-006,REPRESENTED_BY,1/14/2015,Property,Yes,No,Pending,0.0,Claimant,0.0,0.0,1/14/2015,1/14/2015,1/14/2015,1,4
CLM-235220,LAW-003,REPRESENTED_BY,1/22/2015,Bodily Injury,Yes,No,No,8437.64,Claimant,0.0422,0.0369,1/22/2015,1/22/2015,1/22/2015,8,2
CLM-740019,LAW-007,REPRESENTED_BY,2/22/2015,Bodily Injury,No,No,Yes,788.31,Claimant,0.0039,0.0033,2/22/2015,2/22/2015,2/22/2015,7,3
CLM-797613,LAW-004,REPRESENTED_BY,1/24/2015,Property,No,No,Pending,21391.57,Claimant,0.107,0.1007,1/24/2015,1/24/2015,1/24/2015,8,1
CLM-193442,LAW-001,REPRESENTED_BY,2/19/2015,Bodily Injury,No,Yes,Yes,9711.08,Claimant,0.0486,0.0453,2/19/2015,2/19/2015,2/19/2015,9,3
CLM-389238,LAW-007,REPRESENTED_BY,1/29/2015,Bodily Injury,Yes,No,Pending,0.0,Claimant,0.0,0.0,1/29/2015,1/29/2015,1/29/2015,10,1
CLM-760179,LAW-003,REPRESENTED_BY,2/15/2015,Bodily Injury,No,Yes,No,404.72,Claimant,0.002,0.0017,2/15/2015,2/15/2015,2/15/2015,10,3
CLM-939905,LAW-002,REPRESENTED_BY,2/12/2015,Property,Yes,No,Yes,16748.54,Claimant,0.0837,0.0745,2/12/2015,2/12/2015,2/12/2015,8,5
CLM-872814,LAW-004,REPRESENTED_BY,1/1/2015,Bodily Injury,Yes,No,Pending,612.85,Claimant,0.0031,0.0031,1/1/2015,1/1/2015,1/1/2015,4,5
CLM-632627,LAW-003,REPRESENTED_BY,1/13/2015,Property,No,No,Pending,8632.11,Claimant,0.0432,0.0392,1/13/2015,1/13/2015,1/13/2015,1,5
CLM-283414,LAW-002,REPRESENTED_BY,3/1/2015,Bodily Injury,No,No,No,9610.74,Claimant,0.0481,0.0396,3/1/2015,3/1/2015,3/1/2015,9,1
CLM-163161,LAW-004,REPRESENTED_BY,2/2/2015,Property,Yes,Yes,Pending,0.0,Claimant,0.0,0.0,2/2/2015,2/2/2015,2/2/2015,1,3
CLM-853360,LAW-006,REPRESENTED_BY,1/27/2015,Property,Yes,No,Yes,4645.45,Claimant,0.0232,0.0229,1/27/2015,1/27/2015,1/27/2015,7,2
CLM-776860,LAW-005,REPRESENTED_BY,1/12/2015,Bodily Injury,No,No,Pending,6257.71,Claimant,0.0313,0.0299,1/12/2015,1/12/2015,1/12/2015,10,1
CLM-149367,LAW-001,REPRESENTED_BY,1/6/2015,Property,No,No,Pending,0.0,Claimant,0.0,0.0,1/6/2015,1/6/2015,1/6/2015,6,1
CLM-395269,LAW-001,REPRESENTED_BY,1/30/2015,Bodily Injury,Yes,No,No,0.0,Claimant,0.0,0.0,1/30/2015,1/30/2015,1/30/2015,9,1
CLM-981123,LAW-003,REPRESENTED_BY,3/1/2015,Bodily Injury,Yes,No,Yes,0.0,Claimant,0.0,0.0,3/1/2015,3/1/2015,3/1/2015,2,3
CLM-143626,LAW-004,REPRESENTED_BY,2/24/2015,Bodily Injury,Yes,No,No,0.0,Claimant,0.0,0.0,2/24/2015,2/24/2015,2/24/2015,5,1
CLM-648397,LAW-002,REPRESENTED_BY,1/24/2015,Property,Yes,Yes,Yes,0.0,Claimant,0.0,0.0,1/24/2015,1/24/2015,1/24/2015,7,5
CLM-154982,LAW-007,REPRESENTED_BY,2/26/2015,Property,No,No,Yes,0.0,Claimant,0.0,0.0,2/26/2015,2/26/2015,2/26/2015,8,2
CLM-330591,LAW-005,REPRESENTED_BY,1/19/2015,Bodily Injury,No,No,No,0.0,Claimant,0.0,0.0,1/19/2015,1/19/2015,1/19/2015,2,3
CLM-319232,LAW-007,REPRESENTED_BY,1/17/2015,Bodily Injury,Yes,No,Yes,16161.48,Claimant,0.0808,0.0694,1/17/2015,1/17/2015,1/17/2015,8,2
CLM-531640,LAW-007,REPRESENTED_BY,2/20/2015,Property,Yes,No,Pending,0.0,Claimant,0.0,0.0,2/20/2015,2/20/2015,2/20/2015,10,3
CLM-368050,LAW-001,REPRESENTED_BY,2/22/2015,Bodily Injury,Yes,No,Yes,20033.51,Claimant,0.1002,0.0996,2/22/2015,2/22/2015,2/22/2015,6,3
CLM-253791,LAW-006,REPRESENTED_BY,1/23/2015,Bodily Injury,No,Yes,No,15611.86,Claimant,0.0781,0.0743,1/23/2015,1/23/2015,1/23/2015,8,3
CLM-155724,LAW-005,REPRESENTED_BY,1/31/2015,Property,No,No,Yes,0.0,Claimant,0.0,0.0,1/31/2015,1/31/2015,1/31/2015,7,3
CLM-824540,LAW-007,REPRESENTED_BY,1/5/2015,Bodily Injury,Yes,No,Pending,9363.49,Claimant,0.0468,0.0437,1/5/2015,1/5/2015,1/5/2015,1,2
CLM-717392,LAW-005,REPRESENTED_BY,2/3/2015,Bodily Injury,Yes,Yes,Pending,8529.91,Claimant,0.0426,0.0409,2/3/2015,2/3/2015,2/3/2015,3,5
CLM-965768,LAW-005,REPRESENTED_BY,2/17/2015,Bodily Injury,Yes,No,Pending,0.0,Claimant,0.0,0.0,2/17/2015,2/17/2015,2/17/2015,5,2
CLM-414779,LAW-003,REPRESENTED_BY,1/9/2015,Property,Yes,No,Pending,7421.71,Claimant,0.0371,0.0365,1/9/2015,1/9/2015,1/9/2015,4,5
CLM-428230,LAW-006,REPRESENTED_BY,2/8/2015,Bodily Injury,No,No,No,278.93,Claimant,0.0014,0.0012,2/8/2015,2/8/2015,2/8/2015,8,3
CLM-517240,LAW-002,REPRESENTED_BY,2/6/2015,Property,Yes,No,Yes,15405.42,Claimant,0.077,0.0633,2/6/2015,2/6/2015,2/6/2015,6,1
CLM-469874,LAW-005,REPRESENTED_BY,1/14/2015,Bodily Injury,Yes,No,No,6073.56,Claimant,0.0304,0.0272,1/14/2015,1/14/2015,1/14/2015,8,3
CLM-718428,LAW-002,REPRESENTED_BY,1/22/2015,Bodily Injury,No,No,Yes,0.0,Claimant,0.0,0.0,1/22/2015,1/22/2015,1/22/2015,4,3
CLM-620215,LAW-006,REPRESENTED_BY,2/23/2015,Bodily Injury,Yes,No,Yes,7462.5,Claimant,0.0373,0.0349,2/23/2015,2/23/2015,2/23/2015,9,3
CLM-618659,LAW-005,REPRESENTED_BY,2/22/2015,Property,No,No,Yes,10542.8,Claimant,0.0527,0.0434,2/22/2015,2/22/2015,2/22/2015,4,4
CLM-649082,LAW-007,REPRESENTED_BY,1/24/2015,Bodily Injury,Yes,No,No,0.0,Claimant,0.0,0.0,1/24/2015,1/24/2015,1/24/2015,10,4
CLM-437573,LAW-005,REPRESENTED_BY,2/9/2015,Bodily Injury,No,No,No,0.0,Claimant,0.0,0.0,2/9/2015,2/9/2015,2/9/2015,6,5
CLM-964657,LAW-002,REPRESENTED_BY,1/19/2015,Bodily Injury,No,Yes,No,11548.03,Claimant,0.0577,0.0487,1/19/2015,1/19/2015,1/19/2015,10,1
CLM-434507,LAW-003,REPRESENTED_BY,1/7/2015,Property,Yes,No,Pending,8868.7,Claimant,0.0443,0.0386,1/7/2015,1/7/2015,1/7/2015,8,4
CLM-935277,LAW-006,REPRESENTED_BY,2/1/2015,Bodily Injury,No,No,Yes,18331.61,Claimant,0.0917,0.0793,2/1/2015,2/1/2015,2/1/2015,3,5
CLM-756054,LAW-005,REPRESENTED_BY,2/21/2015,Property,Yes,No,Pending,18367.67,Claimant,0.0918,0.0846,2/21/2015,2/21/2015,2/21/2015,5,2
CLM-682387,LAW-007,REPRESENTED_BY,1/21/2015,Property,Yes,No,Yes,0.0,Claimant,0.0,0.0,1/21/2015,1/21/2015,1/21/2015,7,4
CLM-456604,LAW-006,REPRESENTED_BY,1/19/2015,Bodily Injury,Yes,No,No,0.0,Claimant,0.0,0.0,1/19/2015,1/19/2015,1/19/2015,7,2
CLM-139872,LAW-005,REPRESENTED_BY,2/27/2015,Bodily Injury,Yes,No,Pending,1703.63,Claimant,0.0085,0.0081,2/27/2015,2/27/2015,2/27/2015,6,2
CLM-354105,LAW-007,REPRESENTED_BY,2/14/2015,Bodily Injury,Yes,No,Yes,8430.01,Claimant,0.0422,0.0402,2/14/2015,2/14/2015,2/14/2015,8,2
CLM-165485,LAW-006,REPRESENTED_BY,2/1/2015,Property,Yes,No,No,6343.13,Claimant,0.0317,0.0266,2/1/2015,2/1/2015,2/1/2015,3,4
CLM-515050,LAW-002,REPRESENTED_BY,2/2/2015,Bodily Injury,Yes,No,Pending,9769.33,Claimant,0.0488,0.0399,2/2/2015,2/2/2015,2/2/2015,10,2
CLM-795686,LAW-001,REPRESENTED_BY,2/1/2015,Bodily Injury,Yes,Yes,No,0.0,Claimant,0.0,0.0,2/1/2015,2/1/2015,2/1/2015,4,5
CLM-395983,LAW-003,REPRESENTED_BY,1/19/2015,Bodily Injury,Yes,No,Pending,0.0,Claimant,0.0,0.0,1/19/2015,1/19/2015,1/19/2015,5,5
CLM-119513,LAW-003,REPRESENTED_BY,2/18/2015,Bodily Injury,Yes,No,Yes,0.0,Claimant,0.0,0.0,2/18/2015,2/18/2015,2/18/2015,2,5
CLM-217938,LAW-003,REPRESENTED_BY,2/8/2015,Bodily Injury,Yes,No,Pending,0.0,Claimant,0.0,0.0,2/8/2015,2/8/2015,2/8/2015,8,4
CLM-203914,LAW-002,REPRESENTED_BY,1/9/2015,Bodily Injury,Yes,No,Pending,0.0,Claimant,0.0,0.0,1/9/2015,1/9/2015,1/9/2015,3,4
CLM-565157,LAW-006,REPRESENTED_BY,2/27/2015,Bodily Injury,Yes,No,Pending,12544.96,Claimant,0.0627,0.0563,2/27/2015,2/27/2015,2/27/2015,3,3
CLM-904191,LAW-006,REPRESENTED_BY,1/8/2015,Bodily Injury,Yes,No,Yes,7945.03,Claimant,0.0397,0.0365,1/8/2015,1/8/2015,1/8/2015,4,1
CLM-419510,LAW-007,REPRESENTED_BY,1/8/2015,Bodily Injury,No,No,No,15273.51,Claimant,0.0764,0.0689,1/8/2015,1/8/2015,1/8/2015,3,3
CLM-575000,LAW-006,REPRESENTED_BY,2/24/2015,Bodily Injury,Yes,Yes,No,0.0,Claimant,0.0,0.0,2/24/2015,2/24/2015,2/24/2015,10,2
CLM-120485,LAW-007,REPRESENTED_BY,2/12/2015,Bodily Injury,Yes,Yes,No,0.0,Claimant,0.0,0.0,2/12/2015,2/12/2015,2/12/2015,8,4
CLM-781181,LAW-007,REPRESENTED_BY,2/18/2015,Bodily Injury,Yes,Yes,No,0.0,Claimant,0.0,0.0,2/18/2015,2/18/2015,2/18/2015,2,4
CLM-299796,LAW-006,REPRESENTED_BY,2/6/2015,Bodily Injury,Yes,No,Yes,1124.68,Claimant,0.0056,0.0053,2/6/2015,2/6/2015,2/6/2015,7,2
CLM-589749,LAW-006,REPRESENTED_BY,2/14/2015,Bodily Injury,Yes,No,No,0.0,Claimant,0.0,0.0,2/14/2015,2/14/2015,2/14/2015,8,4
CLM-854021,LAW-001,REPRESENTED_BY,2/5/2015,Bodily Injury,No,No,Yes,1575.39,Claimant,0.0079,0.0069,2/5/2015,2/5/2015,2/5/2015,5,4
CLM-454086,LAW-003,REPRESENTED_BY,1/25/2015,Bodily Injury,Yes,No,Pending,0.0,Claimant,0.0,0.0,1/25/2015,1/25/2015,1/25/2015,4,5
