:ID,:LABEL,entity_id,entity_type,degree_centrality,betweenness_centrality,pagerank_score,community_id,ring_suspicion_score,neighbor_fraud_rate,hop_2_fraud_count,shared_entity_count,claim_velocity_score,network_repeat_score,closed_loop_flag,cross_role_flag,computed_at
NF-CLM-183430,NetworkFeature,CLM-183430,Claim,0.05,0.3401,0.493,,0.003,0.298,3,3,0.09,0.19,No,No,2015-03-01
NF-CLM-431876,NetworkFeature,CLM-431876,Claim,0.15,0.0393,0.2213,,0.276,0.12,2,0,0.11,0.02,No,No,2015-03-01
NF-CLM-285496,NetworkFeature,CLM-285496,Claim,0.15,0.4798,0.7976,RING-012,0.712,0.583,7,3,0.75,0.94,Yes,No,2015-03-01
NF-CLM-115399,NetworkFeature,CLM-115399,Claim,0.2,0.5478,0.8307,RING-017,0.692,0.629,6,2,0.68,0.95,Yes,Yes,2015-03-01
NF-CLM-736882,NetworkFeature,CLM-736882,Claim,0.35,0.3561,0.495,,0.351,0.009,3,3,0.22,0.11,No,No,2015-03-01
NF-CLM-699044,NetworkFeature,CLM-699044,Claim,0.35,0.3841,0.9412,RING-007,0.714,0.456,8,8,0.66,0.93,Yes,Yes,2015-03-01
NF-CLM-863236,NetworkFeature,CLM-863236,Claim,0.4,0.3545,0.3713,,0.235,0.168,3,0,0.24,0.02,No,No,2015-03-01
NF-CLM-608513,NetworkFeature,CLM-608513,Claim,0.1,0.4849,0.9852,RING-011,0.843,0.526,4,4,0.78,0.57,No,No,2015-03-01
NF-CLM-914088,NetworkFeature,CLM-914088,Claim,0.25,0.1048,0.4111,,0.359,0.052,0,1,0.07,0.22,No,No,2015-03-01
NF-CLM-596785,NetworkFeature,CLM-596785,Claim,0.35,0.1109,0.0303,,0.092,0.083,0,3,0.4,0.08,No,No,2015-03-01
NF-CLM-908616,NetworkFeature,CLM-908616,Claim,0.25,0.3995,0.4912,,0.301,0.154,2,1,0.23,0.34,No,No,2015-03-01
NF-CLM-666333,NetworkFeature,CLM-666333,Claim,0.3,0.0549,0.9533,,0.289,0.621,3,2,0.61,0.99,No,No,2015-03-01
NF-CLM-336614,NetworkFeature,CLM-336614,Claim,0.3,0.2057,0.0291,,0.294,0.104,3,3,0.1,0.47,No,No,2015-03-01
NF-CLM-584859,NetworkFeature,CLM-584859,Claim,0.2,0.1429,0.1704,,0.356,0.168,2,0,0.38,0.14,No,No,2015-03-01
NF-CLM-990493,NetworkFeature,CLM-990493,Claim,0.25,0.242,0.3248,,0.231,0.032,0,1,0.22,0.21,No,No,2015-03-01
NF-CLM-129872,NetworkFeature,CLM-129872,Claim,0.3,0.6107,0.7313,RING-002,0.869,0.869,9,2,0.54,0.66,No,No,2015-03-01
NF-CLM-200152,NetworkFeature,CLM-200152,Claim,0.2,0.4295,0.7447,RING-017,0.657,0.541,4,2,0.75,0.74,No,No,2015-03-01
NF-CLM-933293,NetworkFeature,CLM-933293,Claim,0.2,0.2407,0.3078,,0.065,0.044,2,3,0.33,0.37,No,No,2015-03-01
NF-CLM-485664,NetworkFeature,CLM-485664,Claim,0.15,0.2455,0.4279,,0.307,0.181,3,0,0.1,0.1,No,No,2015-03-01
NF-CLM-982871,NetworkFeature,CLM-982871,Claim,0.3,0.4385,0.9326,RING-004,0.616,0.811,8,3,0.81,0.65,Yes,No,2015-03-01
NF-CLM-206213,NetworkFeature,CLM-206213,Claim,0.25,0.1467,0.3188,,0.048,0.088,0,3,0.37,0.47,No,No,2015-03-01
NF-CLM-616337,NetworkFeature,CLM-616337,Claim,0.25,0.7488,0.9231,RING-015,0.712,0.756,5,5,0.64,0.7,No,No,2015-03-01
NF-CLM-448961,NetworkFeature,CLM-448961,Claim,0.25,0.3621,0.0186,,0.145,0.264,0,0,0.01,0.22,No,No,2015-03-01
NF-CLM-790442,NetworkFeature,CLM-790442,Claim,0.2,0.2317,0.1596,,0.064,0.111,2,0,0.07,0.02,No,No,2015-03-01
NF-CLM-108844,NetworkFeature,CLM-108844,Claim,0.3,0.0527,0.1075,,0.154,0.191,2,0,0.21,0.19,No,No,2015-03-01
NF-CLM-430029,NetworkFeature,CLM-430029,Claim,0.4,0.3059,0.4969,,0.089,0.242,1,2,0.33,0.24,No,No,2015-03-01
NF-CLM-529112,NetworkFeature,CLM-529112,Claim,0.2,0.2801,0.2136,,0.189,0.204,0,0,0.33,0.47,No,No,2015-03-01
NF-CLM-939631,NetworkFeature,CLM-939631,Claim,0.15,0.7029,0.7266,RING-001,0.531,0.651,3,3,0.54,0.91,No,No,2015-03-01
NF-CLM-866931,NetworkFeature,CLM-866931,Claim,0.1,0.0949,0.1498,,0.246,0.059,2,2,0.02,0.06,No,No,2015-03-01
NF-CLM-582011,NetworkFeature,CLM-582011,Claim,0.15,0.1819,0.4319,,0.163,0.012,0,2,0.07,0.07,No,No,2015-03-01
NF-CLM-691189,NetworkFeature,CLM-691189,Claim,0.3,0.2961,0.444,,0.093,0.107,1,3,0.27,0.02,No,No,2015-03-01
NF-CLM-537546,NetworkFeature,CLM-537546,Claim,0.2,0.2177,0.1012,,0.204,0.084,0,2,0.32,0.01,No,No,2015-03-01
NF-CLM-394975,NetworkFeature,CLM-394975,Claim,0.25,0.1524,0.0348,,0.136,0.206,0,2,0.18,0.3,No,No,2015-03-01
NF-CLM-729634,NetworkFeature,CLM-729634,Claim,0.25,0.1706,0.1118,,0.124,0.074,0,1,0.16,0.15,No,No,2015-03-01
NF-CLM-282195,NetworkFeature,CLM-282195,Claim,0.15,0.1909,0.4021,,0.19,0.083,2,0,0.12,0.25,No,No,2015-03-01
NF-CLM-420810,NetworkFeature,CLM-420810,Claim,0.2,0.1504,0.011,,0.248,0.164,1,0,0.09,0.25,No,No,2015-03-01
NF-CLM-524836,NetworkFeature,CLM-524836,Claim,0.3,0.1915,0.0313,,0.202,0.072,1,0,0.32,0.42,No,No,2015-03-01
NF-CLM-307195,NetworkFeature,CLM-307195,Claim,0.25,0.2282,0.4305,,0.226,0.073,1,3,0.39,0.32,No,No,2015-03-01
NF-CLM-623648,NetworkFeature,CLM-623648,Claim,0.2,0.1094,0.432,,0.207,0.047,0,2,0.37,0.13,No,No,2015-03-01
NF-CLM-485372,NetworkFeature,CLM-485372,Claim,0.15,0.1221,0.3979,,0.33,0.106,2,2,0.25,0.35,No,No,2015-03-01
NF-CLM-598554,NetworkFeature,CLM-598554,Claim,0.3,0.2496,0.6741,,0.045,0.419,3,6,0.8,0.74,Yes,No,2015-03-01
NF-CLM-303987,NetworkFeature,CLM-303987,Claim,0.35,0.1607,0.2553,,0.186,0.253,0,3,0.03,0.44,No,No,2015-03-01
NF-CLM-343161,NetworkFeature,CLM-343161,Claim,0.45,0.3743,0.2454,,0.087,0.044,0,0,0.2,0.23,No,No,2015-03-01
NF-CLM-519312,NetworkFeature,CLM-519312,Claim,0.4,0.8388,0.9429,RING-007,0.935,0.756,10,3,0.84,0.71,No,Yes,2015-03-01
NF-CLM-132902,NetworkFeature,CLM-132902,Claim,0.1,0.7448,0.763,RING-005,0.601,0.866,10,7,0.58,0.89,No,No,2015-03-01
NF-CLM-332867,NetworkFeature,CLM-332867,Claim,0.3,0.6234,0.7395,RING-004,0.628,0.502,3,2,0.74,0.77,Yes,No,2015-03-01
NF-CLM-356590,NetworkFeature,CLM-356590,Claim,0.15,0.3332,0.625,RING-004,0.9,0.875,3,6,0.97,0.5,No,Yes,2015-03-01
NF-CLM-346002,NetworkFeature,CLM-346002,Claim,0.15,0.2932,0.4139,,0.339,0.14,1,1,0.31,0.36,No,No,2015-03-01
NF-CLM-500533,NetworkFeature,CLM-500533,Claim,0.35,0.2696,0.2002,,0.392,0.149,3,3,0.13,0.02,No,No,2015-03-01
NF-CLM-348209,NetworkFeature,CLM-348209,Claim,0.15,0.1983,0.1236,,0.322,0.045,0,2,0.39,0.37,No,No,2015-03-01
NF-CLM-486676,NetworkFeature,CLM-486676,Claim,0.4,0.0751,0.8626,,0.167,0.442,0,6,0.63,0.63,No,No,2015-03-01
NF-CLM-260845,NetworkFeature,CLM-260845,Claim,0.2,0.2153,0.6602,,0.271,0.804,3,6,0.65,0.92,No,No,2015-03-01
NF-CLM-657045,NetworkFeature,CLM-657045,Claim,0.3,0.1585,0.203,,0.281,0.015,2,3,0.19,0.36,No,No,2015-03-01
NF-CLM-761189,NetworkFeature,CLM-761189,Claim,0.2,0.1391,0.4264,,0.167,0.264,3,0,0.05,0.37,No,No,2015-03-01
NF-CLM-175177,NetworkFeature,CLM-175177,Claim,0.2,0.2367,0.0599,,0.218,0.154,3,1,0.39,0.01,No,No,2015-03-01
NF-CLM-116700,NetworkFeature,CLM-116700,Claim,0.25,0.3374,0.1646,,0.356,0.104,0,2,0.12,0.38,No,No,2015-03-01
NF-CLM-166264,NetworkFeature,CLM-166264,Claim,0.35,0.18,0.0451,,0.29,0.123,3,0,0.26,0.17,No,No,2015-03-01
NF-CLM-527945,NetworkFeature,CLM-527945,Claim,0.2,0.0142,0.0469,,0.248,0.232,3,3,0.39,0.19,No,No,2015-03-01
NF-CLM-627540,NetworkFeature,CLM-627540,Claim,0.3,0.0396,0.4112,,0.312,0.073,2,3,0.16,0.4,No,No,2015-03-01
NF-CLM-279422,NetworkFeature,CLM-279422,Claim,0.25,0.0751,0.6324,,0.154,0.772,1,2,0.51,0.58,Yes,No,2015-03-01
NF-CLM-484200,NetworkFeature,CLM-484200,Claim,0.25,0.2655,0.2331,,0.354,0.264,2,1,0.02,0.28,No,No,2015-03-01
NF-CLM-645258,NetworkFeature,CLM-645258,Claim,0.2,0.0473,0.2705,,0.235,0.124,2,1,0.24,0.43,No,No,2015-03-01
NF-CLM-694662,NetworkFeature,CLM-694662,Claim,0.25,0.0918,0.2852,,0.157,0.139,2,3,0.04,0.18,No,No,2015-03-01
NF-CLM-960680,NetworkFeature,CLM-960680,Claim,0.35,0.3997,0.4309,,0.249,0.129,1,2,0.28,0.48,No,No,2015-03-01
NF-CLM-498140,NetworkFeature,CLM-498140,Claim,0.4,0.7416,0.5838,RING-009,0.725,0.722,3,5,0.87,0.86,No,No,2015-03-01
NF-CLM-498875,NetworkFeature,CLM-498875,Claim,0.2,0.2681,0.4484,,0.216,0.03,3,3,0.39,0.23,No,No,2015-03-01
NF-CLM-798177,NetworkFeature,CLM-798177,Claim,0.25,0.1451,0.4754,,0.08,0.207,2,1,0.34,0.4,No,No,2015-03-01
NF-CLM-614763,NetworkFeature,CLM-614763,Claim,0.25,0.0951,0.4698,,0.135,0.103,0,1,0.38,0.33,No,No,2015-03-01
NF-CLM-679370,NetworkFeature,CLM-679370,Claim,0.3,0.3509,0.0493,,0.091,0.102,2,3,0.33,0.35,No,No,2015-03-01
NF-CLM-958857,NetworkFeature,CLM-958857,Claim,0.1,0.874,0.9216,RING-019,0.829,0.459,4,7,0.81,0.5,No,No,2015-03-01
NF-CLM-686816,NetworkFeature,CLM-686816,Claim,0.2,0.3477,0.1595,,0.071,0.022,1,0,0.21,0.13,No,No,2015-03-01
NF-CLM-127754,NetworkFeature,CLM-127754,Claim,0.35,0.2873,0.6938,,0.189,0.882,0,2,0.6,0.81,No,No,2015-03-01
NF-CLM-918629,NetworkFeature,CLM-918629,Claim,0.15,0.0065,0.0695,,0.09,0.222,2,2,0.31,0.35,No,No,2015-03-01
NF-CLM-731450,NetworkFeature,CLM-731450,Claim,0.2,0.1285,0.2308,,0.333,0.178,2,3,0.08,0.23,No,No,2015-03-01
NF-CLM-307447,NetworkFeature,CLM-307447,Claim,0.2,0.0986,0.1733,,0.282,0.07,3,1,0.22,0.1,No,No,2015-03-01
NF-CLM-992145,NetworkFeature,CLM-992145,Claim,0.1,0.286,0.0973,,0.369,0.089,3,1,0.16,0.2,No,No,2015-03-01
NF-CLM-900628,NetworkFeature,CLM-900628,Claim,0.3,0.8983,0.8505,RING-007,0.64,0.832,9,5,0.71,0.5,No,No,2015-03-01
NF-CLM-235220,NetworkFeature,CLM-235220,Claim,0.35,0.0187,0.5582,,0.084,0.432,1,3,0.88,0.65,Yes,Yes,2015-03-01
NF-CLM-740019,NetworkFeature,CLM-740019,Claim,0.35,0.1114,0.1966,,0.203,0.277,0,0,0.34,0.45,No,No,2015-03-01
NF-CLM-246882,NetworkFeature,CLM-246882,Claim,0.05,0.1576,0.1122,,0.306,0.185,1,2,0.13,0.06,No,No,2015-03-01
NF-CLM-797613,NetworkFeature,CLM-797613,Claim,0.2,0.2374,0.4261,,0.387,0.146,1,2,0.39,0.29,No,No,2015-03-01
NF-CLM-193442,NetworkFeature,CLM-193442,Claim,0.25,0.2541,0.1286,,0.311,0.006,3,2,0.22,0.33,No,No,2015-03-01
NF-CLM-389238,NetworkFeature,CLM-389238,Claim,0.25,0.1911,0.258,,0.205,0.197,3,0,0.03,0.15,No,No,2015-03-01
NF-CLM-760179,NetworkFeature,CLM-760179,Claim,0.1,0.1829,0.0192,,0.317,0.067,1,2,0.18,0.27,No,No,2015-03-01
NF-CLM-939905,NetworkFeature,CLM-939905,Claim,0.2,0.2932,0.2433,,0.237,0.188,1,3,0.29,0.1,No,No,2015-03-01
NF-CLM-872814,NetworkFeature,CLM-872814,Claim,0.35,0.1514,0.2306,,0.295,0.082,0,1,0.07,0.25,No,No,2015-03-01
NF-CLM-632627,NetworkFeature,CLM-632627,Claim,0.4,0.5172,0.5467,RING-013,0.825,0.534,9,2,0.83,0.76,No,Yes,2015-03-01
NF-CLM-283414,NetworkFeature,CLM-283414,Claim,0.2,0.1648,0.322,,0.157,0.171,2,3,0.35,0.47,No,No,2015-03-01
NF-CLM-163161,NetworkFeature,CLM-163161,Claim,0.2,0.5171,0.5045,RING-001,0.787,0.488,9,3,0.66,0.95,No,Yes,2015-03-01
NF-CLM-853360,NetworkFeature,CLM-853360,Claim,0.4,0.8024,0.6885,RING-005,0.92,0.525,4,8,0.6,0.7,No,No,2015-03-01
NF-CLM-776860,NetworkFeature,CLM-776860,Claim,0.25,0.1909,0.1572,,0.102,0.093,0,0,0.13,0.09,No,No,2015-03-01
NF-CLM-149367,NetworkFeature,CLM-149367,Claim,0.15,0.3402,0.6335,RING-018,0.562,0.582,7,6,0.63,0.71,No,No,2015-03-01
NF-CLM-395269,NetworkFeature,CLM-395269,Claim,0.25,0.2414,0.4175,,0.306,0.185,0,0,0.07,0.26,No,No,2015-03-01
NF-CLM-981123,NetworkFeature,CLM-981123,Claim,0.25,0.2863,0.2056,,0.002,0.084,0,0,0.01,0.15,No,No,2015-03-01
NF-CLM-143626,NetworkFeature,CLM-143626,Claim,0.3,0.318,0.2666,,0.141,0.215,1,0,0.31,0.21,No,No,2015-03-01
NF-CLM-648397,NetworkFeature,CLM-648397,Claim,0.2,0.8218,0.7012,RING-014,0.852,0.472,7,7,0.59,0.52,Yes,No,2015-03-01
NF-CLM-154982,NetworkFeature,CLM-154982,Claim,0.35,0.2541,0.475,,0.113,0.145,1,1,0.25,0.5,No,No,2015-03-01
NF-CLM-330591,NetworkFeature,CLM-330591,Claim,0.3,0.1507,0.7391,,0.311,0.8,3,3,0.89,0.67,No,No,2015-03-01
NF-CLM-319232,NetworkFeature,CLM-319232,Claim,0.3,0.0058,0.3163,,0.192,0.034,2,2,0.05,0.41,No,No,2015-03-01
NF-CLM-531640,NetworkFeature,CLM-531640,Claim,0.25,0.3305,0.3077,,0.053,0.055,2,1,0.08,0.43,No,No,2015-03-01
NF-CLM-368050,NetworkFeature,CLM-368050,Claim,0.2,0.2208,0.0641,,0.323,0.199,0,1,0.38,0.01,No,No,2015-03-01
NF-CLM-253791,NetworkFeature,CLM-253791,Claim,0.15,0.1496,0.5192,,0.279,0.467,2,7,0.72,0.76,No,No,2015-03-01
NF-CLM-155724,NetworkFeature,CLM-155724,Claim,0.2,0.5382,0.9398,RING-013,0.665,0.748,10,5,0.68,0.64,Yes,No,2015-03-01
NF-CLM-824540,NetworkFeature,CLM-824540,Claim,0.25,0.1812,0.1016,,0.059,0.265,1,3,0.07,0.22,No,No,2015-03-01
NF-CLM-717392,NetworkFeature,CLM-717392,Claim,0.15,0.3303,0.1791,,0.276,0.174,2,1,0.27,0.29,No,No,2015-03-01
NF-CLM-965768,NetworkFeature,CLM-965768,Claim,0.4,0.2065,0.4876,,0.12,0.219,1,1,0.03,0.31,No,No,2015-03-01
NF-CLM-414779,NetworkFeature,CLM-414779,Claim,0.25,0.0491,0.4793,,0.031,0.096,0,1,0.22,0.38,No,No,2015-03-01
NF-CLM-428230,NetworkFeature,CLM-428230,Claim,0.2,0.0281,0.315,,0.293,0.075,1,3,0.35,0.08,No,No,2015-03-01
NF-CLM-517240,NetworkFeature,CLM-517240,Claim,0.45,0.7245,0.8701,RING-012,0.712,0.409,7,7,0.93,0.95,No,No,2015-03-01
NF-CLM-469874,NetworkFeature,CLM-469874,Claim,0.2,0.7555,0.7979,RING-002,0.85,0.539,7,8,0.98,0.63,No,No,2015-03-01
NF-CLM-718428,NetworkFeature,CLM-718428,Claim,0.35,0.3517,0.1611,,0.159,0.13,2,1,0.03,0.14,No,No,2015-03-01
NF-CLM-620215,NetworkFeature,CLM-620215,Claim,0.3,0.1112,0.0303,,0.383,0.146,3,0,0.28,0.01,No,No,2015-03-01
NF-CLM-618659,NetworkFeature,CLM-618659,Claim,0.15,0.305,0.2463,,0.153,0.047,2,0,0.11,0.18,No,No,2015-03-01
NF-CLM-649082,NetworkFeature,CLM-649082,Claim,0.25,0.1369,0.317,,0.217,0.115,3,2,0.11,0.16,No,No,2015-03-01
NF-CLM-437573,NetworkFeature,CLM-437573,Claim,0.15,0.2513,0.0244,,0.173,0.118,3,0,0.05,0.44,No,No,2015-03-01
NF-CLM-964657,NetworkFeature,CLM-964657,Claim,0.2,0.3046,0.6587,,0.146,0.739,0,8,0.51,0.77,No,No,2015-03-01
NF-CLM-932502,NetworkFeature,CLM-932502,Claim,0.1,0.3915,0.2634,,0.353,0.005,2,1,0.32,0.12,No,No,2015-03-01
NF-CLM-434507,NetworkFeature,CLM-434507,Claim,0.3,0.2648,0.4616,,0.148,0.194,1,1,0.01,0.13,No,No,2015-03-01
NF-CLM-935277,NetworkFeature,CLM-935277,Claim,0.35,0.2932,0.1261,,0.225,0.128,3,2,0.31,0.43,No,No,2015-03-01
NF-CLM-756054,NetworkFeature,CLM-756054,Claim,0.35,0.2859,0.0813,,0.384,0.018,0,2,0.35,0.12,No,No,2015-03-01
NF-CLM-682387,NetworkFeature,CLM-682387,Claim,0.3,0.0326,0.4198,,0.079,0.139,0,3,0.09,0.08,No,No,2015-03-01
NF-CLM-456604,NetworkFeature,CLM-456604,Claim,0.3,0.2939,0.3711,,0.271,0.114,3,2,0.23,0.4,No,No,2015-03-01
NF-CLM-139872,NetworkFeature,CLM-139872,Claim,0.25,0.2578,0.0163,,0.358,0.059,3,1,0.33,0.11,No,No,2015-03-01
NF-CLM-354105,NetworkFeature,CLM-354105,Claim,0.35,0.3814,0.9294,,0.06,0.678,1,7,0.59,1.0,No,No,2015-03-01
NF-CLM-165485,NetworkFeature,CLM-165485,Claim,0.45,0.1598,0.4429,,0.305,0.104,1,1,0.21,0.15,No,No,2015-03-01
NF-CLM-515050,NetworkFeature,CLM-515050,Claim,0.2,0.2243,0.5347,,0.162,0.551,2,2,0.98,0.78,No,Yes,2015-03-01
NF-CLM-795686,NetworkFeature,CLM-795686,Claim,0.1,0.2857,0.7102,,0.312,0.563,3,4,0.55,0.62,No,Yes,2015-03-01
NF-CLM-395983,NetworkFeature,CLM-395983,Claim,0.2,0.3689,0.4261,,0.077,0.047,2,3,0.31,0.04,No,No,2015-03-01
NF-CLM-119513,NetworkFeature,CLM-119513,Claim,0.35,0.6776,0.5057,RING-013,0.636,0.825,6,3,0.84,0.64,No,No,2015-03-01
NF-CLM-217938,NetworkFeature,CLM-217938,Claim,0.25,0.0507,0.8941,,0.113,0.483,3,5,0.98,0.74,No,Yes,2015-03-01
NF-CLM-203914,NetworkFeature,CLM-203914,Claim,0.15,0.2825,0.1638,,0.342,0.192,2,1,0.14,0.06,No,No,2015-03-01
NF-CLM-565157,NetworkFeature,CLM-565157,Claim,0.25,0.0928,0.2965,,0.334,0.135,3,3,0.31,0.35,No,No,2015-03-01
NF-CLM-904191,NetworkFeature,CLM-904191,Claim,0.3,0.3189,0.946,RING-020,0.639,0.515,10,6,0.52,0.56,Yes,No,2015-03-01
NF-CLM-419510,NetworkFeature,CLM-419510,Claim,0.25,0.0626,0.4972,,0.044,0.049,0,2,0.39,0.21,No,No,2015-03-01
NF-CLM-575000,NetworkFeature,CLM-575000,Claim,0.35,0.4078,0.6485,RING-011,0.786,0.552,9,3,0.96,0.68,No,No,2015-03-01
NF-CLM-120485,NetworkFeature,CLM-120485,Claim,0.35,0.8734,0.5516,RING-005,0.703,0.708,9,7,0.96,0.69,Yes,No,2015-03-01
NF-CLM-781181,NetworkFeature,CLM-781181,Claim,0.35,0.2395,0.2518,,0.145,0.26,1,1,0.23,0.08,No,No,2015-03-01
NF-CLM-299796,NetworkFeature,CLM-299796,Claim,0.3,0.324,0.31,,0.148,0.199,1,0,0.14,0.19,No,No,2015-03-01
NF-CLM-589749,NetworkFeature,CLM-589749,Claim,0.25,0.2493,0.4609,,0.169,0.096,0,2,0.21,0.15,No,No,2015-03-01
NF-CLM-854021,NetworkFeature,CLM-854021,Claim,0.05,0.3196,0.1302,,0.032,0.03,1,0,0.36,0.31,No,No,2015-03-01
NF-CLM-454086,NetworkFeature,CLM-454086,Claim,0.35,0.0725,0.2929,,0.016,0.229,0,0,0.1,0.37,No,No,2015-03-01
NF-CLM-139484,NetworkFeature,CLM-139484,Claim,0.15,0.2153,0.4473,,0.07,0.103,1,3,0.17,0.35,No,No,2015-03-01
NF-CLM-678849,NetworkFeature,CLM-678849,Claim,0.25,0.3302,0.3971,,0.214,0.118,0,3,0.4,0.26,No,No,2015-03-01
NF-CLM-346940,NetworkFeature,CLM-346940,Claim,0.2,0.1223,0.85,,0.227,0.705,0,3,0.62,0.53,No,Yes,2015-03-01
NF-CLM-985436,NetworkFeature,CLM-985436,Claim,0.25,0.3166,0.2027,,0.073,0.297,1,2,0.31,0.47,No,No,2015-03-01
NF-CLM-237418,NetworkFeature,CLM-237418,Claim,0.35,0.3086,0.1497,,0.35,0.112,1,2,0.37,0.37,No,No,2015-03-01
NF-CLM-335780,NetworkFeature,CLM-335780,Claim,0.35,0.2698,0.6592,,0.148,0.723,0,6,0.61,0.8,No,No,2015-03-01
NF-CLM-491392,NetworkFeature,CLM-491392,Claim,0.15,0.104,0.028,,0.165,0.291,2,1,0.28,0.46,No,No,2015-03-01
NF-CLM-140880,NetworkFeature,CLM-140880,Claim,0.25,0.0947,0.1089,,0.336,0.244,2,2,0.38,0.47,No,No,2015-03-01
NF-CLM-962591,NetworkFeature,CLM-962591,Claim,0.1,0.1202,0.2538,,0.022,0.053,1,3,0.22,0.07,No,No,2015-03-01
NF-CLM-922565,NetworkFeature,CLM-922565,Claim,0.2,0.1959,0.035,,0.024,0.22,0,1,0.31,0.41,No,No,2015-03-01
NF-CLM-288580,NetworkFeature,CLM-288580,Claim,0.35,0.3424,0.9273,RING-007,0.853,0.871,7,4,0.76,0.97,No,No,2015-03-01
NF-CLM-154280,NetworkFeature,CLM-154280,Claim,0.15,0.154,0.3766,,0.184,0.008,3,3,0.21,0.4,No,No,2015-03-01
NF-CLM-425973,NetworkFeature,CLM-425973,Claim,0.25,0.1946,0.3552,,0.251,0.082,3,2,0.33,0.24,No,No,2015-03-01
NF-CLM-477177,NetworkFeature,CLM-477177,Claim,0.15,0.3829,0.4782,,0.342,0.124,3,3,0.01,0.47,No,No,2015-03-01
NF-CLM-648509,NetworkFeature,CLM-648509,Claim,0.15,0.0704,0.2553,,0.284,0.132,2,1,0.34,0.29,No,No,2015-03-01
NF-CLM-914815,NetworkFeature,CLM-914815,Claim,0.25,0.3354,0.2633,,0.305,0.272,3,0,0.02,0.44,No,No,2015-03-01
NF-CLM-249048,NetworkFeature,CLM-249048,Claim,0.2,0.0158,0.1319,,0.118,0.097,1,3,0.08,0.14,No,No,2015-03-01
NF-CLM-144323,NetworkFeature,CLM-144323,Claim,0.2,0.1752,0.4443,,0.242,0.001,2,3,0.14,0.02,No,No,2015-03-01
NF-CLM-651861,NetworkFeature,CLM-651861,Claim,0.25,0.0054,0.2901,,0.349,0.221,2,0,0.3,0.5,No,No,2015-03-01
NF-CLM-125324,NetworkFeature,CLM-125324,Claim,0.15,0.2183,0.4731,,0.089,0.056,0,1,0.02,0.44,No,No,2015-03-01
