:START_ID,:END_ID,:TYPE,relationship_type,relationship_detail,shared_last_name,confidence_score,connection_strength,age_gap_years,fraud_signal,both_fraud_flagged,first_seen_date,last_seen_date,interaction_count,shared_claims_count,data_source
CUST-IL-9086-1612,CUST-IL-6518-4841,SPOUSE_OF,SPOUSE_OF,Married,Green,0.99,0.831,,NONE,No,01/01/2010,01/01/2015,15,0,CustomerRecord+LastNameMatch
CUST-IL-6518-4841,CUST-IL-9086-1612,SPOUSE_OF,SPOUSE_OF,Married,Green,0.99,0.95,,NONE,No,01/01/2010,01/01/2015,7,0,CustomerRecord+LastNameMatch
CUST-IL-5848-1441,CUST-IL-7958-7865,SPOUSE_OF,SPOUSE_OF,Married,Morgan,0.99,0.883,,NONE,No,01/01/2010,01/01/2015,13,0,CustomerRecord+LastNameMatch
CUST-IL-7958-7865,CUST-IL-5848-1441,SPOUSE_OF,SPOUSE_OF,Married,Morgan,0.99,0.959,,NONE,No,01/01/2010,01/01/2015,5,0,CustomerRecord+LastNameMatch
CUST-IL-6488-6659,CUST-IL-9875-6231,SPOUSE_OF,SPOUSE_OF,Married,Morgan,0.99,0.826,,NONE,No,01/01/2010,01/01/2015,11,0,CustomerRecord+LastNameMatch
CUST-IL-9875-6231,CUST-IL-6488-6659,SPOUSE_OF,SPOUSE_OF,Married,Morgan,0.99,0.81,,NONE,No,01/01/2010,01/01/2015,9,0,CustomerRecord+LastNameMatch
CUST-IN-8058-9199,CUST-IN-5282-5132,SPOUSE_OF,SPOUSE_OF,Married,Ramirez,0.99,0.962,,NONE,No,01/01/2010,01/01/2015,6,0,CustomerRecord+LastNameMatch
CUST-IN-5282-5132,CUST-IN-8058-9199,SPOUSE_OF,SPOUSE_OF,Married,Ramirez,0.99,0.822,,NONE,No,01/01/2010,01/01/2015,1,0,CustomerRecord+LastNameMatch
CUST-IN-1365-2505,CUST-IN-9828-7272,SPOUSE_OF,SPOUSE_OF,Married,Bell,0.99,0.91,,NONE,No,01/01/2010,01/01/2015,8,0,CustomerRecord+LastNameMatch
CUST-IN-9828-7272,CUST-IN-1365-2505,SPOUSE_OF,SPOUSE_OF,Married,Bell,0.99,0.83,,NONE,No,01/01/2010,01/01/2015,7,0,CustomerRecord+LastNameMatch
CUST-IN-6588-6447,CUST-IN-1711-8953,SPOUSE_OF,SPOUSE_OF,Married,Gonzalez,0.99,0.924,,NONE,No,01/01/2010,01/01/2015,5,0,CustomerRecord+LastNameMatch
CUST-IN-1711-8953,CUST-IN-6588-6447,SPOUSE_OF,SPOUSE_OF,Married,Gonzalez,0.99,0.822,,NONE,No,01/01/2010,01/01/2015,12,0,CustomerRecord+LastNameMatch
CUST-IL-4489-3523,CUST-IL-9938-3284,SPOUSE_OF,SPOUSE_OF,Married,Gray,0.99,0.9,,NONE,No,01/01/2010,01/01/2015,4,0,CustomerRecord+LastNameMatch
CUST-IL-9938-3284,CUST-IL-4489-3523,SPOUSE_OF,SPOUSE_OF,Married,Gray,0.99,0.794,,NONE,No,01/01/2010,01/01/2015,16,0,CustomerRecord+LastNameMatch
CUST-IN-5291-2572,CUST-IN-5962-8195,SPOUSE_OF,SPOUSE_OF,Married,Wright,0.99,0.837,,NONE,No,01/01/2010,01/01/2015,1,0,CustomerRecord+LastNameMatch
CUST-IN-5962-8195,CUST-IN-5291-2572,SPOUSE_OF,SPOUSE_OF,Married,Wright,0.99,0.879,,NONE,No,01/01/2010,01/01/2015,9,0,CustomerRecord+LastNameMatch
CUST-IN-8921-3216,CUST-IN-5053-8752,SPOUSE_OF,SPOUSE_OF,Married,Wright,0.99,0.824,,NONE,No,01/01/2010,01/01/2015,5,0,CustomerRecord+LastNameMatch
CUST-IN-5053-8752,CUST-IN-8921-3216,SPOUSE_OF,SPOUSE_OF,Married,Wright,0.99,0.973,,NONE,No,01/01/2010,01/01/2015,5,0,CustomerRecord+LastNameMatch
CUST-IL-8968-7411,CUST-IL-5820-3991,SPOUSE_OF,SPOUSE_OF,Married,Martin,0.99,0.863,,NONE,No,01/01/2010,01/01/2015,16,0,CustomerRecord+LastNameMatch
CUST-IL-5820-3991,CUST-IL-8968-7411,SPOUSE_OF,SPOUSE_OF,Married,Martin,0.99,0.891,,NONE,No,01/01/2010,01/01/2015,9,0,CustomerRecord+LastNameMatch
CUST-OH-7143-7671,CUST-OH-8766-8159,SPOUSE_OF,SPOUSE_OF,Married,Torres,0.99,0.948,,NONE,No,01/01/2010,01/01/2015,14,0,CustomerRecord+LastNameMatch
CUST-OH-8766-8159,CUST-OH-7143-7671,SPOUSE_OF,SPOUSE_OF,Married,Torres,0.99,0.915,,NONE,No,01/01/2010,01/01/2015,13,0,CustomerRecord+LastNameMatch
CUST-IL-5375-7959,CUST-IL-4209-6347,SPOUSE_OF,SPOUSE_OF,Married,White,0.99,0.807,,NONE,No,01/01/2010,01/01/2015,14,0,CustomerRecord+LastNameMatch
CUST-IL-4209-6347,CUST-IL-5375-7959,SPOUSE_OF,SPOUSE_OF,Married,White,0.99,0.969,,NONE,No,01/01/2010,01/01/2015,4,0,CustomerRecord+LastNameMatch
CUST-IN-6151-3637,CUST-IN-8308-7545,SPOUSE_OF,SPOUSE_OF,Married,Edwards,0.99,0.944,,NONE,No,01/01/2010,01/01/2015,19,0,CustomerRecord+LastNameMatch
CUST-IN-8308-7545,CUST-IN-6151-3637,SPOUSE_OF,SPOUSE_OF,Married,Edwards,0.99,0.975,,NONE,No,01/01/2010,01/01/2015,9,0,CustomerRecord+LastNameMatch
CUST-IL-3039-4475,CUST-IL-8767-3284,SPOUSE_OF,SPOUSE_OF,Married,Hill,0.99,0.818,,NONE,No,01/01/2010,01/01/2015,18,0,CustomerRecord+LastNameMatch
CUST-IL-8767-3284,CUST-IL-3039-4475,SPOUSE_OF,SPOUSE_OF,Married,Hill,0.99,0.89,,NONE,No,01/01/2010,01/01/2015,17,0,CustomerRecord+LastNameMatch
CUST-IN-3496-8643,CUST-IN-9106-4091,SPOUSE_OF,SPOUSE_OF,Married,Rivera,0.99,0.952,,NONE,No,01/01/2010,01/01/2015,3,0,CustomerRecord+LastNameMatch
CUST-IN-9106-4091,CUST-IN-3496-8643,SPOUSE_OF,SPOUSE_OF,Married,Rivera,0.99,0.82,,NONE,No,01/01/2010,01/01/2015,14,0,CustomerRecord+LastNameMatch
CUST-OH-7811-7991,CUST-OH-9133-3712,SPOUSE_OF,SPOUSE_OF,Married,Jones,0.99,0.857,,NONE,No,01/01/2010,01/01/2015,20,0,CustomerRecord+LastNameMatch
CUST-OH-9133-3712,CUST-OH-7811-7991,SPOUSE_OF,SPOUSE_OF,Married,Jones,0.99,0.987,,NONE,No,01/01/2010,01/01/2015,19,0,CustomerRecord+LastNameMatch
CUST-IL-8471-3642,CUST-IL-1751-5546,SPOUSE_OF,SPOUSE_OF,Married,Evans,0.99,0.955,,NONE,No,01/01/2010,01/01/2015,2,0,CustomerRecord+LastNameMatch
CUST-IL-1751-5546,CUST-IL-8471-3642,SPOUSE_OF,SPOUSE_OF,Married,Evans,0.99,0.923,,NONE,No,01/01/2010,01/01/2015,10,0,CustomerRecord+LastNameMatch
CUST-OH-9449-8584,CUST-OH-3886-5052,SPOUSE_OF,SPOUSE_OF,Married,Miller,0.99,0.798,,NONE,No,01/01/2010,01/01/2015,17,0,CustomerRecord+LastNameMatch
CUST-OH-3886-5052,CUST-OH-9449-8584,SPOUSE_OF,SPOUSE_OF,Married,Miller,0.99,0.836,,NONE,No,01/01/2010,01/01/2015,16,0,CustomerRecord+LastNameMatch
CUST-OH-5360-4725,CUST-OH-9434-7330,SPOUSE_OF,SPOUSE_OF,Married,Clark,0.99,0.974,,NONE,No,01/01/2010,01/01/2015,7,0,CustomerRecord+LastNameMatch
CUST-OH-9434-7330,CUST-OH-5360-4725,SPOUSE_OF,SPOUSE_OF,Married,Clark,0.99,0.935,,NONE,No,01/01/2010,01/01/2015,13,0,CustomerRecord+LastNameMatch
CUST-IL-4256-3109,CUST-IL-5863-6920,SPOUSE_OF,SPOUSE_OF,Married,Davis,0.99,0.946,,NONE,No,01/01/2010,01/01/2015,10,0,CustomerRecord+LastNameMatch
CUST-IL-5863-6920,CUST-IL-4256-3109,SPOUSE_OF,SPOUSE_OF,Married,Davis,0.99,0.899,,NONE,No,01/01/2010,01/01/2015,7,0,CustomerRecord+LastNameMatch
CUST-IL-1148-9178,CUST-IL-1654-7467,SPOUSE_OF,SPOUSE_OF,Married,Morris,0.99,0.934,,NONE,No,01/01/2010,01/01/2015,2,0,CustomerRecord+LastNameMatch
CUST-IL-1654-7467,CUST-IL-1148-9178,SPOUSE_OF,SPOUSE_OF,Married,Morris,0.99,0.905,,NONE,No,01/01/2010,01/01/2015,17,0,CustomerRecord+LastNameMatch
CUST-OH-9037-6704,CUST-OH-7400-1200,SPOUSE_OF,SPOUSE_OF,Married,Campbell,0.99,0.805,,NONE,No,01/01/2010,01/01/2015,15,0,CustomerRecord+LastNameMatch
CUST-OH-7400-1200,CUST-OH-9037-6704,SPOUSE_OF,SPOUSE_OF,Married,Campbell,0.99,0.872,,NONE,No,01/01/2010,01/01/2015,1,0,CustomerRecord+LastNameMatch
CUST-OH-4427-6544,CUST-OH-4988-5035,SPOUSE_OF,SPOUSE_OF,Married,Reed,0.99,0.929,,NONE,No,01/01/2010,01/01/2015,15,0,CustomerRecord+LastNameMatch
CUST-OH-4988-5035,CUST-OH-4427-6544,SPOUSE_OF,SPOUSE_OF,Married,Reed,0.99,0.885,,NONE,No,01/01/2010,01/01/2015,4,0,CustomerRecord+LastNameMatch
CUST-IL-6827-7916,CUST-IL-9988-9170,SPOUSE_OF,SPOUSE_OF,Married,Sanchez,0.99,0.965,,NONE,No,01/01/2010,01/01/2015,7,0,CustomerRecord+LastNameMatch
CUST-IL-9988-9170,CUST-IL-6827-7916,SPOUSE_OF,SPOUSE_OF,Married,Sanchez,0.99,0.819,,NONE,No,01/01/2010,01/01/2015,18,0,CustomerRecord+LastNameMatch
CUST-OH-5172-4318,CUST-OH-4055-1549,SPOUSE_OF,SPOUSE_OF,Married,Ramirez,0.99,0.926,,NONE,No,01/01/2010,01/01/2015,9,0,CustomerRecord+LastNameMatch
CUST-OH-4055-1549,CUST-OH-5172-4318,SPOUSE_OF,SPOUSE_OF,Married,Ramirez,0.99,0.895,,NONE,No,01/01/2010,01/01/2015,19,0,CustomerRecord+LastNameMatch
CUST-OH-8042-3486,CUST-OH-3823-9381,SPOUSE_OF,SPOUSE_OF,Married,Green,0.99,0.988,,NONE,No,01/01/2010,01/01/2015,8,0,CustomerRecord+LastNameMatch
CUST-OH-3823-9381,CUST-OH-8042-3486,SPOUSE_OF,SPOUSE_OF,Married,Green,0.99,0.902,,NONE,No,01/01/2010,01/01/2015,17,0,CustomerRecord+LastNameMatch
CUST-IL-5767-3195,CUST-IL-9352-9121,SPOUSE_OF,SPOUSE_OF,Married,Hall,0.99,0.832,,NONE,No,01/01/2010,01/01/2015,3,0,CustomerRecord+LastNameMatch
CUST-IL-9352-9121,CUST-IL-5767-3195,SPOUSE_OF,SPOUSE_OF,Married,Hall,0.99,0.951,,NONE,No,01/01/2010,01/01/2015,13,0,CustomerRecord+LastNameMatch
CUST-IL-4566-4686,CUST-IL-8731-1698,SPOUSE_OF,SPOUSE_OF,Married,Sanders,0.99,0.899,,NONE,No,01/01/2010,01/01/2015,6,0,CustomerRecord+LastNameMatch
CUST-IL-8731-1698,CUST-IL-4566-4686,SPOUSE_OF,SPOUSE_OF,Married,Sanders,0.99,0.874,,NONE,No,01/01/2010,01/01/2015,13,0,CustomerRecord+LastNameMatch
CUST-IN-5861-6271,CUST-IN-4037-1995,SPOUSE_OF,SPOUSE_OF,Married,Phillips,0.99,0.811,,NONE,No,01/01/2010,01/01/2015,13,0,CustomerRecord+LastNameMatch
CUST-IN-4037-1995,CUST-IN-5861-6271,SPOUSE_OF,SPOUSE_OF,Married,Phillips,0.99,0.943,,NONE,No,01/01/2010,01/01/2015,20,0,CustomerRecord+LastNameMatch
CUST-IN-2152-2691,CUST-IN-2042-8632,SPOUSE_OF,SPOUSE_OF,Married,Phillips,0.99,0.944,,NONE,No,01/01/2010,01/01/2015,13,0,CustomerRecord+LastNameMatch
CUST-IN-2042-8632,CUST-IN-2152-2691,SPOUSE_OF,SPOUSE_OF,Married,Phillips,0.99,0.956,,NONE,No,01/01/2010,01/01/2015,18,0,CustomerRecord+LastNameMatch
CUST-OH-4065-7065,CUST-OH-5150-6951,SPOUSE_OF,SPOUSE_OF,Married,Howard,0.99,0.91,,NONE,No,01/01/2010,01/01/2015,12,0,CustomerRecord+LastNameMatch
CUST-OH-5150-6951,CUST-OH-4065-7065,SPOUSE_OF,SPOUSE_OF,Married,Howard,0.99,0.973,,NONE,No,01/01/2010,01/01/2015,6,0,CustomerRecord+LastNameMatch
CUST-OH-8316-5289,CUST-OH-9418-6080,SPOUSE_OF,SPOUSE_OF,Married,Price,0.99,0.837,,NONE,No,01/01/2010,01/01/2015,19,0,CustomerRecord+LastNameMatch
CUST-OH-9418-6080,CUST-OH-8316-5289,SPOUSE_OF,SPOUSE_OF,Married,Price,0.99,0.796,,NONE,No,01/01/2010,01/01/2015,12,0,CustomerRecord+LastNameMatch
CUST-IL-1408-7229,CUST-IL-6557-5463,SPOUSE_OF,SPOUSE_OF,Married,Edwards,0.99,0.838,,NONE,No,01/01/2010,01/01/2015,2,0,CustomerRecord+LastNameMatch
CUST-IL-6557-5463,CUST-IL-1408-7229,SPOUSE_OF,SPOUSE_OF,Married,Edwards,0.99,0.863,,NONE,No,01/01/2010,01/01/2015,19,0,CustomerRecord+LastNameMatch
CUST-IL-4271-5768,CUST-IL-1542-2132,SPOUSE_OF,SPOUSE_OF,Married,Lewis,0.99,0.818,,NONE,No,01/01/2010,01/01/2015,15,0,CustomerRecord+LastNameMatch
CUST-IL-1542-2132,CUST-IL-4271-5768,SPOUSE_OF,SPOUSE_OF,Married,Lewis,0.99,0.913,,NONE,No,01/01/2010,01/01/2015,14,0,CustomerRecord+LastNameMatch
CUST-IL-5534-1760,CUST-IL-4327-9049,SPOUSE_OF,SPOUSE_OF,Married,Lewis,0.99,0.922,,NONE,No,01/01/2010,01/01/2015,18,0,CustomerRecord+LastNameMatch
CUST-IL-4327-9049,CUST-IL-5534-1760,SPOUSE_OF,SPOUSE_OF,Married,Lewis,0.99,0.913,,NONE,No,01/01/2010,01/01/2015,16,0,CustomerRecord+LastNameMatch
CUST-OH-8829-4721,CUST-OH-7277-3475,SPOUSE_OF,SPOUSE_OF,Married,Brooks,0.99,0.857,,NONE,No,01/01/2010,01/01/2015,16,0,CustomerRecord+LastNameMatch
CUST-OH-7277-3475,CUST-OH-8829-4721,SPOUSE_OF,SPOUSE_OF,Married,Brooks,0.99,0.893,,NONE,No,01/01/2010,01/01/2015,18,0,CustomerRecord+LastNameMatch
CUST-IN-3578-1371,CUST-IN-8426-8491,SPOUSE_OF,SPOUSE_OF,Married,Garcia,0.99,0.893,,NONE,No,01/01/2010,01/01/2015,4,0,CustomerRecord+LastNameMatch
CUST-IN-8426-8491,CUST-IN-3578-1371,SPOUSE_OF,SPOUSE_OF,Married,Garcia,0.99,0.933,,NONE,No,01/01/2010,01/01/2015,19,0,CustomerRecord+LastNameMatch
CUST-IN-7985-5165,CUST-IN-6046-9146,SPOUSE_OF,SPOUSE_OF,Married,Lopez,0.99,0.841,,NONE,No,01/01/2010,01/01/2015,11,0,CustomerRecord+LastNameMatch
CUST-IN-6046-9146,CUST-IN-7985-5165,SPOUSE_OF,SPOUSE_OF,Married,Lopez,0.99,0.919,,NONE,No,01/01/2010,01/01/2015,1,0,CustomerRecord+LastNameMatch
CUST-OH-3117-9903,CUST-OH-9355-9552,SPOUSE_OF,SPOUSE_OF,Married,Harris,0.99,0.951,,NONE,No,01/01/2010,01/01/2015,10,0,CustomerRecord+LastNameMatch
CUST-OH-9355-9552,CUST-OH-3117-9903,SPOUSE_OF,SPOUSE_OF,Married,Harris,0.99,0.9,,NONE,No,01/01/2010,01/01/2015,19,0,CustomerRecord+LastNameMatch
CUST-OH-1167-6823,CUST-OH-7661-5916,SPOUSE_OF,SPOUSE_OF,Married,James,0.99,0.97,,NONE,No,01/01/2010,01/01/2015,19,0,CustomerRecord+LastNameMatch
CUST-OH-7661-5916,CUST-OH-1167-6823,SPOUSE_OF,SPOUSE_OF,Married,James,0.99,0.845,,NONE,No,01/01/2010,01/01/2015,18,0,CustomerRecord+LastNameMatch
CUST-OH-8766-5983,CUST-OH-5260-2832,SPOUSE_OF,SPOUSE_OF,Married,Hill,0.99,0.831,,NONE,No,01/01/2010,01/01/2015,8,0,CustomerRecord+LastNameMatch
CUST-OH-5260-2832,CUST-OH-8766-5983,SPOUSE_OF,SPOUSE_OF,Married,Hill,0.99,0.896,,NONE,No,01/01/2010,01/01/2015,8,0,CustomerRecord+LastNameMatch
CUST-OH-7000-2574,CUST-OH-3376-7879,SPOUSE_OF,SPOUSE_OF,Married,Hill,0.99,0.794,,NONE,No,01/01/2010,01/01/2015,18,0,CustomerRecord+LastNameMatch
CUST-OH-3376-7879,CUST-OH-7000-2574,SPOUSE_OF,SPOUSE_OF,Married,Hill,0.99,0.882,,NONE,No,01/01/2010,01/01/2015,10,0,CustomerRecord+LastNameMatch
CUST-IN-4911-1759,CUST-IN-7790-3264,SPOUSE_OF,SPOUSE_OF,Married,Hernandez,0.99,0.961,,NONE,No,01/01/2010,01/01/2015,4,0,CustomerRecord+LastNameMatch
CUST-IN-7790-3264,CUST-IN-4911-1759,SPOUSE_OF,SPOUSE_OF,Married,Hernandez,0.99,0.944,,NONE,No,01/01/2010,01/01/2015,4,0,CustomerRecord+LastNameMatch
CUST-OH-3316-1764,CUST-OH-7712-9837,SPOUSE_OF,SPOUSE_OF,Married,King,0.99,0.833,,NONE,No,01/01/2010,01/01/2015,18,0,CustomerRecord+LastNameMatch
CUST-OH-7712-9837,CUST-OH-3316-1764,SPOUSE_OF,SPOUSE_OF,Married,King,0.99,0.967,,NONE,No,01/01/2010,01/01/2015,15,0,CustomerRecord+LastNameMatch
CUST-IN-3328-1393,CUST-IN-7564-2471,SPOUSE_OF,SPOUSE_OF,Married,Cooper,0.99,0.795,,NONE,No,01/01/2010,01/01/2015,7,0,CustomerRecord+LastNameMatch
CUST-IN-7564-2471,CUST-IN-3328-1393,SPOUSE_OF,SPOUSE_OF,Married,Cooper,0.99,0.814,,NONE,No,01/01/2010,01/01/2015,8,0,CustomerRecord+LastNameMatch
CUST-IL-4896-5134,CUST-IL-5874-4804,SPOUSE_OF,SPOUSE_OF,Married,Scott,0.99,0.81,,NONE,No,01/01/2010,01/01/2015,4,0,CustomerRecord+LastNameMatch
CUST-IL-5874-4804,CUST-IL-4896-5134,SPOUSE_OF,SPOUSE_OF,Married,Scott,0.99,0.882,,NONE,No,01/01/2010,01/01/2015,2,0,CustomerRecord+LastNameMatch
CUST-OH-6060-8630,CUST-OH-7976-2729,SPOUSE_OF,SPOUSE_OF,Married,Ruiz,0.99,0.936,,NONE,No,01/01/2010,01/01/2015,19,0,CustomerRecord+LastNameMatch
CUST-OH-7976-2729,CUST-OH-6060-8630,SPOUSE_OF,SPOUSE_OF,Married,Ruiz,0.99,0.832,,NONE,No,01/01/2010,01/01/2015,20,0,CustomerRecord+LastNameMatch
CUST-OH-7433-9722,CUST-OH-3618-8248,SPOUSE_OF,SPOUSE_OF,Married,Morris,0.99,0.841,,NONE,No,01/01/2010,01/01/2015,17,0,CustomerRecord+LastNameMatch
CUST-OH-3618-8248,CUST-OH-7433-9722,SPOUSE_OF,SPOUSE_OF,Married,Morris,0.99,0.877,,NONE,No,01/01/2010,01/01/2015,11,0,CustomerRecord+LastNameMatch
CUST-OH-8101-5122,CUST-OH-9712-1340,SPOUSE_OF,SPOUSE_OF,Married,Brown,0.99,0.885,,NONE,No,01/01/2010,01/01/2015,19,0,CustomerRecord+LastNameMatch
CUST-OH-9712-1340,CUST-OH-8101-5122,SPOUSE_OF,SPOUSE_OF,Married,Brown,0.99,0.9,,NONE,No,01/01/2010,01/01/2015,10,0,CustomerRecord+LastNameMatch
CUST-IN-3729-4838,CUST-IN-5912-8228,SPOUSE_OF,SPOUSE_OF,Married,Morris,0.99,0.829,,NONE,No,01/01/2010,01/01/2015,3,0,CustomerRecord+LastNameMatch
CUST-IN-5912-8228,CUST-IN-3729-4838,SPOUSE_OF,SPOUSE_OF,Married,Morris,0.99,0.906,,NONE,No,01/01/2010,01/01/2015,1,0,CustomerRecord+LastNameMatch
CUST-OH-3444-5720,CUST-OH-4671-1039,SPOUSE_OF,SPOUSE_OF,Married,Johnson,0.99,0.817,,NONE,No,01/01/2010,01/01/2015,19,0,CustomerRecord+LastNameMatch
CUST-OH-4671-1039,CUST-OH-3444-5720,SPOUSE_OF,SPOUSE_OF,Married,Johnson,0.99,0.89,,NONE,No,01/01/2010,01/01/2015,9,0,CustomerRecord+LastNameMatch
CUST-OH-6846-9227,CUST-OH-1559-1226,SPOUSE_OF,SPOUSE_OF,Married,Allen,0.99,0.877,,NONE,No,01/01/2010,01/01/2015,2,0,CustomerRecord+LastNameMatch
CUST-OH-1559-1226,CUST-OH-6846-9227,SPOUSE_OF,SPOUSE_OF,Married,Allen,0.99,0.936,,NONE,No,01/01/2010,01/01/2015,12,0,CustomerRecord+LastNameMatch
CUST-IL-4079-3061,CUST-IL-6079-4982,SPOUSE_OF,SPOUSE_OF,Married,Allen,0.99,0.886,,NONE,No,01/01/2010,01/01/2015,4,0,CustomerRecord+LastNameMatch
CUST-IL-6079-4982,CUST-IL-4079-3061,SPOUSE_OF,SPOUSE_OF,Married,Allen,0.99,0.984,,NONE,No,01/01/2010,01/01/2015,8,0,CustomerRecord+LastNameMatch
CUST-OH-8902-9336,CUST-OH-5646-7548,SPOUSE_OF,SPOUSE_OF,Married,Williams,0.99,0.925,,NONE,No,01/01/2010,01/01/2015,19,0,CustomerRecord+LastNameMatch
CUST-OH-5646-7548,CUST-OH-8902-9336,SPOUSE_OF,SPOUSE_OF,Married,Williams,0.99,0.988,,NONE,No,01/01/2010,01/01/2015,10,0,CustomerRecord+LastNameMatch
