:START_ID,:END_ID,:TYPE,statement_date,statement_strength,corroborated_by_evidence,deposition_provided,credibility_score,professional_witness,coached_flag,weight,connection_strength,first_seen_date,last_seen_date,event_time,interaction_count,shared_count
CLM-429027,WS-429027-W2,HAS_WITNESS,2/27/2015,Moderate,Yes,Yes,79,Yes,No,0.79,0.7821,2/27/2015,2/27/2015,2/27/2015,1,1
CLM-485665,WS-485665-W1,HAS_WITNESS,1/30/2015,Strong,No,No,67,Yes,No,0.67,0.6556,1/30/2015,1/30/2015,1/30/2015,1,1
CLM-636550,WS-636550-W1,HAS_WITNESS,1/5/2015,Strong,No,No,55,Yes,No,0.55,0.5184,1/5/2015,1/5/2015,1/5/2015,1,1
CLM-543610,WS-543610-W1,HAS_WITNESS,1/6/2015,Strong,Partial,Yes,48,No,No,0.48,0.391,1/6/2015,1/6/2015,1/6/2015,1,1
CLM-543610,WS-543610-W2,HAS_WITNESS,1/6/2015,Moderate,No,Yes,56,Yes,Yes,0.56,0.4708,1/6/2015,1/6/2015,1/6/2015,1,1
CLM-214618,WS-214618-W1,HAS_WITNESS,2/15/2015,Strong,Yes,Yes,86,Yes,Yes,0.86,0.7236,2/15/2015,2/15/2015,2/15/2015,1,1
CLM-214618,WS-214618-W2,HAS_WITNESS,2/15/2015,Moderate,No,Yes,58,Yes,No,0.58,0.5383,2/15/2015,2/15/2015,2/15/2015,1,1
CLM-626808,WS-626808-W1,HAS_WITNESS,1/8/2015,Strong,Partial,Yes,55,Yes,Yes,0.55,0.4417,1/8/2015,1/8/2015,1/8/2015,1,1
CLM-644081,WS-644081-W1,HAS_WITNESS,1/15/2015,Strong,No,Yes,93,Yes,No,0.93,0.9155,1/15/2015,1/15/2015,1/15/2015,1,1
CLM-644081,WS-644081-W2,HAS_WITNESS,1/15/2015,Moderate,Partial,No,78,Yes,Yes,0.78,0.6561,1/15/2015,1/15/2015,1/15/2015,1,1
CLM-558938,WS-558938-W1,HAS_WITNESS,2/22/2015,Strong,Partial,No,70,Yes,No,0.7,0.6565,2/22/2015,2/22/2015,2/22/2015,1,1
CLM-558938,WS-558938-W2,HAS_WITNESS,2/22/2015,Moderate,Yes,Yes,57,Yes,No,0.57,0.5614,2/22/2015,2/22/2015,2/22/2015,1,1
CLM-275265,WS-275265-W1,HAS_WITNESS,1/6/2015,Weak,Yes,No,61,Yes,No,0.61,0.4886,1/6/2015,1/6/2015,1/6/2015,1,1
CLM-275265,WS-275265-W2,HAS_WITNESS,1/6/2015,Moderate,Yes,Unknown,43,Yes,No,0.43,0.3647,1/6/2015,1/6/2015,1/6/2015,1,1
CLM-431876,WS-431876-W1,HAS_WITNESS,2/10/2015,Moderate,No,Yes,48,Yes,No,0.48,0.4621,2/10/2015,2/10/2015,2/10/2015,1,1
CLM-431876,WS-431876-W2,HAS_WITNESS,2/10/2015,Strong,Yes,No,66,No,No,0.66,0.6377,2/10/2015,2/10/2015,2/10/2015,1,1
CLM-115399,WS-115399-W1,HAS_WITNESS,1/19/2015,Moderate,No,No,84,Yes,No,0.84,0.8374,1/19/2015,1/19/2015,1/19/2015,1,1
CLM-115399,WS-115399-W2,HAS_WITNESS,1/19/2015,Moderate,No,Unknown,48,Yes,Yes,0.48,0.4788,1/19/2015,1/19/2015,1/19/2015,1,1
CLM-736882,WS-736882-W1,HAS_WITNESS,2/24/2015,Moderate,No,No,43,Yes,No,0.43,0.4151,2/24/2015,2/24/2015,2/24/2015,1,1
CLM-736882,WS-736882-W2,HAS_WITNESS,2/24/2015,Strong,Yes,No,93,Yes,No,0.93,0.8132,2/24/2015,2/24/2015,2/24/2015,1,1
CLM-736882,WS-736882-W3,HAS_WITNESS,2/24/2015,Moderate,Yes,Yes,40,No,No,0.4,0.387,2/24/2015,2/24/2015,2/24/2015,1,1
CLM-699044,WS-699044-W1,HAS_WITNESS,1/9/2015,Moderate,Partial,Unknown,64,Yes,Yes,0.64,0.5177,1/9/2015,1/9/2015,1/9/2015,1,1
CLM-699044,WS-699044-W2,HAS_WITNESS,1/9/2015,Moderate,Yes,No,100,Yes,No,1.0,0.8283,1/9/2015,1/9/2015,1/9/2015,1,1
CLM-699044,WS-699044-W3,HAS_WITNESS,1/9/2015,Weak,Yes,Yes,57,Yes,Yes,0.57,0.4841,1/9/2015,1/9/2015,1/9/2015,1,1
CLM-863236,WS-863236-W1,HAS_WITNESS,1/28/2015,Moderate,Partial,No,96,No,No,0.96,0.8964,1/28/2015,1/28/2015,1/28/2015,1,1
CLM-863236,WS-863236-W2,HAS_WITNESS,1/28/2015,Strong,Yes,Unknown,83,Yes,No,0.83,0.8104,1/28/2015,1/28/2015,1/28/2015,1,1
CLM-863236,WS-863236-W3,HAS_WITNESS,1/28/2015,Moderate,No,Yes,47,Yes,No,0.47,0.4157,1/28/2015,1/28/2015,1/28/2015,1,1
CLM-608513,WS-608513-W1,HAS_WITNESS,1/7/2015,Strong,Partial,No,68,Yes,Yes,0.68,0.6216,1/7/2015,1/7/2015,1/7/2015,1,1
CLM-596785,WS-596785-W1,HAS_WITNESS,2/15/2015,Weak,Yes,No,86,Yes,No,0.86,0.8366,2/15/2015,2/15/2015,2/15/2015,1,1
CLM-596785,WS-596785-W2,HAS_WITNESS,2/15/2015,Moderate,No,Unknown,77,Yes,No,0.77,0.7124,2/15/2015,2/15/2015,2/15/2015,1,1
CLM-666333,WS-666333-W1,HAS_WITNESS,2/28/2015,Strong,No,Yes,98,No,No,0.98,0.8242,2/28/2015,2/28/2015,2/28/2015,1,1
CLM-666333,WS-666333-W2,HAS_WITNESS,2/28/2015,Moderate,No,Yes,87,No,No,0.87,0.8489,2/28/2015,2/28/2015,2/28/2015,1,1
CLM-336614,WS-336614-W1,HAS_WITNESS,2/24/2015,Moderate,Partial,Unknown,50,Yes,No,0.5,0.4737,2/24/2015,2/24/2015,2/24/2015,1,1
CLM-336614,WS-336614-W2,HAS_WITNESS,2/24/2015,Weak,Partial,Yes,86,No,No,0.86,0.7349,2/24/2015,2/24/2015,2/24/2015,1,1
CLM-336614,WS-336614-W3,HAS_WITNESS,2/24/2015,Strong,No,Unknown,65,Yes,No,0.65,0.6097,2/24/2015,2/24/2015,2/24/2015,1,1
CLM-584859,WS-584859-W1,HAS_WITNESS,1/9/2015,Strong,Yes,Yes,70,Yes,Yes,0.7,0.6182,1/9/2015,1/9/2015,1/9/2015,1,1
CLM-584859,WS-584859-W2,HAS_WITNESS,1/9/2015,Moderate,Yes,Yes,92,No,No,0.92,0.8121,1/9/2015,1/9/2015,1/9/2015,1,1
CLM-990493,WS-990493-W1,HAS_WITNESS,2/12/2015,Moderate,Yes,No,65,No,No,0.65,0.5562,2/12/2015,2/12/2015,2/12/2015,1,1
CLM-200152,WS-200152-W1,HAS_WITNESS,1/9/2015,Moderate,No,Yes,69,Yes,No,0.69,0.6763,1/9/2015,1/9/2015,1/9/2015,1,1
CLM-933293,WS-933293-W1,HAS_WITNESS,1/18/2015,Strong,Yes,Yes,84,No,No,0.84,0.8092,1/18/2015,1/18/2015,1/18/2015,1,1
CLM-982871,WS-982871-W1,HAS_WITNESS,1/8/2015,Weak,Yes,Unknown,67,No,No,0.67,0.6014,1/8/2015,1/8/2015,1/8/2015,1,1
CLM-982871,WS-982871-W2,HAS_WITNESS,1/8/2015,Weak,No,Yes,87,Yes,No,0.87,0.8004,1/8/2015,1/8/2015,1/8/2015,1,1
CLM-982871,WS-982871-W3,HAS_WITNESS,1/8/2015,Moderate,Partial,Unknown,88,Yes,Yes,0.88,0.8143,1/8/2015,1/8/2015,1/8/2015,1,1
CLM-206213,WS-206213-W1,HAS_WITNESS,1/3/2015,Weak,No,No,73,Yes,No,0.73,0.6417,1/3/2015,1/3/2015,1/3/2015,1,1
CLM-206213,WS-206213-W2,HAS_WITNESS,1/3/2015,Moderate,No,Yes,62,Yes,No,0.62,0.5823,1/3/2015,1/3/2015,1/3/2015,1,1
CLM-616337,WS-616337-W1,HAS_WITNESS,1/1/2015,Strong,Yes,No,50,Yes,No,0.5,0.4449,1/1/2015,1/1/2015,1/1/2015,1,1
CLM-790442,WS-790442-W1,HAS_WITNESS,2/10/2015,Moderate,Yes,Unknown,78,No,No,0.78,0.7274,2/10/2015,2/10/2015,2/10/2015,1,1
CLM-790442,WS-790442-W2,HAS_WITNESS,2/10/2015,Strong,Partial,Yes,48,Yes,No,0.48,0.4054,2/10/2015,2/10/2015,2/10/2015,1,1
CLM-108844,WS-108844-W1,HAS_WITNESS,2/14/2015,Strong,No,Unknown,86,Yes,Yes,0.86,0.7977,2/14/2015,2/14/2015,2/14/2015,1,1
CLM-108844,WS-108844-W2,HAS_WITNESS,2/14/2015,Moderate,No,Yes,73,Yes,No,0.73,0.6008,2/14/2015,2/14/2015,2/14/2015,1,1
CLM-430029,WS-430029-W1,HAS_WITNESS,2/21/2015,Strong,Yes,Yes,79,Yes,No,0.79,0.7746,2/21/2015,2/21/2015,2/21/2015,1,1
CLM-430029,WS-430029-W2,HAS_WITNESS,2/21/2015,Strong,No,Yes,83,No,No,0.83,0.7451,2/21/2015,2/21/2015,2/21/2015,1,1
CLM-430029,WS-430029-W3,HAS_WITNESS,2/21/2015,Weak,Yes,Yes,73,Yes,No,0.73,0.6108,2/21/2015,2/21/2015,2/21/2015,1,1
CLM-529112,WS-529112-W1,HAS_WITNESS,2/18/2015,Strong,No,No,85,Yes,No,0.85,0.7357,2/18/2015,2/18/2015,2/18/2015,1,1
CLM-939631,WS-939631-W1,HAS_WITNESS,1/10/2015,Moderate,No,Unknown,59,Yes,No,0.59,0.5833,1/10/2015,1/10/2015,1/10/2015,1,1
CLM-691189,WS-691189-W1,HAS_WITNESS,1/3/2015,Moderate,Yes,Yes,76,Yes,No,0.76,0.647,1/3/2015,1/3/2015,1/3/2015,1,1
CLM-691189,WS-691189-W2,HAS_WITNESS,1/3/2015,Moderate,No,Yes,44,Yes,No,0.44,0.4119,1/3/2015,1/3/2015,1/3/2015,1,1
CLM-691189,WS-691189-W3,HAS_WITNESS,1/3/2015,Strong,Yes,Yes,93,Yes,No,0.93,0.9171,1/3/2015,1/3/2015,1/3/2015,1,1
CLM-537546,WS-537546-W1,HAS_WITNESS,1/17/2015,Moderate,Yes,Yes,84,Yes,No,0.84,0.7389,1/17/2015,1/17/2015,1/17/2015,1,1
CLM-537546,WS-537546-W2,HAS_WITNESS,1/17/2015,Strong,No,No,90,Yes,Yes,0.9,0.8165,1/17/2015,1/17/2015,1/17/2015,1,1
CLM-394975,WS-394975-W1,HAS_WITNESS,2/22/2015,Strong,Yes,No,100,Yes,Yes,1.0,0.8569,2/22/2015,2/22/2015,2/22/2015,1,1
CLM-282195,WS-282195-W1,HAS_WITNESS,2/27/2015,Moderate,No,Unknown,77,No,No,0.77,0.7038,2/27/2015,2/27/2015,2/27/2015,1,1
CLM-420810,WS-420810-W1,HAS_WITNESS,1/6/2015,Strong,Yes,No,79,Yes,Yes,0.79,0.6491,1/6/2015,1/6/2015,1/6/2015,1,1
CLM-420810,WS-420810-W2,HAS_WITNESS,1/6/2015,Weak,No,Yes,74,No,No,0.74,0.6097,1/6/2015,1/6/2015,1/6/2015,1,1
CLM-524836,WS-524836-W1,HAS_WITNESS,2/28/2015,Strong,Yes,Yes,52,Yes,Yes,0.52,0.5016,2/28/2015,2/28/2015,2/28/2015,1,1
CLM-524836,WS-524836-W2,HAS_WITNESS,2/28/2015,Moderate,No,No,60,No,No,0.6,0.5861,2/28/2015,2/28/2015,2/28/2015,1,1
CLM-524836,WS-524836-W3,HAS_WITNESS,2/28/2015,Weak,Yes,Yes,69,No,No,0.69,0.6831,2/28/2015,2/28/2015,2/28/2015,1,1
CLM-307195,WS-307195-W1,HAS_WITNESS,2/22/2015,Strong,Yes,No,82,No,No,0.82,0.747,2/22/2015,2/22/2015,2/22/2015,1,1
CLM-307195,WS-307195-W2,HAS_WITNESS,2/22/2015,Moderate,Yes,Unknown,88,Yes,Yes,0.88,0.7916,2/22/2015,2/22/2015,2/22/2015,1,1
CLM-307195,WS-307195-W3,HAS_WITNESS,2/22/2015,Weak,No,Yes,78,Yes,Yes,0.78,0.6438,2/22/2015,2/22/2015,2/22/2015,1,1
CLM-623648,WS-623648-W1,HAS_WITNESS,1/7/2015,Moderate,No,Yes,83,Yes,No,0.83,0.8293,1/7/2015,1/7/2015,1/7/2015,1,1
CLM-485372,WS-485372-W1,HAS_WITNESS,1/6/2015,Strong,Yes,No,40,Yes,No,0.4,0.3575,1/6/2015,1/6/2015,1/6/2015,1,1
CLM-598554,WS-598554-W1,HAS_WITNESS,1/10/2015,Moderate,Yes,No,78,Yes,No,0.78,0.6411,1/10/2015,1/10/2015,1/10/2015,1,1
CLM-303987,WS-303987-W1,HAS_WITNESS,2/11/2015,Weak,No,No,47,Yes,No,0.47,0.3975,2/11/2015,2/11/2015,2/11/2015,1,1
CLM-303987,WS-303987-W2,HAS_WITNESS,2/11/2015,Strong,Yes,No,99,No,No,0.99,0.957,2/11/2015,2/11/2015,2/11/2015,1,1
CLM-303987,WS-303987-W3,HAS_WITNESS,2/11/2015,Moderate,No,Yes,55,Yes,No,0.55,0.4603,2/11/2015,2/11/2015,2/11/2015,1,1
CLM-343161,WS-343161-W1,HAS_WITNESS,1/12/2015,Strong,Partial,No,52,Yes,Yes,0.52,0.4953,1/12/2015,1/12/2015,1/12/2015,1,1
CLM-343161,WS-343161-W2,HAS_WITNESS,1/12/2015,Weak,No,No,77,Yes,Yes,0.77,0.7402,1/12/2015,1/12/2015,1/12/2015,1,1
CLM-343161,WS-343161-W3,HAS_WITNESS,1/12/2015,Weak,No,Yes,60,Yes,No,0.6,0.509,1/12/2015,1/12/2015,1/12/2015,1,1
CLM-519312,WS-519312-W1,HAS_WITNESS,2/6/2015,Strong,No,No,74,Yes,No,0.74,0.6831,2/6/2015,2/6/2015,2/6/2015,1,1
CLM-519312,WS-519312-W2,HAS_WITNESS,2/6/2015,Strong,Yes,No,67,Yes,No,0.67,0.5947,2/6/2015,2/6/2015,2/6/2015,1,1
CLM-332867,WS-332867-W1,HAS_WITNESS,2/22/2015,Moderate,Partial,No,87,Yes,Yes,0.87,0.7208,2/22/2015,2/22/2015,2/22/2015,1,1
CLM-332867,WS-332867-W2,HAS_WITNESS,2/22/2015,Strong,No,Unknown,64,No,No,0.64,0.5884,2/22/2015,2/22/2015,2/22/2015,1,1
CLM-356590,WS-356590-W1,HAS_WITNESS,1/30/2015,Weak,No,Yes,55,Yes,No,0.55,0.4445,1/30/2015,1/30/2015,1/30/2015,1,1
CLM-346002,WS-346002-W1,HAS_WITNESS,2/2/2015,Weak,Partial,Yes,69,No,No,0.69,0.6808,2/2/2015,2/2/2015,2/2/2015,1,1
CLM-500533,WS-500533-W1,HAS_WITNESS,1/10/2015,Strong,Partial,No,68,Yes,Yes,0.68,0.6483,1/10/2015,1/10/2015,1/10/2015,1,1
CLM-500533,WS-500533-W2,HAS_WITNESS,1/10/2015,Moderate,No,Yes,42,No,No,0.42,0.3519,1/10/2015,1/10/2015,1/10/2015,1,1
CLM-500533,WS-500533-W3,HAS_WITNESS,1/10/2015,Weak,No,Yes,40,No,No,0.4,0.3368,1/10/2015,1/10/2015,1/10/2015,1,1
CLM-348209,WS-348209-W1,HAS_WITNESS,2/27/2015,Moderate,Yes,Yes,44,Yes,No,0.44,0.38,2/27/2015,2/27/2015,2/27/2015,1,1
CLM-486676,WS-486676-W1,HAS_WITNESS,2/20/2015,Weak,Partial,No,81,No,No,0.81,0.7401,2/20/2015,2/20/2015,2/20/2015,1,1
CLM-486676,WS-486676-W2,HAS_WITNESS,2/20/2015,Moderate,Yes,Yes,63,Yes,No,0.63,0.6235,2/20/2015,2/20/2015,2/20/2015,1,1
CLM-486676,WS-486676-W3,HAS_WITNESS,2/20/2015,Strong,No,Yes,77,Yes,No,0.77,0.6686,2/20/2015,2/20/2015,2/20/2015,1,1
CLM-260845,WS-260845-W1,HAS_WITNESS,2/8/2015,Strong,Yes,Unknown,98,No,No,0.98,0.9703,2/8/2015,2/8/2015,2/8/2015,1,1
CLM-260845,WS-260845-W2,HAS_WITNESS,2/8/2015,Moderate,Yes,Yes,90,Yes,No,0.9,0.8859,2/8/2015,2/8/2015,2/8/2015,1,1
CLM-657045,WS-657045-W1,HAS_WITNESS,2/11/2015,Moderate,Yes,No,83,Yes,Yes,0.83,0.7221,2/11/2015,2/11/2015,2/11/2015,1,1
CLM-657045,WS-657045-W2,HAS_WITNESS,2/11/2015,Weak,Partial,No,82,Yes,Yes,0.82,0.6889,2/11/2015,2/11/2015,2/11/2015,1,1
CLM-166264,WS-166264-W1,HAS_WITNESS,1/14/2015,Moderate,No,Yes,68,Yes,No,0.68,0.6316,1/14/2015,1/14/2015,1/14/2015,1,1
CLM-527945,WS-527945-W1,HAS_WITNESS,2/17/2015,Moderate,Partial,Yes,42,Yes,No,0.42,0.3689,2/17/2015,2/17/2015,2/17/2015,1,1
CLM-527945,WS-527945-W2,HAS_WITNESS,2/17/2015,Moderate,No,Yes,83,Yes,Yes,0.83,0.6894,2/17/2015,2/17/2015,2/17/2015,1,1
CLM-627540,WS-627540-W1,HAS_WITNESS,1/24/2015,Moderate,Partial,No,69,Yes,No,0.69,0.5923,1/24/2015,1/24/2015,1/24/2015,1,1
CLM-627540,WS-627540-W2,HAS_WITNESS,1/24/2015,Weak,Yes,Unknown,86,No,No,0.86,0.6989,1/24/2015,1/24/2015,1/24/2015,1,1
CLM-279422,WS-279422-W1,HAS_WITNESS,1/21/2015,Strong,Yes,Yes,77,Yes,No,0.77,0.6443,1/21/2015,1/21/2015,1/21/2015,1,1
CLM-279422,WS-279422-W2,HAS_WITNESS,1/21/2015,Moderate,Partial,Unknown,46,Yes,No,0.46,0.3859,1/21/2015,1/21/2015,1/21/2015,1,1
CLM-484200,WS-484200-W1,HAS_WITNESS,2/19/2015,Strong,Yes,Unknown,75,No,No,0.75,0.6987,2/19/2015,2/19/2015,2/19/2015,1,1
CLM-484200,WS-484200-W2,HAS_WITNESS,2/19/2015,Strong,No,Yes,75,Yes,No,0.75,0.6658,2/19/2015,2/19/2015,2/19/2015,1,1
CLM-645258,WS-645258-W1,HAS_WITNESS,1/3/2015,Weak,No,Yes,94,Yes,No,0.94,0.9158,1/3/2015,1/3/2015,1/3/2015,1,1
CLM-694662,WS-694662-W1,HAS_WITNESS,1/29/2015,Moderate,No,No,69,Yes,No,0.69,0.5616,1/29/2015,1/29/2015,1/29/2015,1,1
CLM-694662,WS-694662-W2,HAS_WITNESS,1/29/2015,Moderate,Yes,Unknown,88,No,No,0.88,0.7473,1/29/2015,1/29/2015,1/29/2015,1,1
CLM-960680,WS-960680-W1,HAS_WITNESS,1/19/2015,Moderate,Yes,Yes,86,Yes,No,0.86,0.7789,1/19/2015,1/19/2015,1/19/2015,1,1
CLM-960680,WS-960680-W2,HAS_WITNESS,1/19/2015,Moderate,Partial,Yes,100,Yes,No,1.0,0.9114,1/19/2015,1/19/2015,1/19/2015,1,1
CLM-960680,WS-960680-W3,HAS_WITNESS,1/19/2015,Moderate,No,Yes,46,Yes,Yes,0.46,0.3812,1/19/2015,1/19/2015,1/19/2015,1,1
CLM-498140,WS-498140-W1,HAS_WITNESS,1/19/2015,Weak,No,Yes,70,Yes,No,0.7,0.695,1/19/2015,1/19/2015,1/19/2015,1,1
CLM-498140,WS-498140-W2,HAS_WITNESS,1/19/2015,Moderate,Yes,No,67,Yes,No,0.67,0.5436,1/19/2015,1/19/2015,1/19/2015,1,1
CLM-498140,WS-498140-W3,HAS_WITNESS,1/19/2015,Moderate,No,No,96,Yes,No,0.96,0.8995,1/19/2015,1/19/2015,1/19/2015,1,1
CLM-498875,WS-498875-W1,HAS_WITNESS,2/2/2015,Strong,Yes,Yes,85,Yes,Yes,0.85,0.7497,2/2/2015,2/2/2015,2/2/2015,1,1
CLM-798177,WS-798177-W1,HAS_WITNESS,1/30/2015,Moderate,Yes,No,65,Yes,Yes,0.65,0.5895,1/30/2015,1/30/2015,1/30/2015,1,1
CLM-614763,WS-614763-W1,HAS_WITNESS,1/8/2015,Weak,Yes,Yes,67,Yes,Yes,0.67,0.6189,1/8/2015,1/8/2015,1/8/2015,1,1
CLM-679370,WS-679370-W1,HAS_WITNESS,1/30/2015,Weak,Yes,Yes,84,No,No,0.84,0.7005,1/30/2015,1/30/2015,1/30/2015,1,1
CLM-686816,WS-686816-W1,HAS_WITNESS,2/24/2015,Strong,No,Unknown,53,No,No,0.53,0.5229,2/24/2015,2/24/2015,2/24/2015,1,1
CLM-127754,WS-127754-W1,HAS_WITNESS,2/2/2015,Moderate,Yes,Yes,90,No,No,0.9,0.7867,2/2/2015,2/2/2015,2/2/2015,1,1
CLM-127754,WS-127754-W2,HAS_WITNESS,2/2/2015,Strong,Partial,No,83,No,No,0.83,0.6878,2/2/2015,2/2/2015,2/2/2015,1,1
CLM-127754,WS-127754-W3,HAS_WITNESS,2/2/2015,Weak,No,Yes,55,Yes,No,0.55,0.4514,2/2/2015,2/2/2015,2/2/2015,1,1
CLM-918629,WS-918629-W1,HAS_WITNESS,2/28/2015,Strong,No,Yes,81,Yes,Yes,0.81,0.6859,2/28/2015,2/28/2015,2/28/2015,1,1
CLM-731450,WS-731450-W1,HAS_WITNESS,2/9/2015,Strong,Partial,No,71,Yes,No,0.71,0.6221,2/9/2015,2/9/2015,2/9/2015,1,1
CLM-900628,WS-900628-W1,HAS_WITNESS,1/14/2015,Moderate,Partial,Unknown,62,No,No,0.62,0.5658,1/14/2015,1/14/2015,1/14/2015,1,1
CLM-900628,WS-900628-W2,HAS_WITNESS,1/14/2015,Weak,Yes,Unknown,47,No,No,0.47,0.4525,1/14/2015,1/14/2015,1/14/2015,1,1
CLM-900628,WS-900628-W3,HAS_WITNESS,1/14/2015,Weak,Yes,Yes,91,Yes,Yes,0.91,0.8679,1/14/2015,1/14/2015,1/14/2015,1,1
CLM-235220,WS-235220-W1,HAS_WITNESS,1/22/2015,Weak,Yes,No,99,Yes,No,0.99,0.8157,1/22/2015,1/22/2015,1/22/2015,1,1
CLM-235220,WS-235220-W2,HAS_WITNESS,1/22/2015,Strong,No,No,50,Yes,Yes,0.5,0.4225,1/22/2015,1/22/2015,1/22/2015,1,1
CLM-740019,WS-740019-W1,HAS_WITNESS,2/22/2015,Moderate,Yes,Yes,71,No,No,0.71,0.6572,2/22/2015,2/22/2015,2/22/2015,1,1
CLM-740019,WS-740019-W2,HAS_WITNESS,2/22/2015,Weak,Yes,Yes,89,Yes,No,0.89,0.8123,2/22/2015,2/22/2015,2/22/2015,1,1
CLM-389238,WS-389238-W1,HAS_WITNESS,1/29/2015,Moderate,No,Yes,90,Yes,No,0.9,0.7333,1/29/2015,1/29/2015,1/29/2015,1,1
CLM-389238,WS-389238-W2,HAS_WITNESS,1/29/2015,Moderate,No,No,54,Yes,Yes,0.54,0.5021,1/29/2015,1/29/2015,1/29/2015,1,1
CLM-389238,WS-389238-W3,HAS_WITNESS,1/29/2015,Weak,Yes,No,48,Yes,Yes,0.48,0.4714,1/29/2015,1/29/2015,1/29/2015,1,1
CLM-760179,WS-760179-W1,HAS_WITNESS,2/15/2015,Moderate,No,Yes,55,Yes,No,0.55,0.5431,2/15/2015,2/15/2015,2/15/2015,1,1
CLM-872814,WS-872814-W1,HAS_WITNESS,1/1/2015,Moderate,No,Yes,83,Yes,No,0.83,0.771,1/1/2015,1/1/2015,1/1/2015,1,1
CLM-872814,WS-872814-W2,HAS_WITNESS,1/1/2015,Strong,Partial,No,66,Yes,Yes,0.66,0.5653,1/1/2015,1/1/2015,1/1/2015,1,1
CLM-872814,WS-872814-W3,HAS_WITNESS,1/1/2015,Moderate,Yes,Yes,68,No,No,0.68,0.6278,1/1/2015,1/1/2015,1/1/2015,1,1
CLM-632627,WS-632627-W1,HAS_WITNESS,1/13/2015,Moderate,Partial,No,85,Yes,No,0.85,0.7564,1/13/2015,1/13/2015,1/13/2015,1,1
CLM-632627,WS-632627-W2,HAS_WITNESS,1/13/2015,Strong,Yes,Yes,89,Yes,Yes,0.89,0.8452,1/13/2015,1/13/2015,1/13/2015,1,1
CLM-853360,WS-853360-W1,HAS_WITNESS,1/27/2015,Weak,No,Yes,86,No,No,0.86,0.8055,1/27/2015,1/27/2015,1/27/2015,1,1
CLM-853360,WS-853360-W2,HAS_WITNESS,1/27/2015,Strong,Yes,Unknown,63,Yes,Yes,0.63,0.5812,1/27/2015,1/27/2015,1/27/2015,1,1
CLM-853360,WS-853360-W3,HAS_WITNESS,1/27/2015,Weak,No,No,78,Yes,Yes,0.78,0.6778,1/27/2015,1/27/2015,1/27/2015,1,1
CLM-776860,WS-776860-W1,HAS_WITNESS,1/12/2015,Moderate,No,Yes,88,No,No,0.88,0.8779,1/12/2015,1/12/2015,1/12/2015,1,1
CLM-776860,WS-776860-W2,HAS_WITNESS,1/12/2015,Strong,Partial,Yes,63,Yes,No,0.63,0.5613,1/12/2015,1/12/2015,1/12/2015,1,1
CLM-981123,WS-981123-W1,HAS_WITNESS,3/1/2015,Strong,No,Yes,60,No,No,0.6,0.5903,3/1/2015,3/1/2015,3/1/2015,1,1
CLM-143626,WS-143626-W1,HAS_WITNESS,2/24/2015,Moderate,No,Unknown,80,Yes,No,0.8,0.6645,2/24/2015,2/24/2015,2/24/2015,1,1
CLM-648397,WS-648397-W1,HAS_WITNESS,1/24/2015,Moderate,No,No,46,Yes,No,0.46,0.4174,1/24/2015,1/24/2015,1/24/2015,1,1
CLM-154982,WS-154982-W1,HAS_WITNESS,2/26/2015,Weak,No,Yes,44,No,No,0.44,0.3837,2/26/2015,2/26/2015,2/26/2015,1,1
